,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.021438607100612246,,,,,,0.04137705385985532
BMP1,0.00031979822361363357,0.03917150317839851,0.016374220863131683,0.02558062939643641,0.005287809275394054,0.0344856773179296,-0.014863337718826019,0.10084593183393505,0.03389058376723616,0.08918773701238358,-0.0010768264649860066,-0.03169436806066036,0.01482188459046772,0.00644151644186726
NDP,0.07170113420494463,0.02917427326559915,0.015285390816883982,-0.006165725741558584,-0.01804184649063414,0.00256774554664293,-0.013533491696682281,0.03058152601365765,-0.03660432705132023,0.025135671700777056,0.046576005107759555,0.027673604004072098,-0.050509612708013456,0.1248474340585718
TNFSF18,0.1008204047631515,-0.01036200296838663,-0.02671269506316576,,,,-0.01183302577978673,0.016581358392927792,0.09058065704778037,,,,,0.019945725491127487
IL36G,,,,,,,,,,,-0.013349798434789496,,,
RTN4,-0.051043276210512654,0.007614557387837286,-0.01110883128139563,-0.06722175554204093,0.011228619011711743,-0.03625238430236273,0.0364056345914156,-0.08598556697720385,-0.003289453922567957,0.012120812471907036,-0.05051065428872014,0.0168951058224861,-0.012579849895340415,0.018161322723714488
HEBP1,0.010184069705034254,0.029566097475214003,0.021722445492695648,0.04554357653640416,0.020005268767997977,0.0009175032104937534,-0.046681981264742656,0.07429404813933954,0.025646822963706867,0.024877040593616593,0.0023577274798683547,0.02159900951982741,-0.01920842790830093,0.07361121610473548
WNT7B,-0.02935616362454614,0.0016345283979740325,-0.016593098112909002,0.02143704202109789,0.01913918910322049,0.031384843650561565,0.007419272472413834,-0.06019854659716227,0.0632754932221189,,-0.014672966929288125,0.039118248045798665,-0.011270787707554618,0.01739911998588174
PTMA,0.0017498750430679371,0.053865090524287805,0.06865689353722154,0.10036716441502258,-0.05380626013500234,-0.01869467448405334,-0.04799910152945503,-0.06460683169087057,-0.05778227439044131,0.013419313829007715,0.019806638604501173,-0.021330427755737638,0.002228509920519491,0.010051517691253968
FASLG,,,,,,,,,,,,,,-0.021698588151636312
CEACAM1,,0.06012993874778244,-0.012734204794008733,,0.029949372324567715,-0.01389737099126239,,-0.003531964940602329,-0.01674599491130014,,,0.16114335712306732,0.07083051775014042,-0.01634733732728851
PDAP1,0.06912099950432471,-0.02252005270993353,-0.023349211863381042,0.016195695207743954,0.0876914483376923,-0.013965675447019626,-0.058015901947100816,0.0793743082358645,0.03470068983216041,0.10993145016528723,0.059116847373748366,-0.015601055950245286,0.011255696255123912,0.01690903782457077
QDPR,-0.033808288720076324,-0.011295533551265538,0.03313030644953137,-0.009695508843314393,0.008064899287656557,0.034040557109613546,0.043333018658280896,-0.13397742087747233,-0.0020303294356722843,0.04227920642578729,-0.10604607352251441,0.015831303110267675,0.055083404251289374,0.02222842334517177
POMC,-0.035848477743923746,-0.007977140922830367,0.036145648540421293,,-0.01972000558325239,-0.0011108904776856322,-0.031217908614923497,0.018605397776594337,-0.012354527350234958,-0.04811369986684812,0.04381125518180141,0.10969331980171645,-0.014603108777907683,-0.006759019229888972
CCL18,-0.0020796437109953303,-0.030424335011952998,,,,,,,,0.0021699511191209156,,-0.025856272983892894,0.017891594201946043,
CCL17,,,,,0.033667886632886536,,,,-0.013279516613040892,,-0.012195419870829264,-0.026649915749318506,,-0.01966733298230598
