,UKF248,UKF296,UKF313,ZH1007inf,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.07190509360298539,
BMP1,0.01093010133677606,-0.01280502432770312,0.050139842442463875,0.11262925765218561,0.10165319759036545,0.027730258300026962,0.05841398251706181,0.01081124383878866
NDP,-0.05559871653619647,0.02844317300322292,0.023085989423464216,-0.04013745739187886,-0.031872057762009666,-0.05682880057617678,0.02775772263968645,-0.06388840963900691
TNFSF18,-0.010248915490351016,,,-0.022534341816366096,,,0.09776094776081523,0.027718921465593863
RTN4,-0.04753723843984068,-0.042394664002942284,0.021493450679950184,-0.046043473986866805,-0.07588323592259523,-0.04261688928791809,-0.046864806962547044,-0.044373330627420694
HEBP1,0.022146289300296225,0.0029025752664801415,0.04845084010685184,0.020345858475674865,-0.004597393083552389,0.034971200842107,-0.03376120684961241,0.039563886591832596
WNT7B,-0.03566921617815167,0.028892376004844927,0.023857358138788816,-0.02480811086615008,0.032684969897021916,-0.019153669407986202,0.002618466797670468,0.09721752296676443
PTMA,0.02106850111508237,-0.02858159171954984,-0.006580160097154825,0.04495479931697942,-0.12729022596179795,0.021483932431747364,-0.0057066658739973125,-0.021271968666138022
FASLG,,,,,,,-0.0219705252847553,
CEACAM1,-0.015340649503569498,,,,0.18368683703217917,-0.012712568951310775,0.27220501279483333,
PDAP1,-0.06367651409110107,-0.016018996468725875,-0.002206857094240027,0.08865517781911374,-0.023051204941654847,0.06665244390264206,0.07621365889923676,0.03755666532329086
QDPR,-0.05112924723756554,-0.005924192122066936,0.0742265992251989,-0.02792525272180202,-0.06892819377666537,-0.027746531521416068,0.03908530448912517,-0.06865533608260341
POMC,0.06037302916350938,-0.014258234601841781,-0.01813449927105453,-0.004659041474274067,0.09257525320128134,-0.020796092809695785,0.010573562918662923,-0.03316159541170273
CCL18,0.10917159529861845,,0.0022182309364735214,,-0.024959912437260697,-0.04377885478659207,,
CCL17,,-0.008403012584690625,,,,,0.08486796204693191,
VEGFD,0.08888337560849156,-0.020953088674305623,-0.029451327890059737,,,,,
TNFSF13,-0.01444644068834381,,,,,-0.014275362903721323,0.11275566905114083,-0.0032461087904343956
WNT5A,-0.05713867179230627,0.029657982536001447,-0.00502018307773497,-0.0019407734042003841,0.06887611449579346,-0.017844171569607905,-0.02224257463263551,0.05396893395695084
CXCL8,0.060013568911445776,0.08477592732691731,0.01212796255040301,,-0.04394585561511258,-0.0057105371297992095,0.025539039014247,0.09331447166809198
GRN,0.05918046064473813,0.015783040468766645,-0.02736520414094736,-0.08950164457123984,0.01961455655060504,0.02919526132500462,-0.03759130371724251,-0.09697184339229757
MIA,-0.0163728245683765,-0.023829725687635497,-0.026349170849384516,0.023280984130488187,-0.06073042836312699,0.041925415755294286,0.06846142093127189,0.034475916812794986
COL4A4,-0.02299140550413672,0.02061989215233834,,,-0.031557128126994426,0.14032656045543437,0.04512931543217467,0.04702414956941811
TAC1,0.003066454566919409,-0.05914387995508656,,,,-0.021932803029338414,-0.02617873270128407,-0.009437379457367358
RARRES2,-0.013895355989692038,0.0011019357535257937,-0.0812807956849668,-0.07219761329964026,0.05302068698481999,-0.0067750039488745275,-0.009117683336466264,0.15524316566184748
FGF7,,0.035956909221237156,-0.013698303047805754,-0.010577791231702615,0.025530576738468886,-0.027519907359626783,0.021272162637911447,-0.081096520161302
HBEGF,0.047315575906931036,-0.005940232003968737,0.020284168737171468,0.037992331789141874,0.05692450435816595,0.03914180928821765,-0.026126958863555278,0.06012442453086101
CSF3,,,-0.031931248941534394,,,-0.01822520411166274,0.059704828263062726,0.14181035499225003
PI3,-0.020139959684262493,,,,,0.08268167087053166,0.07847107033781249,0.11455701384655154
PCSK1N,0.0469504398301578,-0.014431559131226552,-0.008573037137791843,0.01633736887945669,-0.01048705152366533,0.01331366452533757,-0.009170764328618835,-0.1198114338962133
NTS,,0.03868576512325435,,,,-0.042139198787855436,-0.0032585839623165912,
SFRP1,0.039644933813457316,0.05658090930081682,0.018627962627350333,-0.04116335366037265,0.02146968056812651,-0.03856615375371129,-0.030326566088349938,-0.02308118245705174
CXCL13,,,0.0358190374095459,,,-0.00436209799359206,,0.07811419602520984
MICA,-0.011589584694696406,0.10069048653650113,-0.009703257089666208,-0.0316935522844734,0.04915625522000615,-0.02133993503054349,0.05581674988811305,-0.06433995964757136
TG,-0.005448976915283191,-0.02067267795334395,-0.003446159986203264,0.024691330049184404,0.011432696901292878,-0.014999623042970357,-0.04088803745134553,0.04845596848326623
ADA,-0.005592166482640098,0.03725503448980701,-0.0007513353769352082,-0.0279118269655026,-0.01663003224719569,0.009916160813548484,-0.03454256042763873,-0.010046391698849749
LAMC3,0.0444895980892889,-0.03843089576906554,0.03746407399234672,0.04508419315076914,0.06468469584782673,0.038029162386686,-0.026368249565976977,-0.0810074123790855
CCL7,-0.012176998416694496,,,,,,0.015035929833272075,0.11424952709644332
NGF,-0.020907301582850004,,0.033251010957506016,,0.0003616932753999099,-0.018601475686528562,-0.034169428880561556,-0.04590364991906606
TNFSF15,,,0.0065542760093592976,-0.026618953521144576,-0.018788922044523797,-0.01131753886519383,-0.004868080157263804,0.09905408334851917
HMGB1,-0.04280618823583483,-0.01804454876974953,-0.008582992027019995,-0.043827433987578546,-0.03237565613782486,0.04080054619117029,-0.05305918811910174,-0.0179021769785622
ITGB3BP,-0.028759860462282873,-0.01580025445037841,-0.007781239153607224,0.0012611740448577084,0.03851186290600515,0.06632509115224688,0.005202541556570278,-0.022495013080568924
AANAT,0.020520400673507067,-0.02382972701310568,,,0.0002148433464890062,,-0.023245723704126774,-0.03394958078163338
RELN,-0.00259908908984889,0.07050782780514131,,,,0.01361144998421133,,-0.03145471805910981
IL15,0.06118184643626625,0.022356584434918884,-0.04140127349932225,0.028073117108682724,-0.04394597047150658,-0.02760696050138567,0.04957054412594453,0.08448935534621327
UTS2,,,,0.07260239078246492,,,,
BSG,-0.012089962278048618,-0.08729058276393716,-0.06050144081369566,-0.078136491524212,0.10468370372999214,0.01940489952182341,-0.006298969537062944,-0.05490212236286019
ADAMTS3,0.0053569212127246146,0.01567420265401687,-0.02341094800069063,-0.02436769266349555,-0.031128515520687152,-0.001750890426232701,0.09237540100144793,-0.025213519361619034
CD34,0.050761108395211946,0.024427825887374605,0.003328817736812264,0.1453773200837546,0.10523143568936576,0.06422200938911955,0.00818575080559312,0.001023053674307914
CCL23,,,,-0.025117897790724174,,,,
PLAT,0.0019991914670710502,-0.0011462965125158746,0.004070200515959252,0.017977152990089514,0.0652717394973808,0.026028497870530045,0.07583683144235007,-0.07521519897856914
NTF3,,0.03077879967760966,0.048413029488507474,,,-0.022123934419147707,,
LTA,,,,,,,0.009134345172982396,
