,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.017700310008262877,,,,,,,,,-0.024374729017792276,0.050579625348450244,,
BMP1,-0.0051022881480902865,0.004912648125577138,0.05836421153300671,-0.030423180682854666,0.07554209614852658,0.02299129535085361,0.00540035415253099,-0.0032338658789244543,0.03460381534446307,-0.008262412745899879,-0.0234695192286959,0.08132366696166064,0.009750897006953257,0.031203825396251352,-0.026439198310711596,0.017871538929636843,0.02390684137758267,0.006103753099148568
NDP,0.033981217383669104,-0.024648084050527538,0.01976108688700074,0.038458896754061604,0.03164128931240709,0.01729053400250097,0.026884025134146453,0.0665941284273363,0.02932630647845546,0.050673568582968974,-0.017495896634389677,0.04506707679575233,0.04034124509895543,0.05209213250245261,0.0048847995381695805,0.060247675554019144,0.04333499589180821,0.05731234757500877
TNFSF18,-0.02516931095978984,0.012925820220505754,,,0.0318934275773121,0.03284505422961269,-0.015882541520189763,,,,-0.024507792026620262,,-0.0032496344772131587,,-0.025137227796816194,0.0348533590955209,0.036948049855632985,
IL36G,,,,,,,,,,-0.009520906845184808,,,,,,,,
RTN4,-0.05885034178789287,0.0038019402108562896,0.01710982779330709,0.0361480105269306,-0.01957708999529275,-0.010933426240944958,0.04629153849523916,-0.08832930713485432,-0.03987278979266204,0.009590249008929875,0.004379365023154448,-0.0443497769322811,0.031841774561232425,-0.03805053127527281,0.03020201669545436,0.019428053838794573,-0.001080733950236136,-1.2839979302367714e-05
HEBP1,0.002964561478602022,0.00037690763798806857,-0.01894353443026427,0.018507136081411895,0.07268495560706331,0.009056102905840005,0.024622209587521354,-0.02085392797858971,0.06101359923524252,0.01801758314459009,0.052792028796931026,-0.00505595794062212,0.02642973367590028,0.06534206567748098,-0.062274262658330796,0.03044091588273967,0.0014046298897375498,0.011160256632752422
WNT7B,-0.02217337463083391,-0.05417384488707463,0.006694084987168252,-0.003661248433951305,0.04953309657590988,-0.013946643244487847,-0.008237917095989705,,0.06968910021427788,0.11875769020828182,-0.0269806869282233,-0.02588872167172908,,0.007137335233546805,-0.04212180158435914,0.04691003480971002,0.08330359431909996,-0.03649544366764403
PTMA,0.020418677294676425,-0.032253169328516164,-0.04149872721627653,-0.01623003276644481,0.061764335588035006,-0.039429608582716436,0.05401531767679097,0.05785525490826256,0.020040906341383835,0.014088537992603489,-0.016588766261529313,-0.05805236962415121,0.03730952068916757,-0.003322605333310561,0.03805349216235015,-0.04485692293148532,-0.002246178874134909,-0.051525458803068296
FASLG,-0.022173380899190118,,,,,,,,,,,,,,,0.05411086386813613,,
CEACAM1,0.015228512041558274,0.026042105607324895,-0.0007680712797325462,-0.014562083092402828,,0.09248310518918447,-0.024979454049267664,,,,,-0.047691770640999234,-0.055597261507991394,-0.0052722829139543875,0.023572927996869605,-0.030484061670967767,,
PDAP1,0.02529612474455398,-0.02701513641450384,-0.03778806229006417,-0.018033339962007566,-0.006012088065006986,0.0026791226865937163,-0.05048481356098257,-0.014137994783617602,0.06525870974032257,-0.03422530005337081,-0.031143329431765746,-0.017197446333112876,-0.038620669859065905,-0.005074902604832599,0.018042741889885163,0.07912089070114174,-0.010925286231380005,0.02898174271110602
QDPR,0.005935643455402768,-0.03660817871018321,-0.01160070415645248,0.0024621680800708647,0.019466001707986555,-0.026103660158238767,0.012645029740933903,0.1098314059819456,-0.011011470738487902,0.005683395996527598,0.016581545011334867,0.07128012237244964,0.0032641882838624786,0.02741766102043082,-0.03669192882739188,0.08799403694726086,-0.06667746975996318,0.05957326604948305
