,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.032103405923669295,,,,,,,,,,,,-0.03621262660601837,,
BMP1,0.008050921012526148,0.11430937991704962,0.030257286075978447,0.03556704097680628,-0.017377621590281292,0.09827317185212954,0.05191734188476041,-0.17579254836944147,-0.017431145131214385,0.04348872052075644,0.07239565600210299,-0.10762555691227313,0.11640104977810013,0.07717522174436156,0.0960877967390425,0.14643499013593933,0.1992758068314212,0.08887533504708238,0.04475972754042944,0.16602107365767324,0.06098116143536791,0.004426281366385183
NDP,-0.011472705802935957,0.06528778189916332,0.06349601880081944,-0.016174633431328377,-0.027153031010247995,-0.0015450218390638925,0.0819952527438399,-0.004109606561307663,-0.01545701370238606,0.017040022486682863,-0.04537121518826319,-0.0025112236304181577,0.07446653618218398,-0.12117923862662401,-0.027611923994971733,0.18142365687130427,0.14850426938825648,-0.06039244376704044,0.03578110360489806,-0.004339753492300175,0.0147459937368835,0.027035520874279816
TNFSF18,-0.020443912976086012,0.056444467947239375,0.015493036262113772,,,,-0.034229965494469126,-0.04767259402599283,0.024541191025170345,,,,-0.02874298942233965,-0.01784932378584689,,,,,-0.03776018608283822,0.121166668425701,0.02737541167211493,
IL36G,,,,,,,,,,,,0.024248789430436415,,,,,,,,,,
RTN4,0.1561455158746931,0.02719562652454033,-0.026937394042983974,0.03959456975286887,0.030074510008708328,0.014685092496740654,-0.0004858911708242256,0.2561749188171251,-0.003679025350274515,-0.09930100516341166,0.04042712167409225,0.14638532386108696,-0.02053774040584247,4.551157625629964e-05,-0.1202002692972967,-0.06981157064146924,0.05698789187585973,0.038393121980761474,-0.04774948429687334,0.03010963747198767,-0.04727631733420441,0.07397370600772211
HEBP1,0.03125330023988609,0.07468167088417546,0.052306726809454904,-0.02044308913320278,0.019078195153643916,-0.03462476616581433,0.01208924162153802,-0.10730614225964419,0.038630221651172136,0.03509914810737733,0.030408717882185087,-0.008612074107337778,0.005671618055090228,0.06252103712943664,0.038190092095164434,0.03480155306648251,0.11811583276589253,0.009207419580665809,0.06492873638951792,0.12448029151822484,-0.020001005278435322,-0.06664609079949121
WNT7B,0.02207401295523766,-0.09280441701153688,0.038825646219908715,0.04012334561149286,-0.0006423302860044093,-0.029764026996828792,0.005056375691204387,0.22016276099276683,0.06518934089186115,-0.04149063995030452,,0.10821122293687711,-0.03164322588273268,,0.1403359164481861,0.0055635352597165465,0.05763283666060705,-0.030737877330371963,-0.03776014692836178,0.04063268861036656,0.08482579618812937,0.06970241210209854
PTMA,-0.09030899037826647,0.03015485025095841,0.030537423622382518,0.012439757632593555,-0.035023041506662245,0.01627433512410149,0.03496657022734905,-0.020910583830810698,0.019224832371576413,0.011137712871780517,-0.02117505196042889,-0.11694709977921398,0.06324208140149515,0.013651897157201729,-0.08528388416549973,-0.13525180566163225,-0.14333574370830562,0.0005375205788229539,-0.004464899403724814,0.12488039789406659,-0.10024083127511851,-0.12957298753840957
FASLG,,,,,,,,,,,,,,,,,,,,0.024030424389446355,,
