,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.01754336611151748,,-0.04204943844995628,
BMP1,0.001149700163259603,0.11057163250187226,0.012425230231553903,0.06710844191524898,-0.04234491509082027,-0.020669359040184177,-0.0032508207113959363,0.18997211914352033,-0.01214055689354633,0.011444299552308532,0.04636102254513931,0.012527620167279539,0.0952372341817009,0.0026044580078791015,0.12279066759803241,0.05102159069240049
NDP,-0.004033110636693216,-0.008466665695008528,0.03960532983791543,0.012428043516791868,-0.05879729048075988,-0.011524519031431707,0.03517459390764742,0.07232225423340524,0.041575771784142825,0.10842816708427858,0.03554926563403825,0.09934210213877398,0.12063946903706274,0.01574501626170782,0.037116799206284655,-0.00902171633279202
TNFSF18,0.06975466321715958,0.056435629287578275,-0.012222673932167742,,,0.144250832744596,-0.015563757139973147,,-0.025257711003178335,,,,-0.018092163812211397,,0.06765821376477581,0.0042104190199525405
RTN4,0.0012827331115924168,0.052911590938531684,0.005167663954637181,-0.03127814842716629,-0.0012750126551319284,0.020926878825003683,-0.04892332079920996,-0.007035816965978638,-0.02557373901900342,-0.0763893130988257,-0.030959928491426588,-0.04578933222114147,-0.15495180348551493,0.04482847202241538,-0.020357491327193687,0.04507293026413161
HEBP1,0.029867082122361797,0.0032958838050263384,0.039998134591578714,0.040758560473871525,0.07863641655529559,-0.06694768560270781,0.0042668731857006086,0.02485654370132824,-0.01746937852673739,-0.009746514197502517,0.07913568609442553,0.04403552376808588,-0.016248249125560787,0.04754980516896206,0.01133138810763168,-0.02625892274866407
WNT7B,-0.03628061826655592,0.011108191877167654,0.011579191822577346,0.0849502195463485,-0.03760228216771959,0.030446078179265805,-0.03250219377994814,0.08352373025805328,-0.0010688460646784662,-0.08352907586253089,-0.08615531785170027,-0.008074236341542378,-0.0378321781493026,-0.03762898298376988,0.04867572464403422,0.03797482520181346
PTMA,-0.06267974840067654,0.050923652902246395,-0.015242637735502716,-0.01970246798814761,-0.0031501820231931584,-0.04043464478765159,0.007189719866306578,0.1469958382917357,0.024647323105690774,-0.06846196201276981,-0.10662292160723928,0.03172527297004745,-0.1535869824097031,0.012248153303262562,0.08051584419966037,0.03359279134631784
FASLG,,,,,,,,,,,,,,,0.02899802338394157,
CEACAM1,,0.022009644803153334,0.06789869901392123,,-0.028637462300996702,,-0.013047552147335018,,,-0.05125334672956012,-0.04141274573884198,-0.0004586812069908496,0.08783669809181684,-0.02497490327098472,-0.050741902241169125,
PDAP1,0.009214017382257378,-0.04883554630224416,0.01842326117074387,0.06107292442440432,0.0024670400666187632,-0.09427486050551454,0.034226026870182176,0.15344145692764977,0.03292146757764791,-0.027439998057092872,0.003732223996982788,0.044500017934641485,0.08173512628768011,-0.009370652995238916,-0.026736262965893768,0.0041178010973522495
QDPR,0.03763656602688492,-0.06676295890748059,0.03369455308538939,0.03512184729845447,-0.04006356554151783,0.051931440607420346,-0.02846587306833064,0.12961396428404223,-0.05233819505341243,0.10001939626302105,-0.006225848248599175,0.04614597645290643,-0.10974174701144812,0.021970620683605262,0.036563468670585415,-0.008939818110223543
POMC,-0.04595517751203479,0.08558946329142303,0.09364059156816396,,-0.040434331133481494,-0.013867868653641167,0.04422274033393714,0.06993663902536451,0.04098051409738117,0.04401852679477323,0.06661086093955516,0.053259170162187834,0.0645213069117676,-0.03184308733057019,0.09881730941927722,-0.019823019789797204
CCL18,0.1630559866492955,-0.002261425027901753,,,,,,0.10723281510781983,,-0.05201428598350736,-0.008368579769529335,0.009445130511186263,,-0.0766322290421556,,
CCL17,,,,,-0.025166685279978118,,-0.01941103532398684,,,,0.11391863500040193,0.03902578023994439,-0.023129914825157295,,0.030630958497066787,
VEGFD,-0.02141195284493405,0.11030862693986954,0.06543942279940439,,0.003649100554439108,,-0.020680816329751734,0.030504053441168768,,-0.035008569840808614,,0.05107153012850634,-0.024394921108086182,,,
TNFSF13,,0.0540588511699526,,,-0.017359416259080544,-0.015351889565983712,,,,,0.044632051343727094,3.1687613401354704e-05,0.058016807082708725,-0.014363444660274248,0.010797298654665598,0.0006281249396957326
WNT5A,-0.009345899508584521,0.01952775522075529,0.015440412756303111,-0.016545166757730236,0.01891768592252096,-0.0031519290619746623,-0.014366512610246962,-0.006270465533862078,-0.025213801702790268,-0.004617009345455405,0.1106689795925741,0.04851137471206593,0.03737933417839433,0.05174103160296536,0.08925610214999671,0.014099337934703958
CXCL8,0.04723337595942951,0.06865002891643045,-0.004573377923384222,0.006216519316569206,0.05186660488189494,0.011760432776016409,0.05008604659383639,0.004446283170608019,,-0.008517871658162547,0.032310664281337574,-0.0607478408716322,0.027176966444967636,-0.03587949750917637,-0.06053261460473665,-0.021771994483798508
GRN,0.02870313895390943,0.09838015515827689,-0.08445916853706047,-0.000788032398597843,0.014284414232217643,0.005193064546077307,0.0587394204488776,0.005005672079052484,0.026484978581950265,0.07373276589886543,0.04932565640989183,0.041865737364902844,0.0678932555493532,-0.030707694330937764,0.029748346865781244,0.03484177132144921
MIA,0.07037113735274428,0.004481324380844276,-0.019665687148430307,0.01968509071903879,-0.006592135927846823,-0.02775917711933617,0.06460400274280186,-0.017297855939574586,-0.023073459522656433,-0.018405158699774916,0.06001410009493379,0.023172770448015183,0.15858044999250573,0.03214970105441816,0.05675881624282765,0.018420413648332256
COL4A4,0.07046280043723219,-0.02384263821786351,0.10583673358142606,-0.030004201637093254,-0.012061648255646418,-0.014606644669168299,-0.020265721429887574,,,,0.04051339316117486,0.04897484294041155,-0.03562976408089076,-0.027245371668849175,0.07622028346836054,-0.051818583929330884
TAC1,0.0060145276584889495,-0.035626210620675273,-0.008443582143159534,-0.04101061852058149,-0.002874166768521645,0.025068182894570152,-0.046786840739125986,,,,,,,0.01723899444579873,-0.003269848140732872,0.025474356192451673
RARRES2,0.029420256111753473,-0.08049252770019781,-0.027732097582689758,-0.05952210877892,-0.0067933728026890695,0.00444671407872391,0.014037280322629271,-0.13399607989270865,-0.04349650652225309,-0.03872373488350653,0.07921878017369262,-0.011591300841887303,-0.02738363521327219,0.05173458364044048,0.012703292004120783,0.06295686809433768
