,UKF248,UKF313,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.0013055959882576496,
BMP1,-0.0322848964402705,0.015751970401572158,0.04949587864629572,0.019941218433900114,0.037239451076194904
NDP,-0.068326803007474,0.008513493031959146,-0.06254476422252611,-0.02441375908209159,-0.03399716193087146
TNFSF18,-0.03292271941578434,,,0.0350012624894779,0.027342741469728572
RTN4,0.008965597741011447,0.02235671050168513,-0.011457148774813568,-0.044303290564998626,-0.026918470391115695
HEBP1,0.03336205213092397,0.013649684053013202,-0.047969834584879606,0.0216340128845058,0.04833473394610321
WNT7B,0.020179389487750218,-0.04618540986187485,0.05485589754586842,0.0020167768411608784,0.10870655410105516
PTMA,-0.044769658969263534,0.10269868826512694,0.034942424841335286,0.08392198436903284,0.07541771129384799
FASLG,,,,-0.018320047532317852,
CEACAM1,-0.020954408638072325,,-0.0231871762880254,0.007449541597236261,
PDAP1,-0.0469947915410264,-0.025985176101869234,0.13577765565325806,-0.02650966522419776,-0.013912121913101946
QDPR,-0.07786834343571754,0.08549753590810057,0.016291250446987576,0.031413113313437095,-0.13240606543240965
POMC,0.007147019380899213,0.02058850237093117,-0.03852733286784148,0.04563560070074666,-0.028656404513774533
CCL18,-0.013157635515649519,0.07861316814626382,0.026976618551523317,,
CCL17,,,-0.0334721446495656,-0.016605065387288672,
VEGFD,0.01360492194429471,-0.020379184457864866,-0.0231871762880254,,
TNFSF13,-0.01973297294086501,,-0.014390249568925814,0.03319726586940349,-0.03744055720019965
WNT5A,0.03638608964435185,-0.02136624481893425,0.018682117348308627,0.07483047885041048,0.11285573247540212
CXCL8,0.1284348849921816,-0.03301087244692627,0.13785358996440433,0.017490081454731545,0.2107009828746197
GRN,-0.017988590640927695,-0.03267272267893645,-0.006837132647630494,0.05870747482350368,-0.06281849707800917
MIA,-0.009415039253927091,0.030073353358528825,-0.14115639774474123,0.0007147902165745466,0.03581285161268771
COL4A4,-0.03140488321470396,,-0.03712629475880104,-0.009936985036937818,0.031190037769189202
TAC1,0.02926265463821497,,,-0.021829046925707557,0.03152650250128627
RARRES2,0.08251481942117181,-0.08145242521812197,0.08335272530057188,0.007708641674977548,0.18151101915887505
FGF7,,0.12388019784980361,-0.025867673975199325,0.008159255897215225,-0.016855969070054374
EFNA2,,,-0.022037859304579892,,
HBEGF,0.021029404978888618,0.03460542262074085,0.0025713290734106532,-0.022200960271364735,0.04030506337837865
CSF3,,-0.030616183545492337,0.09917105740790536,-0.01748257221913245,0.06785461665910458
PI3,0.08758383698613594,,0.1735470436989187,-0.037983821416938915,0.20474385235680248
PCSK1N,-0.005255055161904964,0.03444387885219407,-0.08456871200820648,-0.03797634439354603,-0.09528941853512288
NTS,,,-0.026848949582995125,-0.009953139435716704,
SFRP1,0.05682836594331556,0.06584856598763439,-0.04791614144855109,0.09406837153436368,0.035856514841161084
CXCL13,,0.051407215163406225,0.02441893375563666,,0.05019735757369526
MICA,0.058350803004868626,0.005010770538733045,-0.010734069358287282,0.05099462946618841,-0.04539326691214595
TG,0.027757074873437336,-0.03476991723206642,-0.033067416442671124,0.10994567488509008,0.11017608285924199
ADA,-0.0625974047274862,0.020523314158864842,-0.025969727957454086,-0.00702723134895417,0.008102767661970756
LAMC3,-0.04342698602300596,-0.012077388772165262,-0.04004196226253298,0.05658613685356249,-0.08274749260837364
CCL7,0.04609908190000014,,,-0.01832004101792762,0.16112007523342667
NGF,0.0801846952670304,0.026662533145353103,-0.021741633399351784,0.08656116933675669,-0.04988439646340683
TNFSF15,,-0.019496987462618492,,0.020420559712061564,0.004999793954118025
HMGB1,-0.07638932731590735,0.05007002645115725,0.019117233049626665,0.00601358445735454,-0.10268640057193042
ITGB3BP,0.022684459800210815,-0.017146755285900445,-0.0027746099255195967,-0.02037497414279303,0.03962910160957922
AANAT,-0.024132026009032463,,-0.02965698976598341,-0.019383367382582516,-0.026876524260843762
RELN,-0.052098075732489875,,,,-0.04285387874369936
