,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.012443416193803892,,,,,,,,,,0.03294367073729179,,0.029531161138208317,,
BMP1,0.12476727500740306,0.009476493987293286,0.004393018034375893,-0.00981729758807595,-0.09179722638834416,-0.0027602897326172594,0.08324287393123438,0.05119571168950892,-0.013230805159389245,-0.02182299889726638,0.010077608619759006,-0.0698070615924753,0.015260462511052154,0.03455179393512362,0.02093000296591263,0.013691382953239507,0.026020866252709714,0.0022094190912537327,0.016614859103117274,0.016837603192203898,-0.05249824371000546
NDP,0.06092578739890992,-0.028934515639415685,-0.003037174456155694,0.005583923108474207,0.06680180522035686,0.047306433785227406,-0.004459039552474745,0.027896553020835598,0.014179249692433712,0.034646646101704474,-0.04849856001969179,0.0043749599744409805,-0.06434327873270751,0.10167640452995538,-0.004063824779242125,0.042706305919534567,0.0012349654771835156,0.11019173594117777,0.10459547442790151,-0.03244156721712159,-0.026335823790577816
TNFSF18,0.007923532867019254,-0.0038588039797710864,0.0029349274266330626,,,-0.02376359287078949,0.0022507116965657325,-0.013506325325882383,,,,,0.11547933732479629,,,,-0.03405947936002669,,-0.00471987925127118,-0.009359554441315506,
IL36G,,,,,,,,,,,,-0.02067687987994406,,,,,,,,,
RTN4,-0.029441007180297088,-0.01731625036711967,0.020359169471046844,0.029279919424035343,0.08183850305563348,0.007615836000028948,-0.02598533637361067,0.05316639565094551,-0.018490089310187818,0.169719430307979,-0.02247965561164709,0.1399547271971956,0.04290505019629387,-0.0293985383729338,0.02539618097433706,-0.05025882222757591,-0.09866119605437339,0.06822727287048455,-0.06096093174785764,0.06923169995671954,-0.00047454126382131314
HEBP1,-0.01280771139166343,0.12168787810823412,0.0194370395570704,-0.013890651777242618,-0.008536725442725764,-0.014412076279318372,0.02488624202493301,0.006490304425326187,0.04008741097389155,-0.010453889175138535,0.002986472638679551,0.018820777222578237,0.03117998902269784,0.0778378697216283,0.008690139441251736,0.0030512790357626997,-0.028982621788985086,-0.010111647756081494,0.07166257517343007,0.014592419388657428,0.04559694288911094
WNT7B,0.05570466941548973,-0.022125902605119704,0.005931558463442372,0.008026285516522548,-0.0016672979546887496,0.018976470935348228,-0.008133463140884391,0.0111054455930855,0.019426689228941647,,0.0041696418690810744,0.0380472137522431,,0.02507266969304968,-0.03602372349266917,0.06979934134020792,-0.028033093243553728,-0.0041537516686313124,-0.002458137747492221,0.025199125965404048,-0.03996480277265837
PTMA,0.02842277932472871,0.03408839521211112,0.037426088842277605,0.03555158854423438,-0.0798516886255119,-0.0031866497627406026,-0.04479353599752549,0.04989939662126039,-0.00894702215361002,-0.12722821187586564,0.06028990118606998,-0.15819596000028327,-0.020404302449843755,-0.15819129602579451,-0.022414938424790434,0.020512999557590325,-0.06020980173857162,-0.12000875306091391,-0.015260242400933537,-0.0708189442324577,-0.03237851337600314
FASLG,-0.0240337544156573,,,,,,,,,,,,,,,,,,-0.025394908385669383,,
