,UKF248,ZH1019inf
BMP1,0.12847733215432378,0.10290442579729121
NDP,0.013322197022490531,0.011455605850357917
TNFSF18,0.0528582992023442,
RTN4,-0.04539320765255787,-0.042161385047036044
HEBP1,0.004308873871241981,0.023539525352879932
WNT7B,0.012155861982276405,0.0406244791170861
PTMA,0.05796182158024877,-0.03956346965241272
CEACAM1,-0.021128993188783723,-0.00986885996565345
PDAP1,-0.006560989665514033,0.016549140294794876
QDPR,-0.024311714471304802,-0.10046171355998823
POMC,0.01565849403609697,0.05479501745788701
CCL18,-0.026366987147235604,-0.02323042215264165
VEGFD,0.05195553644409415,
TNFSF13,0.08285821217337945,
WNT5A,-0.021405113722009473,0.010368651097934176
CXCL8,-0.013464726019037159,-0.040900815672498494
GRN,0.15935602188232578,0.1053875905075367
MIA,0.011217990712055028,0.03447531540990023
COL4A4,-0.020460379165642844,0.020960028826776674
TAC1,0.018181131874878114,
RARRES2,-0.06734121513912705,0.0064695604159071335
FGF7,,0.002787880900773332
HBEGF,0.11104114071359937,0.04101409380104135
PI3,-0.015192830045190517,
PCSK1N,0.03016551458616172,0.03884241111606973
SFRP1,-0.014783166578952846,0.02686244335284003
MICA,0.02745192459425407,0.06604108531993935
TG,0.0018429868072084334,0.1635127460689477
ADA,0.07121160669097953,0.06628368111377848
LAMC3,0.17556186643432384,0.14469724339178847
CCL7,-0.016771631249791735,
NGF,0.08334458018581911,-0.03452187397522265
TNFSF15,,0.005202818589388519
HMGB1,0.012317036254269135,-0.027016552122610803
ITGB3BP,0.014626354097705775,0.025791261355968334
AANAT,-0.01053594354526021,-0.02419545844807203
RELN,-0.03860901193723373,
IL15,0.014434585390128294,-0.005370938019952531
BSG,0.040143591529989156,0.05072097262556003
ADAMTS3,0.06986990461087947,-0.028971598291792015
CD34,0.1314911827780024,0.08120776350127519
PLAT,0.08896908007316888,0.10116777006861973
CKLF,0.08068190030376826,0.078479805165928
CD24,0.06795827776061798,0.036566520917949555
HSP90AA1,0.0006012783994309276,-0.04322195038219899
BMP4,0.04088672093707483,0.10509733528689487
SCGB3A1,-0.016771629572651017,
IGFBP4,0.15815351679834805,0.10440679564104112
LEFTY2,0.06820778185751798,0.10773785536186502
PF4,0.0603573090042266,
ANGPTL2,0.039522082362236144,0.0346707797970988
LRIG2,0.008131715750173506,0.0649017832481934
ICOSLG,0.026004536174884324,0.07712212023535255
WIF1,-0.020033240524407095,
NPPC,0.0035119829207048477,0.02163835781537581
LYZ,0.015888594452682602,0.006561500277534489
SPTAN1,0.08098356725561594,0.027605391144194743
LIPC,0.05751432601080334,0.014606987555087481
COL8A1,0.006990561943109373,0.016110197592167315
GSTM2,0.03197147906063384,-0.028238723355834133
SPX,0.034085851865239415,0.025567796991450037
MFGE8,0.12109043846136139,0.11599535428215232
TGFA,-0.006893629123894499,-0.013625114715805969
SLIT2,0.022396602133760834,0.16717687745406978
PLTP,0.06304864449056574,0.008315935363668519
APOD,0.046616157714507694,-0.04855641168667362
B2M,0.08522508497366256,0.08735853471318258
OMG,0.016496392601908074,-0.02253761925226889
CXCL3,-0.02643786823800949,
CXCL10,-0.028858125539882307,0.03387104150557987
RSPO3,0.007107286756859233,
CORT,0.03522698302931221,
NCAN,0.07081089669229147,0.015209733108630942
PRG4,0.0011472491966168722,
ZG16B,0.12618110796150805,-0.026897249364335026
