,UKF266,UKF296,UKF304,UKF334
BMP1,-0.055649540576902995,0.032530088954777665,-0.03887355047246897,-0.10084448832903344
NDP,0.021825115139503477,0.027730957911251873,-0.03469068290784015,-0.052027604172584084
TNFSF18,-0.014612398969142178,,,
IL36G,,,,-0.01355278128184913
RTN4,0.04460317923794797,0.04875967043804366,0.09951094076660784,0.12799044967134676
HEBP1,-0.003411768500046614,0.03173105560042595,-0.03994809254797919,-0.043970011285871656
WNT7B,-0.006537898833381485,0.03836043579372915,,0.007478707743494295
PTMA,-0.018706293805997032,-0.0769936554955369,-0.12031578072492838,-0.1459408249685165
PDAP1,-0.06578108376251249,0.009325000569298721,-0.014971250650326673,-0.05241542577576226
QDPR,0.008825616606498929,0.030805101803952364,-0.11593092121727581,0.043639610440440894
POMC,0.052907354223288225,-0.01178575121894078,0.09050333325913724,0.020964588144967513
CCL18,,,-0.042637030320645114,
CCL17,,0.06696960451141361,,-0.012380850464299317
VEGFD,,-0.010210820463679394,-0.019515878033373013,-0.013268940918840389
TNFSF13,0.03812769591646945,,,
WNT5A,0.0037157147573413794,0.02675431606852059,-0.038100096109880945,-0.021224588787275973
CXCL8,-0.0021859912435836844,-0.00950875999701229,-0.0444701605086648,-0.039894628167999234
GRN,-0.02962313876950829,-0.039722128767428935,-0.06052645727274293,-0.0022179180232418196
MIA,-0.02562386248862308,-0.01161265789866842,,0.05795266023500493
COL4A4,-0.013483060135894199,-0.01950834174571624,,-0.017627924171892097
TAC1,0.02954534538033865,0.06613885806718153,0.03302218314193487,0.24743758505017133
RARRES2,0.013126013669688965,-0.0037329681795184636,0.0028575127202972897,-0.07135049761821258
FGF7,-0.03864471779816658,-0.04049530854372068,0.03583315311729321,0.003149671707438947
HBEGF,0.0611847816791262,0.019244777166460572,0.0009417876444344132,-0.028738254424932608
PCSK1N,0.023092491982615263,0.024125351564923205,0.105988409893768,0.12834754163574374
NTS,0.00614083036087319,0.02304484365378862,-0.017570559258882745,
SFRP1,0.017284406526425534,0.006279510708277865,-0.06600929210692383,0.03708424527382452
MICA,0.010226659446262863,0.007730192349829128,-0.055935761313325824,-0.039477541095843574
TG,0.01988837144582287,-0.010074171229175763,,-0.018597784371762814
ADA,0.00409737028174269,0.018277360945012183,-0.06549264003363553,-0.05667291114767884
LAMC3,-0.0019139017080512732,0.011771883712630653,-0.0537377674443861,-0.028067455244873887
NGF,0.10806545266162404,,-0.01757057082793023,
TNFSF15,-0.005036395625131256,,,
HMGB1,0.02037208400771045,-0.06975436055298169,-0.05032456378499741,-0.003910350013219084
ITGB3BP,0.10615295519821577,-0.022405547862103695,-0.002032318544316433,-0.033540708964104465
AANAT,,-0.011612658544594102,-0.016518920615277214,0.04548074881057269
RELN,0.004829471596764733,0.026038218715469158,-0.036226444143844766,-0.01838618688066687
IL15,-0.015664158740020473,0.02022287341804026,-0.0018102332727737834,-0.015402898877467699
BSG,-0.054465522031955836,-0.02019605882134089,0.04355472184694642,-0.0895350346306482
