,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.024126900846045005,,,,,,,,,,,,0.11707858461151038,,,0.061658587377836395,,
BMP1,0.10621210662288885,0.008591765574029478,-0.026861933663867806,-0.012951075349195066,0.042522843172354455,0.0028824470455814243,0.08669713613899356,-0.011364807724773315,0.04567425177764758,0.07038794899717452,0.07858210000071042,0.046448442197621634,0.06607232790217023,0.12366000896322871,-0.0725547384754574,0.06797265102920559,-0.015362722267385555,0.0031875930738078204,0.04007236342954027,-0.02621599638725906,0.018944945275234375,0.08850515112842386,0.07275072696531919,0.10453704773402163
NDP,0.025373602996802844,0.03542021131232798,-0.006119546529390671,-0.044420357642131994,0.011838966274402209,0.0027853134557922436,0.03258008614685283,0.013330765451984576,-0.01842885058076989,-0.03955667610696134,0.05344703155608175,0.03950641328278576,0.04332288044874282,0.1373410873896987,-0.08151295641434463,0.007621432377927371,0.014112588256096957,0.09647578949540293,0.003558777866312336,0.023200460663722645,0.06645796246970982,0.03419462659072203,0.0021200438433349737,-0.02739577359546346
TNFSF18,0.06680345021961843,0.01557051400260469,,,,0.011031120145203318,0.050655451164563395,-0.01942237683731094,,,,,0.0790833091379575,,0.04095858878960904,,,,0.04091959782759222,,-0.02123043175092958,0.03286567949680014,0.02208105346529162,
IL36G,,,,,,,,,,,,0.03557261379551073,,,,,,,,,,,,
RTN4,0.004399873109499928,-0.00605483558954144,0.010706856521387741,0.012278662434658225,-0.007473862330426033,0.027292774278864028,-0.09081248093888118,0.026692998381214545,0.04618568769429151,-0.021020730744317883,0.00810254075468973,-0.026103058407237895,-0.07332461544916868,0.025674873303156664,0.050140626871826105,-0.032373255729858344,-0.038061713734994874,0.020988323587530482,-0.008943984935857725,0.0036301649046977026,0.006557443376451415,-0.04611844940595133,-0.011889968151995365,-0.013837122258647076
HEBP1,0.062089977407662054,0.0598477651275788,-0.043042554722176996,0.011446052697761559,0.035903202218554885,-0.0027327039382271873,0.0458715482374329,0.03621741323046952,0.011369366638564846,0.06890457706760782,-0.005893369076540684,0.013147051339449541,0.024339417150863834,-0.04328815570830064,0.030726133738271127,-0.03607193359193816,0.04747732636216652,0.05576973686040889,0.018359428571432523,0.001127019121403798,-0.013482606407972903,0.034952990865015784,-0.02529391347672604,0.012852401638683605
WNT7B,-0.0012942384467105313,0.03703750639947955,-0.045755405392519675,-0.026953573235513183,0.036334311214517995,0.09762718748679254,0.01940980827008835,-0.05567243522046494,0.06325948494556347,,0.017329035059900223,0.0006683158163658867,-0.031278347114339175,-0.04873943528912154,,0.02414933652431548,0.06399640799172923,-0.015221068881507384,-0.035208832419644225,0.0374820062997973,0.04567686357269412,-0.058136762662327805,0.06439355655515373,-0.04681345474735048
PTMA,0.0786945852051617,0.10769670723966263,0.06461473151105275,0.02721292603815874,-0.02357930161311994,-0.005630491539750202,-0.10530893613877339,-0.044234404633451276,-0.03779345378690377,0.02056370945096106,0.07398974765445676,-0.032200182727910524,-0.04228144720646794,-0.0975994624878257,0.014830076777096034,-0.08535575995901125,-0.02527418504978073,0.01988670191700013,-0.016667431091129795,0.013768413113137977,0.02915430529482918,0.012444733029943986,0.06809705025528096,0.094121633015452
FASLG,,,,,,,,,,,,,,,,,,,,,,-0.012780443347191982,,
