,UKF243,UKF251,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,0.026494885523111703
BMP1,0.023624171676352102,0.04819066351235775,-0.0012088905299276758,0.010483393979204149,-0.03160897275665944,0.03155145352432475
NDP,-0.09679506655912752,0.054544622485306844,0.01439192769985881,-0.06421064744931641,0.03137258273892998,0.04229828816729484
TNFSF18,-0.021274489257832017,-0.004089071856534088,,,,-0.01872491093110128
RTN4,-0.009706130767753807,-0.004092066931946968,-0.04806638008711947,-0.03308258018678276,-0.08191059101300786,-0.04826727341724095
HEBP1,0.034299663796233754,0.0044131339773837855,-0.015172448781779046,-0.011546023146905686,0.02365392278941897,0.014968938753898984
WNT7B,-0.04965489441857356,0.020876672725507608,-0.03139837175171816,-0.014221754090046033,-0.03570514958161413,-0.04014264812024368
PTMA,0.12497898594228603,0.07027108566619017,-0.03040901956957262,-0.006631779053330399,0.05220315030669297,0.005942909566481568
FASLG,,,,,,-0.01631158584751107
CEACAM1,,-0.013221174537054804,-0.028158562705595063,-0.021078380721965446,-0.017297482674527947,0.01493992033278501
PDAP1,0.06909231903988186,-0.033635780264789396,-0.035819993855305564,-0.008908954103575468,-0.07098335070478269,0.023738914533367562
QDPR,-0.02737985083941959,0.003282570963454763,-0.0353918158645332,0.01901629594809907,-0.03218193891500659,-0.014751775308311262
POMC,-0.008167590878337396,-0.00976351390160157,-0.05448685830849811,-0.01586401515721445,-0.030493210955261477,0.08638305213561122
CCL18,0.013046270262829274,,-0.019964883929448833,0.00992930713791962,0.049444354959089575,
CCL17,,,,-0.014954090899929814,0.00944437775141748,-0.014784620459662383
VEGFD,-0.03214591684420689,-0.018936679968464327,,,0.00595481809536208,
TNFSF13,,,,-0.028694654298052086,-0.027141538658153608,-0.024090305016890908
WNT5A,0.07735707796064774,0.02733418287448674,-0.06714822869907774,-0.018444176959005774,0.03405412343222461,0.048286024444857016
CXCL8,0.12367865470167715,-0.017731184709652483,0.024223002704743174,0.07359924184182808,0.012031320407363539,-0.026260770597138796
GRN,-0.016316764010882102,-0.036808455542091216,0.052257055102033184,-0.002459682030736039,-0.04685991150879405,0.03990434054638117
MIA,0.00710552596612419,0.021646987224782557,0.026171904548193143,-0.07781509719885292,0.05345688262080739,0.03506365555645456
COL4A4,0.024503861800915426,-0.028321476795503953,-0.02524185138012182,-0.03951293778230092,-0.027695974377502233,-0.01359538266827691
TAC1,-0.040528972634805496,-0.046764120955521765,,,,-0.019435886957711236
RARRES2,-0.0356068658164559,0.0197992060961489,0.04512232817507113,0.05180428960269727,-0.022525829849698215,-0.0025307775241767442
FGF7,-0.0002507767783132039,-0.021373544886746424,-0.03137704733356781,-0.013237363247405152,0.031691512078304715,0.03763264246725734
EFNA2,,,,,-0.01644009968137081,
HBEGF,-0.032500282883345964,0.0004983382701002975,0.026080905053492354,-0.008355951713735503,-0.004208887275339718,-0.028734323690314707
CSF3,0.04087827471320924,,,0.025548369466069934,-0.018699788864089024,-0.015565924547118882
PI3,-0.008026399396277617,,,0.09667349087385778,-0.03149849687732377,-0.033819582769419806
PCSK1N,-0.01685693122595768,0.01785830708026155,-0.05773002298445166,0.001593810259301049,-0.037502964173037244,0.013693122467375841
NTS,,,,0.03218061861666676,-0.020029141732146725,-0.023051011665860523
SFRP1,0.0018998929202671204,-0.005874484321712572,-0.025289585977636576,0.015513786395727472,0.007630468253526517,-0.022515364553144207
