,UKF248,UKF251,UKF266,UKF269,UKF296,UKF304,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.013977905250315774,,,,,,,-0.017543363599713393,,-0.012652420574913092,
BMP1,0.04501226013764831,0.004980828995451492,-0.024411774314593186,0.023760408735361532,-0.007640096480629127,-0.03001969282282716,0.0684282979260953,-0.0008005376996261317,0.03581647253326389,0.05453386956184821,0.08901648583831921,0.059111060718012545,0.22519745314048417,0.04823129185019457
NDP,-0.0028072167083041124,0.0025974376059051322,-0.05152719248049511,-0.06370803297297223,0.03070295661214246,0.022953118815498913,0.04763722404983874,0.046233467799462614,0.01338819457162315,0.07320873940939328,0.0887238532053133,-0.008713202127598432,-0.06451561173021954,0.016200615681309535
TNFSF18,0.02224736362080649,-0.03648533001441305,-0.015079727147775647,-0.020756769668504226,,,,-0.027050321416026226,,,-0.018092161221832177,,0.04816257005759139,0.14374142759300987
RTN4,-0.029699621890371487,-0.023398796348596318,-0.11547502970622746,-0.07095022960806399,-0.0006957686163319963,-0.07139184917589883,0.018736391770423397,0.05556822653823657,-0.024860527778674344,-0.01325176015145208,-0.10436728761722984,-0.06865070051471789,-0.020108013233560193,0.12788089178187012
HEBP1,-0.0496883301804823,0.027543042540400135,0.01422486711275254,0.052422294171940303,0.020009179306052633,0.025348384875031632,0.05411713102531192,0.03675708698435869,-0.012363188048888224,0.031720849249952894,0.044912870863725675,0.045421351899618156,0.020627983372852075,-0.02168209639282689
WNT7B,-0.02663107118828717,0.035545401286044595,0.001200459930771281,-0.04454848367374869,-0.01689062732089549,,0.023130232210588735,-0.029779763621336115,-0.019351048132477598,0.011545329558212037,-0.037832172732610095,-0.025144472326377537,0.05918257311467803,-0.020930684502653642
PTMA,0.055273427864876455,0.000562035032365446,0.05043891282119544,0.056807882145154226,0.013194404949573147,0.07005189780852125,0.08841872673157032,0.1074837292075118,-0.02643635161510398,-0.060403998742187055,-0.11069076036715887,-0.05380927202255593,0.19626560599427093,0.04247288016901053
FASLG,,,,,,,,,,,,,0.049701956723587126,
CEACAM1,-0.020601164611661345,-0.017392916112803018,,-0.027314726666548814,,,,,-0.022953374427623362,-0.02225083748941107,0.03312337546038915,-0.016688751976690185,-0.009058675444525897,
PDAP1,-0.0318691708820345,0.028094314752505806,0.042594228367172735,-0.01680998220021141,-0.014203356908603984,-0.0012175695534415408,0.043819867881564396,0.027505460550269426,-0.03799080119603338,-0.047913136352368844,0.04478804622522022,-0.01707209793774031,-0.042050051313433395,-0.026813209292089035
QDPR,-0.052246143385669,0.0024114139519865576,-0.11878480580157616,-0.02497332380460064,0.06286420807803558,0.05562238805054336,0.07806263657702488,0.006374370940299002,-0.029152085117067923,-0.0048942762052456125,-0.06775498584678341,0.013381950286433986,-0.02184977148430189,-0.04898963076936706
POMC,0.019919713463717095,0.042278139400052824,-0.03057077066194333,-0.011011018909469601,0.058219635023414276,-0.028411130243045143,-0.01698552279721531,-0.00858669207399874,0.001103966659473718,0.09830649194107098,0.017813602358852727,-0.027300605905422298,0.02335821075359993,0.04334238170425444
CCL18,0.0020739535015823953,,,,,0.08972765077713278,0.009663064621515985,,0.14287511511809647,-0.013368955841230276,,-0.00699825636740071,,
CCL17,,,,,-0.020905861708202272,,,,-0.01628430818184777,-0.005879049750691863,-0.0231299115134887,,0.025418862530969324,
VEGFD,-0.025708315117948057,0.040906734392860536,,-0.023416740780205288,-0.01533470238644835,-0.024256562258000446,0.0233765406711407,,,-0.02225083748941107,-0.02439491761529796,,,
TNFSF13,-0.019400319562996586,,-0.014624189524804258,,,,,,0.07969165896482017,0.0478753718421775,-0.024803838866117537,-0.018740349947355416,0.001095346305084257,-0.05870450112183354
WNT5A,-0.014527145416533526,0.011907780779582959,0.007120740841544202,-0.03391276925991352,0.0009163901344831426,0.022532583383024787,0.022915321116477944,0.019150535879444326,-0.03375877429066097,0.07295101585785896,0.03576656513946962,-0.016154253878685843,0.08325310549844235,-0.001631272053136905
CXCL8,-0.07286874698936885,-0.023325991754458816,0.054070036886087705,-0.009906211454483452,-0.014280341637287584,-0.016663932586297437,-0.05524730642669526,,-0.016077078010048776,-0.014988487613678849,-0.0025670644036249754,-0.004754804415287131,-0.008223690037166843,0.00996024679709238
