,MGH258,UKF243,UKF248,UKF255,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.07731314566440611,,,,,,,-0.020915617667524505,,0.055082801967620824,
BMP1,0.0441785632843516,0.035032925713608595,0.02105589539624891,-0.029729847751629783,0.022345784916169082,0.05017605786811443,-0.010254512608052267,0.011378249334436557,0.023537671480871596,-0.004787548497831246,0.01738364078515418,-0.012704497714591869,0.0184902245729468,-0.06141641083100889,-0.024377003872077734,0.0323200653552576
NDP,0.058887784407071514,0.043807476624953295,0.03591411906389613,0.023320014463553928,0.005009179031091458,-0.027702880446702008,0.0007203198827237722,0.06205214831437315,-0.01723025520789405,0.008089034885103858,0.14571258388147593,0.07900216792411782,0.04340240403690038,0.061524225965964276,0.09778959050211028,0.01194492494525826
TNFSF18,-0.03233522717701527,-0.040995964313059595,0.04680220349090505,,,0.03677686796450725,-0.01249094383208822,,,0.08692617721853578,,,0.11713024362276488,,-0.0064904958239262785,0.03493670799645239
IL36G,,,,,,,,,0.011180810637684996,,,,,,,
RTN4,0.0025789510670971906,0.02624567589405486,0.019257818009162975,-0.014498786201009556,0.04128428696336693,-0.06541890160413376,0.014347898289336351,-0.0823016730232939,-5.326634008347606e-05,0.012262530283597882,-0.11598887664257088,-0.029846401356955456,0.06773087271100517,0.01756678517375161,-0.018975744867829287,-0.165152354497533
HEBP1,0.026819333646396153,-0.023317736630245552,0.007929930246510002,0.04067569390003979,0.014648312896046454,0.11245685928837756,0.04067128125304425,0.02266861857312259,-0.026777842458705594,0.05053694124222754,-0.03244400141206287,0.031160315051014208,-0.05225426530048188,-0.0062868603745352,0.05912515189132615,0.04553686179854695
WNT7B,-0.001086202727231131,0.024086185051382717,-0.0370519512114612,-0.020550341486194123,0.01656434830275905,-0.020320133413336553,0.008555660817573809,-0.01976746330060642,-0.015116034573743229,0.11940780862840537,-0.0352946741706696,0.13463817258551167,0.14517331446219636,0.0573260451809816,0.05174744070552282,0.0029553034070718296
PTMA,0.04546986150511245,-0.03046906442749426,0.004701563989284869,0.009831771999449842,-0.018344346276448237,-0.013843542066909673,0.00035999746657225113,0.02556219521626006,0.07951791441664216,0.06891322929048041,-0.19095334313589116,-0.07003033341337726,0.035955488756767365,0.04168354222401372,-0.0897606921533276,0.00961592349579593
FASLG,-0.03909918328544085,,,,,,,,,,,,,,-0.008532911809242675,
CEACAM1,-0.05428955817565681,,0.03101551459586702,,0.005154171049064897,0.11043477029065417,-0.01964527887989447,,,,-0.01533754707411458,-0.02094482256508696,-0.030993704887429432,-0.013120998889057598,0.02395865206826886,
PDAP1,0.02008139855422487,0.020017396062574102,0.0007575025624214187,0.02760898101774532,0.032404514603541365,0.06976093504692814,0.004930451784719989,0.06410385523034481,0.015779113269161864,-0.022522597816407867,-0.057559563485370245,-0.03770043235511286,-0.0430541034011428,0.0022976142513595004,0.0023701778535822776,-0.027742556872379857
QDPR,-0.037474363916952115,-0.016794759092940256,-0.05338377385111597,-0.01281875265953788,-0.021146310262062148,-0.04755652060799545,-0.03079764377926927,0.028597666131344034,0.017764024883751506,0.07473880793279529,-0.009479751580896398,0.020794858076325515,0.03486592961817561,0.011237632680961788,0.005142072239330719,-0.05568495916665153
POMC,-0.020588549637555055,0.01278385978407278,0.017863085862586083,,0.05661017687182147,-0.014745307103500516,-0.01449350346218431,-0.017459936534996057,-0.029465760158764898,0.09407555742293494,-0.06731807309873036,0.01720735915654933,-0.06703305442547959,-0.021464230534192878,0.023676526241500122,0.01165299923744724
CCL18,,-0.017404803708080795,-0.05063035201555463,,,,,,,,-0.03125917937000344,-0.016745821901219784,,0.02804052382031324,,
