,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015533295335925809,,,,,,,,0.04812857906211563,,0.0036871331350677205,
BMP1,-0.007857264094448186,0.11077951590261458,-0.012579808728310304,0.005020562858471607,0.016444206840934093,0.058762718368675436,0.08748573768515326,0.024991531821301132,0.0029793229220033083,0.09516612650151053,0.022540975265992195,0.007060321377159884,0.04022626460224915,0.04228426381578275,0.006279307237564159,-0.031332766818756595,0.04603110406163142,0.023019283986347835
NDP,-0.016529922591191785,0.051044087650352184,-0.022597391362467918,0.04612010886768985,-0.05765821925913941,-0.04320125210784186,0.05119362131408854,0.060126781151446956,-0.015331095164449995,-0.05104992014327141,0.03296847265484938,-0.06731021114498285,-0.030201526474528253,0.05303186782258807,0.041702607052801724,-0.0574609068464597,0.09248042564231762,0.05042420415170791
TNFSF18,-0.0272810475545439,0.006145263525858803,0.002096384869727704,,,-0.011239800812389079,-0.0066725916918685055,-0.02575279697758446,,-0.02373641703754986,,0.0483038478730719,,,-0.028153265420642063,,-0.02672433559843268,-0.025347691528853113
RTN4,0.03205984476310606,0.04137510494182771,-0.03861875051979749,0.03889331262654571,-0.017508808949606568,0.04187714584754767,-0.08283193154864986,-0.05582083980846509,-0.03410506579849736,-0.025092185260679366,-0.04889183182094273,-0.01657879467533738,-0.0037391856266494688,0.04771431216985533,0.037073850193101984,0.045501532423386504,-0.04275169102642629,-0.009624614061313534
HEBP1,0.005826605350706288,0.0025067354532722057,-0.011440358063026953,-0.029120198482579893,-0.004072336006989322,-0.06254540942864849,0.03681818087724609,0.021418902647439612,0.03716330399654528,0.07118318280603722,0.09770401603082203,-0.06703777326764593,-0.029635085569306496,0.006146175464038044,-0.01773393572353067,-0.06559271090622106,0.04041720208999032,0.01772742422104341
WNT7B,-0.02403374842938283,-0.0034999724498978283,0.026779946426743733,0.012372748168975798,-0.0057197752047529115,0.030599964432801517,-0.016192739260599828,-0.02585104296888765,-0.002430713037382249,0.033802684132721965,-0.04921712072476917,,-0.01544626848386174,-0.031787887038221406,-0.05887075553447272,0.07043737298980703,-0.06365206253052283,0.017722964727909147
PTMA,-0.0762629274976259,0.09198769777973843,-0.01790118896365236,0.023857619131865692,0.04765752421740896,-0.05504759101511937,-0.037827494806589985,-0.02217313204512911,-0.0030858187934381946,0.07200583055588741,-0.11103347910682014,-0.005536432393968285,-0.09638528452001252,0.048671231863943586,0.084635140496093,-0.005127989739938535,-0.06746543198362033,0.012289602059875837
FASLG,-0.024033755223661944,,,,,,,,,,,,,,,,0.02034548693276728,
CEACAM1,0.0091392398919275,0.0023128584883309925,-0.011702680565221724,0.0238510887217706,-0.019101150816838507,,-0.03035417029472324,0.045590155780075636,,,-0.0495269219857081,-0.004623378084606072,0.3238641250193057,-0.015399751345296819,-0.002966990826988015,-0.01552790182481724,-0.0017723753930717443,
