,UKF251,UKF259,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,0.06430949553679831,,
BMP1,0.012495347137199719,-0.015240793270999997,0.02759316822145648,-0.002724998969436009,-0.036016991038398206,-0.06034664139976044,-0.04922119514904134,0.11932567569805835
NDP,0.057229027480433126,-0.03745144420595279,-0.017133585554268253,0.0013830267077643863,0.012091071408710269,-0.01556075881999876,0.05318761426730287,0.002734575415905096
TNFSF18,-0.02528979954525549,,-0.011674763932192451,,,-0.0035505991424725552,,-0.027630988260837937
RTN4,-0.005902937053429391,0.023457991907930183,0.02253604402914888,0.027880562205818707,-0.01685913440143389,-0.037072267397845686,0.009684612150184803,-0.07507441465845438
HEBP1,-0.0003043479643989322,-0.0005692954166776397,0.017595533619290015,0.0013336555630496041,-0.013408524239317345,0.023697056659953836,0.029463932326650122,0.028783025217550558
WNT7B,0.12690333494684697,0.030540589769824485,0.04553654480268538,0.10787383845964842,-0.006428338499973531,0.030797321453369067,0.04737929821523896,-0.013281636624933063
PTMA,0.005889109949780626,-0.00922898973301088,0.008444961778284224,-0.06574936356356509,0.04295856070774855,-0.021690790123684075,-0.010597601668254008,-0.056066399260537234
CEACAM1,-0.012055896488437145,-0.026274341079143768,-0.018361622339191235,0.020631703532274653,0.08024177711398821,-0.007862041715792004,-0.01427955410097144,
PDAP1,0.015750911320605597,0.023805529397645794,0.08064832593727261,-0.01659225646739573,0.04418575599002366,0.03766066958617728,0.00944620840578946,-0.02681969125775632
QDPR,-0.03572158929408474,0.0351528682882307,0.024217814537626146,0.042184849390357215,0.07056576262386839,0.05884971508757921,-0.0017051912672014682,-0.017069542481362544
POMC,0.009420652226447744,0.06379653638083328,-0.013546472848331409,0.05935212928461975,0.027718684198277842,0.00260335099118169,-0.023359474666546847,0.038747598072563366
CCL18,,,,-0.031153517308362466,-0.05568677030784668,,-0.033708075416238395,
CCL17,,-0.015228933061595151,-0.014560703630163823,-0.019380251024937838,-0.04019460775412668,0.07683040723401528,,
VEGFD,0.05781924025737526,0.0006236450349581023,0.002386966819760112,,0.031051735597014102,-0.03341659575986196,,
TNFSF13,,-0.01050457719230214,,0.08367918824512856,-0.033986139118381,-0.0339767434247053,-0.016034982203472815,0.10346009579453107
WNT5A,-0.01388860363159998,0.04262886296605135,0.018879124223728973,-0.0038454587037213286,0.029864571787398143,-0.01857342107959622,0.011124435271181512,0.04639626433534993
CXCL8,-0.016168406738585335,-0.02447143385362837,0.04562696273929821,-0.06787707863011114,-0.05567880826188088,0.00485728687208223,-0.023192665665502564,-0.002944968846482467
GRN,-0.012596768892326908,-0.04838626240577334,0.05171498667558979,0.05101671617388296,0.0026812110116413157,0.0433552412306002,-0.03483831078165558,0.06380158142334398
MIA,-0.015356642960508524,0.05616224148807807,0.051177635908157694,0.08380282835576221,0.0529123177855759,-0.07153906255429882,-0.01904878188451908,0.1850025080217462
COL4A4,0.03665797756626625,0.020647401862291116,0.0561931820917337,-0.013804797171044972,-0.016562943277560523,-0.0488062829978048,-0.02877823698415912,-0.03359500779625231
TAC1,-0.0063070636267405136,-0.0038830800120360784,-0.018762740309655628,,,,0.006374876096472639,-0.04116931991548325
RARRES2,0.004557697142431331,-0.04727277262793413,-0.01386138501818396,-0.0460467872569477,-0.03984709914928227,0.020806628098236087,0.03280362190787662,-0.09741150312187674
FGF7,-0.01948973928325289,-0.026994696835559745,0.046268673761197116,-0.03744320548399073,0.060910759896493756,-0.06557995361655433,0.015668821168570688,0.03793498697340928
EFNA2,,,,,-0.02646388869796294,,,
HBEGF,0.05273847001184681,0.06683956034673011,0.023877555893131775,0.002406974630391307,0.060282567300993004,-0.05340916323563136,-0.11010842775454344,0.053563475410400394
CSF3,,-0.01815156035249213,,-0.03163706134011484,-0.030455249405819913,,-0.02047169137178221,0.03537500211461232
PI3,,0.0064015429562423775,,-0.06146047558142217,-0.048572861590148855,-0.02692052817471577,-0.015969349307118255,-0.10217840781983363
PCSK1N,0.053684373669662104,-0.003872651120600901,0.03477960904069159,0.05160943022921382,-0.022427754177771847,-0.04968080301525985,-0.03488686034251989,-0.022102176068103087
NTS,,,-0.017366318053476184,-0.003285020664077298,-0.03224122650034071,,-0.04733338880342736,
SFRP1,0.07330564294493742,-0.013287832749183917,0.00544357470028527,0.0453187306043078,0.02319095196230627,-0.005403206272398777,-0.03325890124787422,-0.0440871305098834
CXCL13,-0.02915219202316253,,,0.06923747781871385,-0.056149681268733154,,0.0008911126964705753,-0.028664002957692624
MICA,-0.03450353999545271,-0.006189713341792783,0.03322494853189719,0.05110729128462547,0.024030224420239086,-0.06470989791255985,0.01915243665406845,0.07721480594037984
TG,-0.016393590150347106,-0.01433967678409954,-0.01466935787949921,0.11149727865143998,0.0007524984021973998,,-0.016848516578876722,-0.015217971303969942
ADA,0.04707153307409348,0.006050860294535189,-0.027550291427738526,-0.0190930127620822,0.038472576434986604,-0.01631248975478325,0.0037579660822184275,0.02980053115557285
LAMC3,-0.007423940468396788,-0.04683796808428774,-0.016683858238608813,-0.010940688245128019,0.002298385563349046,0.011962653637860565,-0.021091595779431583,0.1633371616335285
CCL7,,0.09889480993161483,,0.029957215623389207,,,,-0.059838924600353616
NGF,,0.013265939426910022,,-0.03354641579059648,-0.010178149016664098,,-0.03514542042982247,0.009393350911155528
TNFSF15,,-0.011544788921364697,,0.0014207771106551756,,,-0.012712568886300426,-0.03911030145465886
HMGB1,0.015246114866583694,-0.022578067701789613,-0.04652672317572811,-0.03219080235247306,0.020483298378992626,-0.04574033810625819,0.018972913120961676,-0.02038289147973098
ITGB3BP,0.025164449130638665,0.060787174267901624,0.01667758341289299,0.035408819356701086,-0.009164340181850628,-0.045939097697719214,-0.08031851584720127,0.003356542180718232
AANAT,,-0.010504578313435669,-0.013192239269027926,-0.02548200195569044,0.05538169551752024,0.08241025363134662,,0.07235757615476048
RELN,-0.03847037691425044,-0.0182335955038965,0.0097098625875179,,,-0.049011767714724326,-0.015355405523966291,0.009893500808546951
IL15,-0.020885183044233493,-0.03646107877651634,-0.007161774158765836,0.05201445134533272,0.00022247879484353736,-0.03786865134922,0.05628647528605857,0.03258854432950148
UTS2,,,,0.05689142243737455,,,,
BSG,-0.039904513545978536,-0.017865909015016695,0.031186894965654605,-0.00016677062815105887,-0.026570852299029047,-0.05759869703909679,0.012251051184283828,0.10264571416354569
ADAMTS3,0.07631300015162079,0.00029255656904809355,-0.03390709332919065,0.11954227763231023,-0.003241331849125047,0.007451506881624804,0.019878076454401896,-0.000753718568596395
CD34,-0.04106987077915401,-0.048115141278324135,0.02890902014439413,0.03578788647106474,0.03864936302022273,0.07166838413534395,0.014194430165188923,0.053985767904024935
PLAT,-0.008376015652131686,0.019641992524477597,-0.001547533099348696,0.06421099087014866,0.06578881193914356,-0.08360559806351564,0.02059732381237335,0.12858623500561928
NTF3,,,,-0.01295438326666492,0.06090031123543195,,-0.01517389134128791,
LTA,-0.012055897725588065,-0.013287832127558213,-0.012705501262420763,,,,,
CKLF,-0.0010927471421008953,0.012635559677360455,0.023040001337173602,0.030963583806347512,0.03668605143555176,0.03396840967490974,-0.019408185945798906,0.06143690946572902
CD24,0.005169404763845458,-0.0071876718676210215,0.03274658494162284,0.04037375543987677,0.015937355704141478,0.03692000818090859,-0.025931546883424385,-0.0643262388797916
HSP90AA1,0.003425304558870978,-0.0594735633822529,0.015927342461917664,-0.07226895695859256,-0.10166293097489633,-0.047692126111599724,0.013756327361285644,-0.05158557359500921
BMP4,-0.012779958305916658,0.07917836112310694,-0.006416495564005861,0.06629628112897205,-0.010920569451711023,0.06676509996469257,-0.009452460682786584,0.0671854293073705
SCGB3A1,,,,-0.0036326565348801976,0.0068413005665181265,,0.07424934646626766,-0.019478673455999546
IGFBP4,0.043987204082323164,-0.012892558666657452,0.024534854829191283,0.004532372128842942,0.013994536690660028,0.018649917610878593,-0.051833479972921745,0.10648244196029338
RSPO4,-0.019489735583127124,0.008545339260874188,-0.014777271459424151,,,,-0.017779272572835448,0.027668456354059144
LEFTY2,-0.012203962492385409,0.014544568882100707,0.003576400379606759,-0.024657213968700662,-0.03042871731107559,-0.06963078358259925,0.04122669081938554,-0.013753349956092164
PF4,-0.010966477549302144,-0.009045494816796198,,,-0.02425598617205059,,,-0.021313762195087054
ANGPTL2,-0.04102881061977374,-0.03029546524092544,0.03598242333722128,0.04050091307327549,0.07987748462491087,-0.022540184310063924,0.03264142812517365,0.02252420426771623
LRIG2,0.06634431812988008,0.03660476653168119,0.06081476475043683,0.04462086006523623,0.07250558820931254,-0.012589839006161488,-0.01564253356583234,0.016903221642186536
ICOSLG,-0.0016283731270069167,0.05951632036796638,-0.001810095939336704,0.029372054865000777,0.08183784053060335,0.0631219156690183,0.012514718529394677,0.09231806640882763
WIF1,,,-0.011403270375476535,,,,-0.016527555990680606,-0.039110298245071215
NPPC,,-0.014031793137994459,-0.022244157264437785,0.016609475735577174,0.00921924869425668,0.015648138902705326,0.011334481024349672,-0.007500407989133566
LYZ,0.03415383734777063,-0.002101771704877677,-0.0010460252526697967,0.03334153876630974,-0.019905747701614768,-0.03612324552001433,0.01507309225232158,0.018895553382340897
EREG,,,,-0.02889238193340198,-0.04980855649795313,,-0.02214438374925521,0.09788251145142911
SPTAN1,-0.02922718242058731,-0.028727783311530503,0.03078594950018795,0.06888213163464017,0.017202507831336724,0.062397480643706836,0.03614966783148673,0.020730699644813326
PTH2,,,,,,,-0.02827496641219325,
LIPC,-0.01650513481041437,-0.01625542787029061,-0.027627613876754543,,,0.03381471216253945,,-0.018021803728404645
COL8A1,-0.011659411337498165,0.056315979075729744,-0.007623657050045174,0.01360478604352219,-0.043768369570522235,-0.05072527968795002,-0.019814800961054292,0.0259530961655475
