,UKF251,UKF259,UKF260,UKF296,ZH1019T1,ZH8812bulk,ZH916T1
IGFL3,,,,,,-0.017079230261307206,-0.01710444267988877
BMP1,-0.004744021932331968,0.016395309762544167,-0.003076916759516524,-0.008003607034090799,0.07885978987274599,-0.018581052925468754,-0.029249536820131428
NDP,-0.02915627220492553,0.060563665339419946,-0.022639971128185745,0.010944022056571794,-0.059587470147244026,-0.06319690205582384,0.07900379589945898
TNFSF18,0.04830020262177705,,,,-0.04222231160363659,0.0940805563661641,-0.028852136840513774
RTN4,-0.024329116971796853,0.025705155774788938,0.04935936125908098,-0.021614520029929557,-0.009668902047723768,0.007666685610572144,0.006992099464022161
HEBP1,0.044084150173577245,-0.018008988993905226,0.014208113704659651,0.006094807620530233,0.0157833737251179,-0.07410615499113206,0.06600642503882231
WNT7B,0.014269621228839206,-0.02347245645604061,0.04016167741268529,-0.01387467142958698,,-0.008830998485736298,-0.03650799109532192
PTMA,0.014820717126000476,0.009750044837105468,0.040242349365045844,0.007707765423736922,-0.013246024717201559,-0.06980647127364066,-0.08408234984040293
FASLG,,,,,,,-0.014834677301002592
CEACAM1,-0.023110943519489755,0.0515094332607206,-0.041947617218719695,,-0.029689450790462032,-0.025308773130105777,0.06268580734636206
PDAP1,-0.0008149540148533175,0.02027512361481715,-0.019150639363185642,-0.027065503231417612,-0.0013704108790797032,0.013502664585970351,-0.04271699806773629
QDPR,-6.510134519214493e-05,-0.009849026388161273,-0.044953406398344185,-0.008962489375111347,0.01296180814167203,-0.07145634058903402,0.052970562183526915
POMC,-0.03280740635908226,-0.034774240053053435,-0.015124093412107003,-0.03731736095430279,0.00540526924256093,-0.05473770795825638,0.04481322021903937
CCL17,,0.031213519628793356,,-0.01717295377151879,,0.1372754691822366,-0.013445968748057572
VEGFD,0.0064014351694843845,0.012707000302148977,0.09417218743832727,-0.012596569271246822,-0.04036215774012062,-0.023749517177201977,
TNFSF13,,-0.0149294050687112,,,,-0.024147619864967246,-0.02190908378554931
WNT5A,0.028489397971735952,0.00637462997258065,0.0380849891337801,0.02688242622211026,0.13114497341312864,0.04213496300670457,0.02839525293817922
CXCL8,-0.030994554017112607,-0.04451713157815413,-0.07357389842863701,-0.01173047302242596,0.061728079476758915,-0.014476193089452975,0.012637384581212408
GRN,-0.0011561184353970665,0.019666593001201046,0.04639334207640969,-0.02284521253123235,0.05586139027357658,-0.03168118375005718,-0.08210731617108755
MIA,-0.029438416997829623,0.08781827880052648,0.06934760589409383,-0.014325944733255797,-0.0018314941217395732,0.0660762053579184,0.07756583329507649
COL4A4,0.012499716955696814,-0.038863139522930384,0.008439251777990101,0.04962881452175886,0.09396510897859488,-0.02023711427686406,-0.03948658329453935
TAC1,0.03607707167898537,-0.004804826568745246,-0.01241896987730309,-0.05268116361939871,,,0.07471530111965764
RARRES2,-0.05191390326239903,-0.017690276940309488,0.01724029024017563,-0.0002618033451629846,-0.07791487735930665,-0.021513612459683033,0.029775391302271068
FGF7,-0.018305323096642255,-0.03836563398862556,0.04103053811759567,-0.017316074946256487,-0.08482038402532607,-0.03904943926363387,0.047618597941589284
HBEGF,-0.027146172081089784,-0.010160660831079053,0.02134273923084049,0.03191454722383937,0.0203208667737484,-0.02018883334341095,-0.05861803936470836
CSF3,,-0.025797515899078634,0.01056612189224183,,,,-0.014156530806199821
PI3,,0.04842477758371052,-0.02486138002461891,,,-0.019132695349916847,-0.030757438395571046
PCSK1N,0.050107957575931644,0.010557285373278087,-0.0042926352299297145,-0.04212974559737667,0.054094216023829286,-0.021378042656745488,0.07896864973802281
NTS,,,0.033036970713648944,-0.007185053716887943,,,0.0787450566005953
SFRP1,0.017770205899431214,-0.01888504734328836,-0.022021158159778554,-0.01717295394446454,0.10036390784298178,0.002491972896636561,-0.02047674398938297
CXCL13,-0.010412361584637443,,-0.02916084855568849,,,,
MICA,0.012590188539595246,-0.019317665311974184,-0.026828452181775098,0.03246359774643446,0.014540879864999266,0.04539343767478527,0.04694788704051081
TG,-0.021162002039456927,0.05156820737923218,0.0003887606391014406,-0.01242799206881626,-0.02874716931412312,,-0.011510352337210438
