,UKF266,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.015471712485121364,
BMP1,0.058986406483326315,-0.01814698068099224,-0.03677007819788346,0.09913084282631615,0.016069862054640418
NDP,0.014330038559317367,0.03349203209628271,0.030272446253221338,-0.03904204517830812,0.021334034108671917
TNFSF18,-0.012024545491310965,,,0.11578671827548008,0.08143802336248224
RTN4,-0.0812201889514753,0.012106897207334509,-0.039798256808703414,0.013847400535919305,0.03086621753680668
HEBP1,0.00449681916840099,0.020638512629272233,0.02831811064282247,-0.002957264426451585,-0.012230549401849512
WNT7B,0.01249173424066317,0.05592724113155201,-0.03444589148167077,0.0703372245568231,0.05813858029477988
PTMA,0.1235990867508793,-0.0014898117373390366,0.04492138864215469,0.06508977971090901,-0.042006113606458034
FASLG,,,,-0.013418610960094775,
CEACAM1,,0.057115336004251435,-0.016687430751436565,-0.018670026315757385,
PDAP1,0.04764923207197558,0.00425236767756713,-0.015606688339033354,-0.01133114849879276,0.025174313282903624
QDPR,-0.05657326453067223,0.0561963663257984,0.07561158691789631,-0.005152940702722047,0.010523857472976787
POMC,-0.03172317624161397,0.06256748115286576,0.05190890460750036,0.04260312245116336,0.08958624009853013
CCL18,,-0.040748901487398646,0.03819573504478805,,
CCL17,,-0.015797577642355655,-0.02408935391715438,-0.012162463662056413,
VEGFD,,,0.15189515094814887,,
TNFSF13,-0.011661300664879795,0.15925307887338788,0.053588122278594816,0.14835565386539157,0.08414621939011634
WNT5A,0.1138796634930128,-0.012768748399317168,0.023781501479683415,-0.008111488317364765,0.04489685766138805
CXCL8,-0.01658744385367726,-0.024492509677000656,-0.07473971086568193,0.04478796846822874,-0.04652372911771422
GRN,0.038694321390047276,-0.02512610963835579,-0.0675677397372019,0.03634452956804843,-0.0097524266972295
MIA,0.049972672106175245,0.03739220455916898,0.13279623923632333,0.013274276883013185,0.11952380841690499
COL4A4,0.021464043174473268,0.03239430432540113,0.003480193697647612,0.011077093817909514,-0.04605306979929383
TAC1,-0.04704079825675179,,,-0.01598879521513244,0.04116497099836847
RARRES2,0.07266893392127646,-0.024129274219649183,-0.01890194524608331,-0.03781041106816294,0.007683465287499509
FGF7,-0.03180074456933665,-0.045820384096802357,0.012226693373896716,0.040145995826808396,0.005538487983762768
EFNA2,,,-0.015860286155024383,,
HBEGF,0.07422843514394994,0.035098650731402135,-0.015991614005222043,0.041557392527219884,0.01201913143972311
CSF3,,-0.03984263183195688,-0.030155785503672337,-0.012805197954670293,-0.03800518527137961
PI3,,-0.00881797406088007,-0.11214659962245119,-0.02782144104552621,-0.02494731889446552
PCSK1N,-0.028472105475540833,-0.010768282862159634,0.007424047826869636,-0.0369595032171053,-0.052842098969703065
NTS,-0.013544733394849266,-0.013008586965876125,-0.019322748977693545,-0.01896275203848346,
SFRP1,0.017104053020477305,0.014242267550937576,0.05977311212557709,0.0032433203491271006,0.10331794838219875
CXCL13,,0.04078334418969136,-0.0407495964248654,,0.052728361164966854
MICA,0.023016082995735446,-0.0008772561341492019,-0.01717855013095571,-0.02222557554754662,0.03558675050038057
TG,-0.015634192909183588,0.17134486302844318,-0.023798077659890032,-0.02497257850553487,0.0524007513015623
ADA,-0.030542931571803746,0.08580394161121584,0.06381655263612894,0.1363610273892908,0.006036695408824896
LAMC3,0.036593295986539216,0.012623994911558632,0.07494302287613658,0.0647234059398502,0.01864113475232864
CCL7,,-0.023676927534420668,,-0.013418606188596884,-0.014401480891858833
NGF,-0.014919213392051996,-0.010654352451679394,-0.015647097225985684,0.08276350809691224,-0.02571944025814334
TNFSF15,0.0021166574388435592,-0.02308234565640253,,-0.0119960364716665,0.015092480105478442
HMGB1,0.055939306835704174,0.049953755860819134,0.036614004942482695,-0.04221133257119713,-0.024222495995933357
ITGB3BP,0.1224531002133552,0.09628313907447648,-0.007360009052191983,0.039120222573280204,0.07156923704461136
AANAT,,-0.020771346246221782,0.053835669028616036,-0.014197444932641926,0.10935113011852697
RELN,0.05042717569494165,,,,0.05137323215220751
IL15,-0.012890038778043972,-0.015627410435896216,0.01788283246233491,0.09332787386642621,0.013919413904913707
UTS2,,-0.017688321533395366,,,
BSG,0.022620610271790752,0.008463996848276752,-0.004009281951556602,-0.023231798864025818,-0.010177431839314246
ADAMTS3,-0.0032290196246214592,-0.01096873507919985,0.05764098679148731,0.05640343427105276,0.01118683420548653
CD34,0.03780646103775388,0.06495703707189353,-0.03810310539771135,0.0949126563935988,0.04324744731446205
PLAT,0.09248980921426336,0.010531584371529295,0.11540227330982722,0.057681696165753145,0.003954199771757964
NTF3,,0.1136564110679272,0.10281496078121109,,
LTA,,,,-0.01910762127303396,
CKLF,0.12106898084043356,0.08101413688984609,0.06658164874475879,-0.044226018196973194,0.030479606261528885
CD24,0.032211192913928974,0.053265440359181446,0.027465466205652187,-0.031080950429330997,0.07080060431554315
HSP90AA1,-0.1106577697658589,-0.04841461121230328,-0.11277215488137443,-0.05405945851812338,-0.027737680467406874
BMP4,0.1129178125932589,-0.06416986485042721,0.007741141127393719,0.09970061113872805,0.05578512156244847
SCGB3A1,0.12065236460613035,0.02617304894358254,0.025056469630974656,0.05099126059219027,-0.041260754140938896
IGFBP4,0.09740007116583109,0.009206357409391639,-0.09200046077237437,0.0946612303985672,-0.0030552658074529337
RSPO4,,,,-0.025200952331811174,-0.024123860193772002
LEFTY2,0.04855382603016795,-0.020099030276413795,-0.018236479505793563,0.17254683717831973,0.04670807343462281
PF4,,,-0.014537050319843953,0.023814272472870435,-0.02921756065689595
ANGPTL2,0.12861738335056294,0.06831827945810297,0.0472208313755493,0.08017677383858893,-0.0036360867660486305
LRIG2,0.024299857979826932,0.025410984516362433,0.009637194069607514,0.015026350229656767,0.04249330414749679
ICOSLG,-0.007979129000612026,0.06283457818093217,0.06966581171094416,0.04762100936556354,-0.05464130673652901
WIF1,-0.10371431954608608,,,,0.06646606032697229
NPPC,0.020623081447762554,-0.03534538306224649,0.03221093087012974,,-0.004342636644314331
LYZ,0.01340337106656131,0.018986073720519827,0.016089196733663786,0.04393313778937409,-0.030715158582504055
EREG,,-0.021539000082931976,-0.009435100739983122,-0.01461475657306096,-0.033638067515597676
SPTAN1,-0.012906087743804506,0.006867771005850679,0.04766668194730451,-0.030104111259348764,-0.016839010889444124
LIPC,0.016435036647609626,,,-0.024159259889627947,0.00045203190028873406
COL8A1,0.08288075204205532,0.05142441055694379,0.08880344251675117,-0.027417679407109055,0.02265708256554005
