,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,0.0439083607076216,,,-0.02166660987178053,
BMP1,0.020247824756230017,-0.07216653031861264,0.03365889491253494,-0.0016948743542546212,-0.0306001716760132,0.02708724746035107,-0.03781590740707353,0.019557776473022453,-0.06247353091338619,-0.015499868282914152,0.06236312680279525,0.09158726822696933,-0.006293413495510648,-0.05983925450108024,-0.057128459086209275,-0.05084800914846811,0.01552106101954775,-0.021574332337563236,0.003770232042119753
NDP,0.016777646841995335,0.01835911306113013,0.02207227253082035,0.026648317269534726,0.06824256918373449,6.889324378401353e-05,0.024802353657146975,-0.0206768961232265,0.03887052286356742,-0.0047087669690784074,-0.009591857553165,0.009402014018168234,0.03429972324729774,0.08699081724532498,-0.06906896708207676,0.0065158425217061835,0.012454705321941758,0.016505913827163973,-0.03180809411184123
TNFSF18,-0.007828369546645654,-0.010745880372416689,-0.028395841797777297,,,0.0667479983672816,-0.015563756459612048,,,,-0.015946318300314115,,,,-0.019481103492492702,,-0.035050541769285334,-0.025129838654891722,-0.014359970054753033
IL36G,,,,,,,,,,-0.017456437475623903,,,,,,,,,
RTN4,0.014386381782985002,-0.04385588876738973,-0.030805832678299495,-0.009127761924630167,0.06456394341307435,0.03817620437849952,0.007023101620337997,0.02644765614480196,0.09371020837879898,0.050027237424288315,-0.014902585959277778,-0.022425653806306393,-0.034979323928079356,0.06602442002414292,-0.0010281053366176518,0.04711545477127061,0.10664342904397554,0.0699439104242922,-0.006007525344414122
HEBP1,0.03880724763191129,-0.027323764069631783,0.009099806916677361,0.0017659363280066868,0.013579666346870295,0.029499357642553705,0.0711844315118406,0.0025757416804903393,-0.008587637925806569,-0.006626691444941028,0.02332292709799949,-0.017720238254741567,0.01589264331123362,-0.009689421230893112,0.029619041788958137,0.0225395427156134,-0.01718189567232451,0.05850763479773657,-0.0639680372299172
WNT7B,-0.05673092605238105,0.007775984237414836,-0.017638616688993917,0.002232125150437933,0.03859678323586781,0.06356177232776704,-0.04461205909774783,-0.02700132163672432,,-0.019186636489995388,-0.00018594184532973846,-0.028891171742008732,-0.03656616180832586,0.03550630544154602,-0.012409355066260055,-0.004164951770156105,-0.035050505424506516,0.10070433113106099,-0.02235345923728412
PTMA,-0.03445618303800949,0.0006443580969461132,0.00027034904480358746,0.03490576938436103,-0.022523078219904836,0.006517104028936737,-0.010316523630934655,0.018755203141446852,-0.04202491153992839,-0.01435473148484242,-0.0422410117631196,0.047409662845870094,-0.06790736443047292,-0.0075843079289810164,0.02701987925569085,0.001938133678679368,0.039650922802115615,-0.017925186512560635,0.017477297903400572
FASLG,,,,,,,,,,,,,,,,,,0.025050281130095747,
CEACAM1,,0.010940687790928133,-0.013536577417445936,-0.026274338378135375,-0.014562081615309039,,0.10116565580929461,,,,,0.04676066080102911,-0.044279595129609266,0.013472739474947466,-0.0013580324068517334,0.06127129080799619,,-0.0261455334610439,
PDAP1,0.01447174157364602,-0.050005116201988616,-0.02807664331505257,-0.01327980316137362,-0.0869127771774734,0.030862623756393277,0.009545165757396702,0.020395619604727737,-0.02284315339539701,-0.018745963942501543,0.08269425992132187,-0.018486039832819125,0.01329445919875042,-0.0034762835424032553,-0.024086769938898255,0.05681669443111723,-0.002961158380402107,0.014081167233923813,0.05245577302522498
QDPR,-0.022841064545323038,0.07212397775663992,-0.03522218960799236,-0.022093667147861568,0.08356502051345988,0.003778829684924694,0.010612457350861111,0.0362801348603259,0.00413795170363211,0.019683556345901323,0.017010323578902316,0.029705696677128336,0.0064209269129068495,0.0452592874610176,0.06539204553950706,-0.010520428099843028,0.08631538986870091,0.049306010160426524,0.019666012961420877
POMC,0.025206989010441053,0.02237248980027201,-0.009948356980487095,-0.024467729940206937,0.05092548603978795,-0.026494408848153597,-0.018058952242864225,0.03345739228735865,0.032579153249569566,-0.00035422761641365724,0.03166026962310238,-0.06703655146932037,0.11996960495829778,0.05498980882533353,0.008975468157009102,0.02629092854572761,,-0.00824794516819398,0.0003130790534974229
CCL18,0.12079275194470489,0.04158759760070463,,,,,,,0.01915363148536496,,,0.021585995446517278,-0.010108127381587373,-0.004109676867423288,,-0.06899097393234739,,,
CCL17,,,,-0.015228931496057281,,,-0.019411034475444087,-0.02433628086500126,,-0.015946951222074335,,,0.04456704587358538,-0.0036805907440158048,-0.045445871511296906,,,0.03132795255653987,
VEGFD,0.0435299436003156,-0.01255698080123857,-0.01938843131554466,-0.016966711413256,0.08952065381933033,,-0.007135857385850402,-0.02451402327891655,0.0832706299409042,-0.01709084155498757,,0.08321712602129167,,0.030003681731190203,-0.014054949787802732,,,,
TNFSF13,,0.050805252226680114,,-0.010504576112429154,,-0.016719567885945284,,,,,,,0.010512952800493894,0.0018000700798829414,-0.005105111145671725,-0.005266993170869655,,-0.013211338452233094,-0.013419694997340635
WNT5A,0.012071172812499125,0.006856534670913414,0.016564744035109782,-0.029963868952050696,-0.02453528696434478,-0.000570716544061098,-0.024763106514115323,-0.010596064022251508,0.030918912369976962,-0.005639427990926197,0.0622609701355583,0.09599753885079816,-0.0098857239242612,0.059457217487709095,-0.001860332025320132,0.023031601464141044,-0.004747479030857907,0.056765020527684285,-0.02815826918217315
CXCL8,0.022434903683998326,0.005159251908133398,0.01825708669015459,-0.00042458013918782205,-0.049279247164853685,0.05446516776445294,-0.014382611897759679,0.030623918365753046,-0.0465442191029623,-0.017638719408078533,,-0.02881303965128796,-0.04575262810536079,-0.11068516133337103,0.038859714745230305,-0.0415946210606142,-0.02829436885087831,0.007224840919375055,-0.03317366862064365
