,UKF243,UKF248,UKF304,UKF313,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.008777777233555203,-0.1191321661748115,0.1078811271687779,0.14415104320720157,0.050362910106896266,-0.024103612732434287,0.09796642923600728,0.09645951215651656,0.049575969762316936
NDP,-0.09169383509725744,-0.11361505771210934,0.0992092221240177,0.035263450986580715,0.038492949124183974,-0.15882587990128136,0.0002658894867561319,0.0763409409282562,-0.011080948364785868
TNFSF18,-0.02665077908507777,-0.006434921717570067,,,,,,,
RTN4,0.1288727092153671,-0.019618760513838304,-0.20312550729875956,-0.17256948110178452,-0.013109329817121004,-0.08717590064077779,-0.062324419055168834,-0.10348609937466438,-0.14476039812345898
HEBP1,0.07620857385949764,0.03794928857599741,0.09238810283312672,-0.016307380738364036,-0.05042718039178327,0.038862523779791595,0.030049888800234948,0.06457590567298706,-0.03354542623906186
WNT7B,-0.06220321463910532,-0.01600186207911731,,0.017025424218448014,-0.038915234444176806,0.05916624839197768,0.09934915605003433,0.039929192719259286,0.04760261629347426
PTMA,-0.013795625092667893,-0.10465457776755811,0.2819170430625258,0.35921127894095956,0.017754211406561773,0.1022756999765876,-0.10376512556485602,-0.054945480273221554,0.06656750146858391
CEACAM1,,-0.02658320788670192,,,-0.044492987882361605,-0.02323041726694642,-0.043226467990743735,-0.02117864336813563,0.014403158099028488
PDAP1,0.02102528311177428,-0.02945646415681006,0.07124585298981619,0.21211386631086043,0.008769664593769851,-0.0414510344746613,0.008501696916395933,0.009468519698770116,0.01856448689094246
QDPR,-0.02464616414721862,0.024236755939050753,0.1671027668646877,0.2243074725156097,0.03441598778868612,0.0205431379672041,-0.04578107028035395,0.017371177719280703,-0.06920978242780707
POMC,0.002935890494767228,-0.030785494867025854,0.033004625669624005,0.05808997805048163,-0.021049715100895677,0.05600518138319055,-0.007449786265919198,0.005783827643886289,-0.03584484795647056
CCL18,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0
CCL17,,,,,,,0.00046175413740780474,0.043450961288718545,
VEGFD,0.030367099448605543,0.008783115299522536,-0.06953032530020842,0.16237135272168535,-0.04298070252071745,,,0.08996205060026007,
