,UKF248,UKF251,UKF255,UKF260,UKF266,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.018602407677729676,
BMP1,-0.035031348451947476,-0.05015799834463324,-0.013343977443278445,-0.037669261246630885,0.04555251406786066,0.07565175036316284,0.035620465877238106,0.08802463128115472,0.02299327801077274,0.050500370898700395,0.07601007834626945,0.09386271054255341
NDP,-0.04192373730762438,-0.04068321039619351,-0.06750771202589914,-0.005739420902010175,-0.029400986232956956,0.04406202041976676,0.1217238550198801,0.11413481352670113,0.04231198230555332,-0.06757267951400989,0.0009353677756610242,-0.04439913098061354
TNFSF18,-0.027232125212171013,0.04423669483953181,,,-0.013463314785438026,0.01885663249700316,-0.007140161510929193,,,,0.020706656474417672,0.09190424056184858
RTN4,-0.056577022562202775,0.01838809898481605,0.06503405897437466,0.006407588067633906,-0.12665472901594924,-0.0765080536648731,-0.0020051671826164905,-0.015980386705156238,-0.011087798409097844,-0.021600695164433706,0.030993207907212626,-0.11418596264159787
HEBP1,0.01824733502213826,-0.041762462079448115,0.0024969696695807857,0.04057577330482303,0.016629780265710572,0.029126662093764286,-0.02910586936220113,0.029950549041297254,0.024085188333072063,-0.007899214885565648,0.031003981912939634,-0.014175834485341151
WNT7B,0.01672896993002144,-0.0302393692048377,0.02825031771932451,-0.023559021457250185,0.0275089632298605,-0.012599677985299509,,0.03518159869041716,0.02747003991286829,0.007890522958530105,0.001834204834381455,0.0014196336409972741
PTMA,-0.0068154427701176586,0.04720193574326631,-0.10244072491656275,0.08918248327089474,0.12522589248652274,-0.00304751198267115,-0.013114807669811981,-0.12805012612304265,-0.009972305982062182,0.01924573433216498,0.030621060276071282,0.07889099583408524
FASLG,,,,,,,,,,,0.14148926600416997,
CEACAM1,-0.01733250138217323,-0.023206897089125662,,-0.018242955830508462,,,-0.04123835465722758,-0.01987413583591302,0.09884080017013068,-0.026825829949239613,-0.022447899107073923,
PDAP1,-0.013352761420216745,0.011471200707675145,0.06402159813434037,0.04975246198154798,0.04992242038709634,-0.01738777405584352,-0.07725244754489043,0.0053707784257480745,0.05470726682902031,0.014557073651025043,-0.06477174862341586,0.0019335842466906025
QDPR,0.018485642428087676,0.04301006903740232,-0.07985112239096762,-0.09995318036363725,-0.058293838873827684,-0.07235587949209994,-0.039791254051656844,0.03297716288575879,-0.01445601639623115,-0.06324960322117144,-0.039398020754474065,-0.14731377215107844
POMC,0.017395741780767558,-0.017292795111023013,,-0.015360486780310914,0.006748492038277428,-0.027382513821980217,-0.07921304317578513,0.0006005966112475694,0.021402885601233268,-0.04388353380486344,0.040913661057402635,0.0035623090109566696
CCL18,-0.0216293240804207,,,,,,,0.053175116325738035,0.04677647044129406,-0.06567172969181491,,
CCL17,,,,,,,,0.11017551806307144,-0.04675945058768705,,-0.01462353360203175,
VEGFD,0.010973931866208568,0.027297151728712086,,-0.017453827256065042,,,0.10350480916570728,,-0.0323916986873437,,,
TNFSF13,0.06827724339304658,,,,-0.013056606735977154,,,0.024634524864482383,-0.03407911199260594,-0.030123609097862665,0.04508470504671966,0.0401031257961465
WNT5A,0.004729123772269181,-0.006010393291321729,-0.05578510055306121,-0.02395337062945365,0.07513842349447024,-0.013523465099929133,-0.0810011011655274,0.04115186548993397,0.04249063953502961,0.031159150056462217,0.08396085608846465,0.1268982132720676
CXCL8,0.014275324885289521,-0.008698461896319733,0.1633929740959011,0.11175545898871551,0.06126598873260258,,-0.08058975600133969,0.07684948973112073,0.0034565489588156413,-0.01656281386458734,-0.002512517176018378,0.18569656726442144
GRN,0.005217841878500954,-0.018364078847443035,-0.028935607925935518,0.06195888315831483,-0.013581180798276377,0.021636086337085948,-0.16760575255165372,0.0469278553643782,0.0063291758052148985,0.009125095398595455,0.07063340342395717,0.10025748940447628
MIA,-0.03397213615903768,-0.029560641397408553,6.890593668096054e-05,0.037103225860520984,-0.023608863091654424,0.0511070483973233,0.009894408341777046,0.027918651191386208,0.03816022205504988,-0.00955473006284582,0.023113938113503745,0.08797713693580864
COL4A4,-0.025976642487388252,-0.008645789188039169,0.019757807411269163,-0.044161023636054654,0.19564573871765498,,0.0004297277145291145,0.0022008480831645014,-0.036207596963572466,0.009918743485487649,0.009537061593763422,0.040904763102765286
TAC1,0.04964034589840581,0.023551432044319243,-0.0856837124806858,-0.03664654369039024,-0.07364255258030983,,,,,-0.046282198871734286,0.06717940248503994,-0.10250646583151807
RARRES2,-0.038437668035835176,-0.013030657030765202,0.008016072542119203,0.09090951808527228,0.032344494073119005,-0.024413243076824114,0.18635317447234145,0.13781024107191067,0.05344257247033171,-0.004306122219382161,0.0442844518353349,0.07549477527162102
FGF7,,-0.03751661058753604,-0.028224719922537746,-0.033419003134160644,0.06084054017285033,0.03021978983836265,0.03245543064456893,-0.08229323910993544,0.0012919058673830702,0.0019842796736969565,0.03096187606458413,0.005863877181337619
EFNA2,,,,,,,,,0.02539737520463138,,,
HBEGF,0.035324652410185724,0.02899809053814749,0.04546722052824139,0.07409075378282064,0.05528526562661148,0.09641630172385778,-0.05210337824924688,0.05615597232596281,0.018271429241249873,-0.006259096489673947,-0.022282220616699298,0.13148873928568347
CSF3,,,-0.03624409349924593,0.18447868969638545,,,,0.11709474591220914,-0.03774184680020319,0.00017328553087944941,-0.015396324936614702,0.1048272714318002
PI3,0.00821598162936167,,0.15885530615501636,0.08007218146121667,,,,0.11734702249563342,0.022314229448791963,0.053790605301966755,-0.033451099159741184,0.12516510246073465
PCSK1N,0.03253434030882109,-0.0175764506240537,-0.055267990571880574,-0.034324858874185335,-0.06952034203462382,-0.0030570496674040275,0.10273939620768757,-0.031626349927384736,-0.09008413245943728,0.027319219869884448,-0.02565696830126451,-0.1277815360870712
NTS,,,,0.03906301582748812,-0.015165397271062179,,,-0.05513437286907811,-0.03750707176074702,-0.032767411091484344,-0.022799857769513203,
SFRP1,0.0084677031944046,-0.009218023387808843,,-0.01991179430073086,0.06090772555666733,0.04005493224431205,-0.03362380706937609,0.08810556018560341,-0.0075967361319976634,-0.027596595168149222,-0.0222700468370642,0.005521622769239968
CXCL13,,-0.0021830596911393643,-0.005972677273044348,-0.01973284243725342,,,,0.11919980309496354,-0.009413976368785779,-0.03795792225405813,,0.04591843307565314
MICA,0.033645018457109564,0.019762743600215616,-0.02040434311159415,0.0008819245302531196,0.013325904003380152,0.06601673116744254,0.006054089942938561,0.09997247239117342,0.14031415039175565,0.018912778515552547,0.03803026117339838,0.04695897929046559
TG,-0.034060938150791385,0.10607956606639846,,-0.032456537464893936,-0.01750486625084517,0.03269375268859439,-0.06800410706649408,-0.031402943028579135,-0.0026440770698029706,-0.00570956442891609,-0.0021619522631627455,0.026381004544458797
ADA,0.03635365858277413,0.06847191531812187,0.014951289651154791,-0.018903656254274526,0.04238816659097832,-0.019225354932958155,-0.04677942447773893,0.09050525771589507,-0.029209092142565212,-0.026351198009266042,0.09066379747688448,0.02963262475763265
LAMC3,-0.011936365440004025,-0.006613540695685333,-0.0676548863317775,-0.05013421522770533,0.011484969719094339,0.1460277400394495,-0.09060498502748686,0.04479991340204625,-0.01244304649649425,0.04894016167336841,0.1277352192624265,0.0782333516996732
CCL7,-0.013758077312109188,,,0.1308339436977581,,,,0.026747355922437606,,,0.009314800146241682,0.003118099156202752
