,UKF248,UKF255,UKF259,UKF260,UKF266,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,0.0230043428059205,
BMP1,0.1075852138907778,0.01730555657666987,0.03175832356835428,-0.009468408362097589,0.09491224434751387,0.041601979267941305,-0.005768255386729603,-0.005852915347978279,0.053232536859554584,0.010726394860996876
NDP,0.018658985410292015,0.03374423236303749,0.01297318917857315,0.03654387513555967,0.026443511572729967,0.02310213185680158,0.0289724602142055,0.06465317749427787,-0.009911117108244707,-0.02162973088388112
TNFSF18,0.04148420466805213,,,,-0.01654899510045953,,,,0.060493819788988684,
RTN4,0.03360315466839193,-0.00961209973958909,-0.0702412168651568,0.01687365394172472,-0.08411178577472024,0.044402923398316134,-0.014005051775459415,0.03200186230652913,-0.009932134587956762,0.027353108795643948
HEBP1,0.018329122817766833,-0.005334564331849917,0.05474520362981825,0.009396337509017826,0.05774961532308256,0.05983700389277304,0.05462540743530963,0.04738596872493716,0.03644297369710579,0.013613823402297748
WNT7B,-0.025755605768535132,0.13075444218492965,-0.02554476204544588,-0.009690039480329376,0.025039541182135076,0.02380054114767458,-0.06764510909041731,0.03492259354069707,-0.00618628709965372,-0.006827819664793471
PTMA,0.03237201979052139,0.0893087568804705,0.02426881916792111,-0.011838357311939978,0.10338908390172026,-0.020226578378023455,-0.01793720965889237,-0.042205184169196414,0.030227451161257794,0.06370561899362984
CEACAM1,-0.010503688085862361,,0.13088104321337363,-0.014122254831074226,,,-0.014201882704928637,0.05284924763054549,-0.01841855261951038,-0.00011354378142171879
PDAP1,0.06302365577697393,0.06227036625976763,0.07108400949710596,-0.07705614427975224,0.08310403829150216,-0.009985847216205511,0.0054419755153162575,-0.09691919559923985,-0.015566441605858716,0.013673934072149493
QDPR,-0.01691440279484517,0.039273156369812365,0.006708545736518607,-0.031491948154540365,-0.07109223683436587,0.058136154339496364,0.0241642675279698,0.0873302318541677,0.0425485885802063,-0.0048983820441385675
POMC,0.011795043425105458,,0.03897352426141007,-0.015524522691901325,0.009809425444496355,-0.009812643473583195,-0.0018522627547983687,0.0824585436059475,-0.026241820548119216,-0.011802424922169347
CCL18,-0.0401037812805463,,,,,-0.04904413483339303,-0.01352088053285878,-0.030973485993750004,,-0.027738474201355865
CCL17,,,-0.017096754502351905,,,,0.08035834632170732,0.058893536675336144,0.003819273623751768,
VEGFD,-0.017630936978868104,,-0.01904767250544069,0.03992373505316368,,-0.016993076923353966,,-0.021545254852159725,0.11542370794539239,
TNFSF13,-0.022103557098870828,,-0.011792958619057926,,0.02903035415543333,,0.012779441636530376,0.034382596748182295,-0.032482138136173885,0.008357532959280718
WNT5A,0.03600322021166652,0.05181503700684752,-0.02225518992863016,-0.07414350390614267,0.13308492842230288,-0.014997261521269808,0.08136555541675725,-0.00712795097867232,0.06738655692115236,0.0008640336982345017
CXCL8,-0.033702550615779564,-0.07863994301595555,-0.04555500198672614,0.004420969984692167,-0.022828765316910523,0.016133848788010025,-0.010691509099087804,-0.1289517283546655,0.0031680710274894124,-0.04393384195962158
GRN,0.09464316605812793,0.02382132559449518,0.01474737963997611,0.026275527544953776,0.07654063451413869,0.011233559526520758,0.00865602389233802,0.014130854041556937,-0.04910768429220639,0.033752254654326797
MIA,0.021814728829112253,-0.050425445707250306,0.04050554842833007,0.057229485405434925,0.03616315367415582,-0.0230456651639448,-0.007472913703053172,0.13274838965721314,0.007871992493562522,0.03683901854085319
COL4A4,0.009437003379236364,-0.011661478320623975,-0.03354828328071455,-0.0880902572889139,-0.01526998384038875,,0.03477425221991608,0.03570910093441329,-0.046659340079519135,0.006246355901707456
TAC1,-0.013096726623963221,-0.002401168408316699,-0.04466512047740158,0.035063688089338865,-0.06842822989964961,,,,,-0.0672203478472884
RARRES2,-0.033114207739171085,0.010143836488277705,-0.0002668840095780122,-0.0441951596306471,0.09884404834395044,-0.06203498645262278,0.015994673146893713,-0.0304350444330419,0.008074581217880952,0.024507519603273468
FGF7,,0.07131818165332594,-0.020342350447735066,0.02062215568727683,-0.026177928451653246,-0.005430416592231433,-0.04361191580333479,0.04118370911282579,0.001333989046345758,0.0015781641008330274
EFNA2,,,,,,,,0.034709711270035436,,
HBEGF,0.07642072475189268,-0.035760958691108784,0.04943895078938695,-0.00895097778033329,0.02834737686946273,0.04658801843446199,0.028118471752233008,0.028909503231614994,-0.02016825176610754,0.057176655228327544
CSF3,,-0.026858225823545603,-0.020377840648849527,0.046970881594801735,,-0.025529145347486747,0.047982867610818845,-0.06659526470595088,,-0.03319619962153821
PI3,-0.055982266235406836,-0.06363089331327137,0.00013809664816762384,0.0316708309134038,,,0.03802407245400835,-0.1562592123198856,-0.02573631922104857,0.001064567567677971
PCSK1N,-0.0506782589007808,0.11683414785369357,-0.07056763099256,-0.023607685815569678,-0.07194927651401165,-0.0067916092901835114,-0.024792045791802417,0.06554218925742691,0.05177408766415042,0.007679676982207866
NTS,,,,0.04273940014312663,-0.018641180803911885,,-0.011854205021628142,-0.03159565856302399,,0.017316403805971717
SFRP1,0.022008800625137163,,-0.014917579154249263,-0.015414137701774784,0.023738355348687068,0.08723917838486442,0.011864138083563751,0.050540667534295376,-0.03551074701608444,0.0077735623365220805
CXCL13,,-0.01950224988816822,,-0.015275607309989388,,-0.048052395537167614,0.0619322983881447,0.014380684132023404,,0.05106984000404136
MICA,0.04182303806017615,-0.06286789293446786,0.001838027812883111,0.014615941024079489,0.09215089590492014,-0.012988969628797932,-0.021915330401099727,-0.008477538247805592,0.07275536816874645,0.041480557169750173
TG,0.016970776146019648,,-0.01609843136280392,0.04551552518607329,0.01477267711432306,0.03065910477710634,-0.05512776554130177,0.06300089016228198,,-0.00023747058399237414
