,MGH258,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.09465036160864769,,,,,,,,,0.08948263333756382,,,0.04255649736141361,,
BMP1,0.02273206115578781,0.01804346309601267,0.009637226438855543,0.04085522079722173,0.048776510475199104,-0.018010467532552015,0.04168142497635119,0.015304875019096022,0.09218863628802729,-0.0021185887224001894,-0.006786201821468361,0.01669707291556642,-0.03570618159564272,-0.07285356704456408,-0.035762326056695444,-0.028998865276010973,-0.020585048595977484,0.02337277753646082,-0.025162843026163454
NDP,-0.00691640461406832,-0.059596919408805064,0.0006161913232867837,-0.03435824199449696,0.005596164362319755,-0.002448986265695383,0.05838193215314861,0.028906478514425737,0.16635092858926223,0.03362369463577895,0.013028017500584703,0.03419577304982228,0.010911873042269248,-0.022334624836691536,-0.002627078977933249,0.0307738147074395,0.09025930175245678,0.05115792679641512,0.05515088774956528
TNFSF18,0.02883948410831338,-0.003588168295839802,,,0.015893636497968433,-0.011098932834487969,,,,0.09702091207529293,,,,-0.0270466364568267,,-0.04031645189545105,0.03933130519109604,0.09046457947152843,
IL36G,,,,,,,,-0.015795204892296872,,,,,,,,,,,
RTN4,-0.00676837093940038,-0.030307923337624144,-0.03602943575157323,-0.01656384040658487,-0.046874900748618706,-0.0018407756176529464,-0.017879829370558077,0.020895062338464113,-0.06424861394764148,-0.03430964946334541,-0.013580611566189825,0.03753060417493594,-0.053117414245853534,0.05442606823713912,0.04870776013053431,0.034271507208925,0.0075935476078788705,0.004838960222352447,0.0021193250347084466
HEBP1,-0.05669634073785046,-0.016536988204704034,-0.008902149405857145,0.039233026280695936,0.04521087801255946,0.0340558389787563,0.019479834776760296,0.03349142113070442,-0.0032713793614699417,-0.08826618525112287,-0.01565357619797007,0.03268063724765521,-0.0330957380205973,-0.0036795738553009527,-0.0006710455672585841,0.01849525779045831,0.04955089160279892,0.038310526935085,0.07191097291348109
WNT7B,-0.022933612169182105,-0.01722763696686439,-0.027528986220781156,0.04357595609459615,-0.03011960693001641,-0.013354786138353038,-0.01333339957112125,0.04206735243205287,-0.06250362373825888,,0.06201341463001888,0.04025474363957784,-0.02573397225686133,0.02350066550592719,-0.01914850008162468,-0.040316410090319,0.019759247038342493,-0.022737982212221244,0.01761011737969454
PTMA,0.05786853992822764,0.026319155738534102,-0.0019856417341244607,-0.015461981997355169,-0.05426315690416415,-0.004094994139925551,0.061097957271637325,-0.02266399978145604,-0.07182824983893148,0.029378989107277976,-0.12813080371695007,-0.08031659535863221,0.01945975603528714,0.04861206513457917,-0.003936273731347431,-0.010889799955108387,-0.11447886656575433,-0.01757315389624069,0.07977575405424264
FASLG,-0.02293361865245552,,,,,,,,,,,,,,,,0.05505735039772673,,
