,UKF243,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk
IGFL3,,,,,-0.025219527084775147,,,,,
BMP1,0.03650393833844188,-0.0017610026504409257,-0.03922196324653249,0.010143088731801584,0.05410735115844147,-0.047754284566549364,0.001969374162456142,-0.025088719903415574,-0.07774369521989971,0.04257872258521755
NDP,0.0873162262616434,0.05579748765167364,0.012708248310575545,-0.0213767208181245,-0.013523989041483903,-0.04963941039679342,0.057470798437296064,-0.029964341986667913,-0.07592560906979434,0.07277404027073534
TNFSF18,0.011421953696483324,-0.02998952436794903,,0.09439696461291998,-0.006852737607798911,-0.014907370065265027,,,,-0.005718012212907483
IL36G,,,,,,,,,-0.015620003359782942,
RTN4,-0.0556175731858329,0.09188043519268788,0.06138871564342724,0.05699219264409668,-0.03627129333675101,0.029012677786766108,0.03849611883275866,0.15881548580454607,0.05040252776856959,0.12787862260193275
HEBP1,0.044717806622370314,-0.007200121046883324,-0.01598233413441454,-0.02137943647287364,0.0032226597725712965,-0.020971117609433022,-0.07400115999778928,-0.03028921737706938,0.0016196036988872626,0.017522852300614088
WNT7B,0.07429619675602592,-0.01862856289940668,0.005012653828803129,-0.005889585137283083,0.05896436183152152,0.008606656197092413,-0.013606578207786109,,0.002825879470103422,0.0682446765413893
PTMA,-0.12263169592453958,-0.03770421034877585,0.08266138197349511,0.01684799219588434,-0.0028658876315259085,0.007049445352466838,-0.06594936241647627,-0.18858333686610723,-0.06321482656229743,0.018923571316080263
CEACAM1,,-0.014296301592682489,-0.025892614789626258,,0.06251254817106834,-0.023445741669703934,,,,
PDAP1,0.0015623061876656554,-0.04608308381789992,0.018871718567009484,-0.024505182880082233,0.06746225303852724,0.012984900600182214,-0.03306149031776651,0.013931791206123485,-0.04070982525538553,0.02594247386487584
QDPR,0.05610767387856775,-0.031567372673881336,0.03315548922000238,-0.009108951939549614,-0.0958797269306455,0.0031663278567037986,-0.04102424121281144,-0.13009777414034612,0.017280613500923303,0.02555914780549145
POMC,-0.027247603352804788,-0.02540224706110497,0.0598102174735093,0.06857225045966854,-0.015176062628149332,-0.017297333376677326,-0.006186022926763516,0.013578904688668295,0.030017136537500832,0.01576908932613075
CCL18,-0.050546507862907306,,,,,,,-0.08613539927219188,,
CCL17,,,-0.015007679782839182,,,-0.01859239284718771,0.05159423908317479,,-0.014269316520906747,
VEGFD,0.1135693936468182,-0.020476583773591323,0.018332393854909507,,0.05100454735812698,-0.005485296590491863,-0.012353172167632173,0.02116666082891556,-0.015292868483801701,
TNFSF13,,,-0.010351961632410868,-0.013544735851342709,,,,,,-0.00849626529764433
WNT5A,-0.017316094626960953,-0.005868886414194605,0.0570117693525672,-0.010514500883832552,-0.022492194791214337,0.008287739832755407,0.013987650902901692,0.03512488771627779,-0.04011963369797664,-0.06442919316866834
CXCL8,-0.08624441865950006,-0.01917305935976401,-0.039283038483682274,-0.01926650824840494,0.04173729560459234,-0.046065407939231334,-0.01150381105628209,-0.08694255754119642,-0.03883409676455981,-0.04802267883080954
GRN,0.01740252318596104,-0.017366084967308085,-0.03284150980285858,-0.013590824350598376,0.026236218243405558,-0.006521152517988325,-0.00034915769485256595,-0.09909667859717038,0.016519242079914044,0.07808565137312141
MIA,0.06969107175000111,-0.01821044162291366,-0.031601138765041774,-0.024491494673408453,-0.042877283579705605,-0.006740041052800767,-0.01404913178684687,,-0.020944284223418295,-0.012204748890725571
COL4A4,0.05267991227046204,0.03551599214749972,0.022206401301340647,0.044510353829069205,-0.02485197201843307,0.08339970022885415,-0.0236014241115155,,0.044947888104972786,0.0068334247616287655
TAC1,-0.02006423807454133,-0.016920393909943154,0.07924704605943565,0.027537562115463526,0.0256584559629311,0.07231239933803103,0.05117318479033783,0.07971054497133515,0.10402949669136026,0.08816878314875386
RARRES2,0.052866355238314094,0.005209070013181221,0.035170807184564425,-0.0552563457561997,0.03391801389792513,0.04649848639408749,-0.025900140970569422,-0.08267415751009384,0.012934111807198381,-0.009850672964038541
FGF7,-0.056842496308822314,0.07909033986552867,0.15983173485489877,-0.0035978017227781683,-0.009048430231788382,-0.0022260658076190412,-0.022648564333225096,0.04368565234261775,0.03455055248044311,-0.023877052857910128
HBEGF,0.03985523863354851,0.052446549674780914,-0.008868780046673099,0.033281293124259544,0.036074157037638145,-0.021985845692274845,0.020990915748453676,-0.03993052074430961,-0.0092187334300702,-0.04967966454539945
CSF3,-0.01056696972936642,,-0.017887845735960414,,0.03482943005057114,,,,,0.013063396657037851
PI3,0.008600292127345604,,-0.03086902123158149,,0.0666625198990853,,,,,0.04619169192472822
PCSK1N,0.11013252090301516,0.04130856091318085,0.028051146056735837,0.040886318694304064,0.019851678555632014,-0.021465352649488654,0.020727759320455178,0.21432810380475872,0.05957581201856951,0.10391488259469088
NTS,,,,0.14737822108380427,0.05372421654084376,0.002336602877842854,0.013673978329373466,-0.034351784250897036,,
SFRP1,0.11510880784857931,0.01619883272439801,-0.0130947807112357,-0.04788075818986134,0.004251987833771903,-0.04117404287665879,0.06712867342475896,-0.016694321053861535,0.01505544367585623,-0.009079668426205539
CXCL13,,-0.006067446127961822,,,,,,,,0.06216479825158478
MICA,0.07216214512467738,-0.01166094957359457,-0.04797560325287154,-0.02133662671793143,0.031107040863152885,-0.030897773737848116,0.02775228721382628,0.041049975844345464,-0.02649803969509604,-0.04336317894266411
TG,-0.01850375123026448,-0.019440089685655006,-0.014131343049099816,0.001877396015016541,-0.007854313126727628,-0.018731132192446747,-0.012187852296775274,,-0.02143452685689757,0.05341163287339258
ADA,0.07519112394021096,-0.03186114425672283,0.026784012840553702,0.008054755405139336,0.059411457965111915,0.018772192674722358,0.009096365537923179,-0.08474065641784916,0.010943086522232495,0.0005807506805731879
LAMC3,-0.030531206470278155,-0.025197317655725367,-0.010146868623346007,0.029179663335802672,0.006075686410904335,-0.01361609952878556,0.04341739009163726,-0.08591145354150632,0.06743913782481399,0.07579321444467321
CCL7,,,-0.010216938446438244,,,,,,,0.01650310598220077
NGF,-0.033030143596892984,,0.028262651102801125,0.06931748705779711,,,,0.12240945206339736,,0.08673081495854135
TNFSF15,-0.040862409903788685,,-0.011377060664167275,-0.021041009886997163,,,,,,-0.007775601673013623
HMGB1,0.086616088768278,-0.013448698222037444,0.007262850636970004,0.007161167536989127,0.036060485616419884,0.015502106285335,-0.030479127949025603,-0.02982121413163272,-0.015840951536452978,0.06818851525851691
ITGB3BP,-0.024428206600774403,-0.04649406152155312,0.0032563067594208067,0.05101056957423197,0.02507785994046363,-0.01777370391060617,0.008757786195444069,0.043680443654188425,-0.042970045466573556,-0.07359723022514358
AANAT,0.11653744756702361,,-0.01035196273725603,,-0.007059901925130531,-0.01684501664574462,0.06775694290360394,-0.015306422668283508,-0.01914092323792883,-0.026876530443716958
RELN,-0.036794673506781644,0.05179398074936904,-0.017968689041150204,-0.018749402272110787,0.03044588632856075,0.03302889942313824,-0.007026453353449929,0.02634867113414413,-0.004995348847282363,0.02026676269936333
IL15,-0.022928394390937887,-0.02476637684348988,-0.026213803484543743,-0.014971929408182327,-0.0030275376403878385,-0.017110553312942506,0.020701077240474073,-0.04169414234963225,-0.01775232162409811,-0.0008508077426155295
UTS2,,,,,0.02741628305983182,,,,,
BSG,0.06436741977386122,-0.001308077701750728,0.00612338939124925,0.019651679885873685,0.04967075088040993,-0.055259611239475745,-0.006762326069204108,0.14624395827107084,-0.03863787034370456,-0.016554039403547244
ADAMTS3,-0.03299031409352124,-0.014523937899301525,-0.035235436361506896,-0.02411544708592292,0.0702209697161315,-0.011722092983019005,0.033318928350266695,-0.009321254721629549,-0.018084951423079466,0.055957922814858584
CD34,0.056998196084119206,0.043328674564162506,-0.010497498715503496,0.007704916959501677,0.07046140875978207,0.05160685401241972,0.007785524606260951,0.012958167205350746,-0.0031373190551329815,0.028155929746054742
CCL23,,,,,-0.012759929877219762,,,,,
PLAT,0.008306367083033828,-0.05913101049562826,-0.007952550699699338,-0.013251483121999683,0.04110578620971844,-0.0765224525269463,0.006117687563870678,-0.04646689185990729,-0.04933753954640518,0.010362013510901493
NTF3,,,,,,,-0.022678651449342876,,,
LTA,,-0.014296303059739104,-0.013094780098641278,,,-0.016223506555136744,,,0.020681487856860244,
CKLF,0.04692407820452938,0.016526156097181787,0.014384893028077609,-0.009552890877941995,0.0649235810020041,-0.0008849770545921401,0.03485230313616843,-0.08267290897731448,-0.0445608440882019,-0.04993524256241912
CD24,0.01735476786506638,-0.05193180293754618,-0.060311707214054704,0.03322434006926301,-0.02985463497712906,0.058614770954847205,-0.03555045308608419,-0.003040029541383462,-0.01806325826182774,0.11587882100437974
HSP90AA1,-0.1149301467545769,-0.014673691505794504,0.006932504423077912,0.016348377785651833,-0.05043462492355603,0.024014211781243626,-0.0416550689384285,0.20947763060105187,0.04041705692310555,0.11659995371133357
BMP4,-0.05284358303788518,-0.015154919292690203,-0.010932827808678007,0.006335701092678662,-0.0016020895460432797,-0.004524295847061485,-0.011944414298262667,0.01977926052889003,-0.015126813429331976,0.035376178065565776
SCGB3A1,,,,-0.019111932687783478,,,-0.011850580731560133,0.04090029610255226,0.09687167664519868,-0.015956067036953497
IGFBP4,0.015764476855170812,-0.03671595397396236,-0.05743918054493248,-0.027287495845876523,0.10205303627702857,-0.012702658208126787,0.003598953501677254,-0.055859602390396106,8.76600365506868e-05,0.10573721963552432
RSPO4,0.11769359532248255,-0.02311160668352263,0.009823660745152172,,,-0.018868925785563668,-0.011850578998144621,,-0.02462526791284075,-0.033890240285890876
LEFTY2,0.06743517770774453,-0.014471883412756839,-0.029259147282903932,-0.042916049757216655,0.08618388384019328,-0.03370942028982713,0.008970963415074012,0.026100302110023607,-0.021915045498715695,0.10046815134495235
PF4,,-0.01300443070364559,-0.008914077508827766,,,,,,,-0.026548142884643276
ANGPTL2,-0.0021187370699764364,-0.00984435253236588,0.04931503543505202,-0.001118459711933687,0.0486287565416947,0.03762410790621494,0.005482727333229359,-0.07918409924265321,-0.04877917564197691,-0.01982017731137853
