,UKF304,UKF334,ZH8812bulk,ZH916inf
DCN,0.026393730825808915,0.011698522277023681,0.02271776140029467,0.053722711645037294
RARRES2,0.10287368407938305,0.10482708620569357,-0.0631786119115437,0.08395000788014922
SEMA4A,-0.012977296365685722,-0.037722736504919904,-0.03250573016839393,0.03510995926154528
GDF11,-0.006517950923828085,0.053461503456706756,-0.05464245447347925,0.04669937956031444
GPC3,-0.02626225722579264,,-0.02426208361034477,
OSTN,,,-0.024931603286681245,
GRN,0.01663764468320714,-0.025634271505505676,-0.02580128633737089,0.0999308506816655
CALM1,-0.09027814917043828,-0.07493519660459755,0.028407253574553072,0.058952689653548516
ANGPTL4,0.004851503181126014,0.04572497217257972,-0.015182193150681382,-0.05740468414713094
BMP8B,0.09023146956124707,0.07173940992197093,-0.010390691301509108,-0.0006655364579265556
TNFSF4,-0.011571501959363408,-0.03267946731226267,-0.01577646938524972,0.08967954401258794
RBP4,-0.0655642102616651,-0.05395257773017423,-0.003924210261681216,0.032814206267544166
DKK3,-0.0822539040959947,-0.04712353627691571,-0.053414500504106156,0.060795696620808325
COL11A1,-0.031889011493114024,0.012188393830700967,0.02292420481676407,-0.02487488398415919
COL5A1,0.025163219468823626,0.039894478841719566,0.04116465317647294,-0.03031037097331198
KISS1,,-0.019358171813901977,,
MEGF10,0.08935863042296564,0.033713207720967885,-0.03700656225962373,0.00223940182722905
CEACAM1,,,-0.0074570110814315416,
EFEMP2,0.07722419580396744,-0.0164713089506922,-0.0656836408868509,0.009048157045192077
IGF1,0.1140574109238965,-0.025272465667063114,0.03793731143755134,0.029441206104782614
COL6A3,0.06208536085036375,0.08896050697895405,0.04762656237073537,0.070503061559432
RLN2,-0.03218552184588489,-0.016494873658109803,-0.016076562397733675,
WIF1,-0.03793897198009438,-0.00931902479383788,,0.02438401381811946
IL13,,-0.022942515045730263,,
PLAU,-0.00445117094369969,0.03784064326575718,-0.017101996515232292,0.11800623259878339
CXCL12,0.003299714773142411,-0.04637914370910297,-0.022159995990823123,-0.036417260122574076
MMP9,-0.023074048447024972,-0.0012146444932128408,-0.03015391042145343,
TNFSF14,0.04046409372375719,,-0.043068950066354514,0.029580734117211384
HBEGF,0.0004721035075719198,0.05386671096018426,0.10499268288612269,-0.02156815510147677
NUCB2,-0.0046624293572102215,-0.00968979420118075,0.059032584797023585,0.12767192375377548
VCAN,0.003933327457381264,0.047464554795124236,-0.010891963613152093,-0.039884036517805185
VEGFC,0.15690291659451505,-0.01996380315524344,-0.022889639819976004,
LMAN1,-0.019810758818714,0.03107561232552621,-0.008948159296515299,0.044090477691815004
IRAK4,0.020737334191288606,0.08258116073858102,0.05866079619974151,0.0329207450141796
MICB,0.005566298950965054,0.010176762532124115,-0.017525759799033647,-0.0357261547282104
COL1A2,0.01505619899848334,0.053106756028504454,-0.011092048663921874,0.02929277077000166
ICOSLG,0.04220758234356094,-0.02201187388342176,0.08930464754685735,0.012993132745005003
GNAS,-0.07526427863459248,0.04875546866539126,-0.029258422830919964,0.037182303733261625
C4B,,-0.028615839345008602,-0.028529460473795096,
COL2A1,,-0.01625485069019236,,
GSTM2,0.02473780226546198,0.005018582789072686,0.05303860574269074,
NLGN1,-0.010367449933730892,0.05419206127067173,0.004016162411443769,-0.08202211656590504
SCGB3A2,,0.06137770429580662,,
LEFTY2,-0.024853240050936854,-0.027445715731636896,-0.01917032916334567,
ACE,0.007051998531049684,0.02936947969007652,-0.0062149538826512495,0.05650621199383601
RPH3A,-0.06986377346042429,0.014328826420095454,0.003472713711492099,-0.07705668596465905
NCAM1,-0.01111234274266953,0.11055068938547677,0.04848716363337992,0.008088264510572258
