,UKF243,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.01827609789500897,,,,,,,-0.018219038478789834,,0.052631403074131895,,
BMP1,-0.03125138152237399,-0.04773735945167237,-0.01640280649626811,-0.12350854973982674,-0.010604636397476063,0.0025574023936340796,-0.057373247132020896,-0.03904384236429376,0.03533322582241324,0.0016530462926839606,0.07089554737703918,-0.02220068260381321,0.04048782923870839,-0.004231379509945301,0.04712256376724036
NDP,-0.014263766561817054,0.09963926663844587,0.041758272811316416,-0.054827657288845214,0.01704784962552384,0.007048961419614667,-0.012918252633077519,-0.008234601627169793,0.025408324104516652,-0.003053085558386238,0.02067877322149399,0.010159274622215985,0.04476292329206944,0.032215375687988414,0.07589103224844641
TNFSF18,-0.019581133751269356,,0.01238162403439448,-0.02713945671059447,0.02471764303154961,,,,,,0.0074909769989764076,,0.00786498552811217,-0.0383499231867902,
IL36G,,,,,,,,0.0004858501598703934,,,,,,,
RTN4,0.11459493147643109,0.11840395198006033,0.057545438866686546,0.18353941740378826,0.08302326037814273,0.09706668220924862,0.11526290547942038,0.01956846515322108,0.01542712004013707,0.024138641654358948,-0.08881340283278497,0.0804721424135537,0.02330136086511631,0.01872558228296415,0.07894892944176103
HEBP1,-0.05120422675355176,0.000812699321942418,-0.039427622883687105,-0.03948289596976641,0.0681613461009028,-0.010203868639289652,-0.11065932260986557,-0.005077739377285909,0.019937051455988224,-0.00048219133212429777,0.0005785677057723325,-0.003057127814480996,-0.020515903172160583,0.0499409696423061,-0.015345370826060929
WNT7B,0.13369253793401314,0.08092784609270791,0.03238830071808496,0.15266526782752848,0.014814134345961578,-0.012913395786861251,,-0.020041378857464348,-0.021836588397391506,0.04340857162075013,-0.03928926210951402,-0.027836187971388027,-0.02971675939425738,0.009920114029400703,-0.0055694449857966065
PTMA,0.025373645066744988,-0.08230164941748688,-0.007535457290375222,0.005198648079054608,0.01549494799714721,-0.05068455336759776,-0.19123702495538708,0.005506938023026079,-0.09091723617184769,0.01700691894600201,-0.07250126710298374,0.03140979801371436,0.03488341181795678,-0.09605381129844634,-0.01145998027600658
FASLG,,,,,,,,,,,,,-0.019252391264137112,,
CEACAM1,,-0.014562084186546665,,-0.03571397928326783,0.0025796897902647443,,,,0.04034227708462173,-0.024091356946199086,-0.026997792315791854,0.1030593168929535,-0.011397372069118816,,
PDAP1,-0.04552529574570153,-0.06649474235542337,-0.05842968452132457,-0.1620898498632215,0.010899996305067773,-0.02609289899427124,0.04174520850657269,0.03305701146180756,-0.013431571784423915,-0.05622333480350696,0.038937837488519894,0.06303054428960189,0.031246508155473796,-0.052377814021225114,0.0480308751729595
QDPR,0.0428115857100795,0.1147888721168123,0.06658692722605529,0.039958884106937015,0.010734247092521885,-0.012459920821921463,-0.1602798930616058,-0.034547229427932744,0.021800720453541905,0.0010509326139998235,-0.07531375206487724,-0.012117924553448605,0.05068377168173524,0.08814880752690725,-0.09619846391302077
POMC,0.060754844780980775,-0.01685160360978784,0.0663671531645397,0.03967787100389457,0.016905136986075642,0.024879183330474612,-0.06584109855602105,0.02517423652381457,0.10505413384467074,0.02649543143975395,-0.05839071154111279,-0.04064484713808616,0.0028143812432610033,-0.02487460998126588,-0.05677034160292765
CCL18,-0.0030576268800152112,,,,,,-0.044467149786142725,,0.06960153654121423,-0.058829498341939845,,-0.01798058642844621,,,
CCL17,,,,,-0.017883723199517667,-0.01598316399826235,,0.024115839901022406,-0.02245415748842879,0.01584240026638662,0.018446921268986734,,-0.01745013025969017,,
VEGFD,-0.02958724365389265,-0.013932177671296701,,-0.03061736642344263,0.010313282078861407,-0.011723844083929189,0.07618582741018923,-0.017852218692682564,,0.009107628659202997,-0.025334477062727158,,,,
TNFSF13,,,-0.003849759694689933,,,,,,-0.03263080970930206,0.04801339454678141,-0.025759147734410577,0.04745056677063867,-0.028433530754973044,0.05619688354021213,
WNT5A,-0.03172339117580262,-0.041752339963664294,-0.03263480427172449,-0.11420646942648581,0.040528251137278475,0.04078619770624442,-0.041025169949219426,-0.02346594827250688,0.045947251013907404,0.007729550787080634,0.04800213333998126,0.004016720449320349,0.06461635053686776,-0.010011603625710713,-0.018420704908850574
CXCL8,-0.06750315613591228,-0.06787784955194284,-0.030145457589577488,-0.029061573848992144,-0.012727119199474932,-0.010917753380643063,-0.0761543664569063,-0.02391657096149407,-0.031052156856395792,-0.1125173309882708,0.024279084549273067,-0.0404202439504842,-0.08018872914557766,-0.030571513080070743,0.0012529496278737332
GRN,-0.07998792534859715,-0.04844177045990726,-0.021037232282498708,-0.1574646147883321,-0.02959463451496854,0.017147354577137522,-0.07783305621563373,-0.008407032382113147,0.017257784748672563,-0.002168602721844257,0.08721910633894528,-0.08059336365452982,0.009365043137628112,-0.06596454016292076,0.04022121080087473
MIA,-0.04462425359463115,-0.04227504103285248,0.019704922951764136,-0.05220736039934023,-0.03515069451291068,0.0295415590196063,,-0.024449431623256534,0.1356226991879008,0.03715460865280443,0.04327918876898267,-0.03460069385016346,0.0021999366536682775,-0.045860592825514565,
COL4A4,-0.029784724331920375,-0.032763012703234874,-0.02016406248273917,-0.018009737929110578,0.011703840780546442,-0.009832754947836628,,-0.023716855726428634,0.07635983210142508,-0.02797591818561595,-0.022436900965821332,0.026551836855407313,-0.01582884791595999,-0.00204479316211275,
TAC1,0.10719749520979704,0.17887059368152988,0.04288383299303209,0.1956184245616454,0.0321711865158141,0.03256054423238001,0.1548925570569829,0.017177083906464722,,,,0.003531379376622501,-0.022939970630292343,0.025235838089230585,0.04879333503839257
RARRES2,0.02820033938393085,-0.08169395241392224,-0.04628637326615953,-0.14508793686168447,0.04949957256391342,-0.0585148063174379,0.03818986245750679,-0.010983020764755913,0.04551224057456538,-0.02664191019315588,-0.0016362654972689721,-0.008552036194921748,0.010186185361992756,-0.025896073641197587,0.02023667459570033
FGF7,-0.00342322461316616,0.08735014713118912,0.0009719766374035067,-0.03381569190256709,-0.005786126885260805,-0.032689057913817224,0.04949397660301321,0.047000422789827814,0.025155979771828558,0.012567170272868026,0.002773280584578888,0.0319897947213196,0.046671202553803054,0.006644575002531703,-0.09743278199907454
EFNA2,,,,,,,,,,-0.02289722250962201,,,,,
HBEGF,-0.027442119960865475,-0.06530030705473651,-0.040953709701755964,-0.045067377510502,-0.04759472117445667,-0.03010795572026809,-0.1145495445291993,0.002874471550772209,0.062212472019965014,0.0375492583148535,0.050635103301330094,-0.00712977833243651,-0.0050094718154873215,0.0009872298284658882,0.15398574502250512
