,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.06656262119974406,,,,,,,,,0.04667025238732284,,,0.03861454747803043,,
BMP1,-0.010264292614779055,-0.0431808404528599,-0.11564637293167333,0.061372527231756416,0.06761132829279515,0.030086491265473893,-0.14585156971656213,-0.14071863894208436,-0.4637753131317684,-0.11112759982466129,-0.06014633411522277,-0.18176710315272615,-0.06459687762346579,-0.31425897520867035,-0.003888328196855373,-0.0465556107027356,-0.04137978682126081,0.03660396042588795,-0.07430931115676764,-0.030795565555933765,0.07068752146971742,-0.18745244724169685,-0.024857840181760064
NDP,-0.042168045967753205,-0.09365583363636609,0.05737022833720534,0.01722269066358553,-0.04846251827703639,0.011102532332182141,0.16574678360245568,0.05355819652216155,-0.10263022492464734,0.08474111664392141,0.041943932779104846,-0.07839318854415406,0.013809308971744653,-0.059240889482756895,-0.029498490756990837,0.002374026606906713,0.03629376515617122,-0.09743472613438747,0.06079225261679838,-0.02518156825659019,0.06360279306817375,0.0450121809366852,-0.13262883435350523
TNFSF18,-0.01752587367828381,-0.029917922373847983,-0.017182796300731752,-0.010021602584613654,,,,-0.039960812027701915,-0.09884349421697301,-0.02394129771716306,,,,,,,,0.07265547184663992,,-0.018939632656185052,-0.013169304877742349,-0.08740126957176741,
IL36G,,,,,,,,,,,,,,-0.045754720470333694,,,,,,,,,
RTN4,-0.04178473959176335,0.36769875017282655,0.07196105746735676,0.11782416108105395,0.06327852172976625,0.07275598720408508,0.22951718105151084,0.35642100482225375,0.5947828705740884,0.19874639180821982,0.18664385285567528,0.49796550816533947,-0.004945631995960925,0.5045206366402089,0.05188253005967858,0.023100474784925325,-0.0025506639436145852,-0.024963693973925564,0.16171318409128832,0.07779170518620959,-0.03962931268335905,0.46416886417090547,-0.08387346586982641
HEBP1,0.012953247016596224,-0.10889923833487099,-0.030001993084722837,0.06456399531592306,0.0038626166137462514,-0.015089312259564603,-0.021939703228263996,-0.11479959036805973,-0.22767893382785476,0.0008774492918777113,-0.0396113969007835,-0.2141899569376679,-0.06435262927902609,-0.028574450676352708,0.020332321420862335,0.09767643354874936,0.0797393599310592,0.01577076409184196,0.06728026004060968,-0.030748394461627266,0.046358041693679235,-0.04290818541374742,-0.11945244224023847
WNT7B,-0.015439745784939944,0.3945743778922887,0.03917594880113668,0.032427321552159764,0.04095067714189106,-0.03582903569754128,0.08288848963279556,0.10522968901438141,0.40677001085072156,-0.022171737750290046,0.09779925340425348,,-0.055548598921987775,0.17173379722054719,0.045179667164015454,-0.014972857930812267,0.03917280769395931,0.003317015959865932,0.01962575463348264,0.050120662313755185,0.03530819420069721,0.04374639158002185,0.10186394834062254
PTMA,-0.025610934779474976,0.059863897971447276,0.06268371504023837,0.023953975214021976,0.03648121524976321,-0.04470979318830199,-0.20786898860052397,-0.4063539818711631,0.13503827701872118,0.1374911702235797,-0.14058569147434033,-0.6300058454330478,-0.018110536091597823,-0.4865631509085582,0.07295304213224114,-0.055480762395139,0.012303633761538521,0.008791304411921356,-0.0516616361947586,-0.00687012909005444,-0.07095805582669908,-0.21250784068253525,-0.20669939236186372
FASLG,-0.015439750149716526,,,,,,,,,,,,,,,,,,,,-0.02223956690656974,,
CEACAM1,0.06770852549598197,,0.08305307796519892,0.1078354563523001,,0.02826102004439419,-0.012097276504828157,,-0.1300724086850541,-0.012055254683111104,,,,,0.007323521848431905,0.07831132750219408,-0.02791815828659411,0.00933204482788663,0.013033699778689503,,-0.004277094802232288,,
