,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016649266612700338,,,,,,,0.05332783091507292,
BMP1,0.03802797723708987,0.025429683597813932,-0.008779759787292863,0.0074984473677785195,-0.02604264801627282,0.025501427650817317,-0.02843199519983864,0.012718864535802623,-0.014313057536620271,0.09164298005650941,-0.07937719931341619,0.006774694441764526,-0.012739751277198386,-0.01995463682351508,-0.009250750923293364
NDP,-0.04168504289506893,-0.05397345880753958,-0.016532402344992557,0.03629899737548539,-0.0007487279823024592,-0.04838133858138722,-0.020510500604950615,0.0032315053973570214,0.0017848856782495433,0.0636918928774506,-0.08524768639089995,0.013283521030123336,0.06747446514504232,0.0534383762663362,-0.007762442377547856
TNFSF18,0.005948404692051611,0.10378061314300326,0.006249481058733032,,,,0.06741603696873415,,-0.02705031005344908,,0.007478817324024702,,,-0.01517048502637021,0.009821521774119305
IL36G,,,,,,,,0.008271131050881826,,,,,,,
RTN4,0.04530590784833235,-0.05796997381781214,0.041392210059969244,-0.015090319253722433,-0.019704668107326902,-0.015094915263391896,-0.046906614064396064,-0.06191631967536805,0.008933016428800887,-0.02513107713486224,0.07665678028057357,-0.01946585021731332,-0.11986807186160886,0.04196302402248128,-0.09308404746897136
HEBP1,-0.013720508143132776,-0.013336024676669738,0.07745779847807328,-0.0007994539259139336,0.006482320431615315,-0.029941122253798278,0.04884162321788922,0.06508939823273342,0.018739379023206815,-0.004910446926662839,-0.017373481576924473,-0.038232112662136226,0.03542340812462569,0.01923486417583558,0.08665829743628709
WNT7B,0.020426631016371488,0.0020898189253682623,-0.020649633221583797,-0.009254939503732148,-0.018034338504173984,0.013068057814689333,0.07661445825411368,-0.010354530275780678,-0.029779751112247725,-0.06967514953369898,,-0.022703747134028902,-0.020834325211197477,-0.017730964664862726,0.021413676220918484
PTMA,0.07665958817960779,0.08755175959927596,0.006130884656868787,-0.009796785104600551,0.020395709246761595,0.10711846949183795,-0.034807691332770854,0.09797184418599918,-0.02505811473511517,-0.04103252643485416,-0.0814702410455689,0.007763314029501711,-0.003995242366993788,-0.03784207838830038,0.08988587563504145
FASLG,,,,,,,,,,,,,,-0.022769376451482748,
CEACAM1,,-0.023129598850718913,-0.015847351505758948,,0.04089134894164294,-0.00023075247831446969,0.014409381059511442,,,0.12524727023306917,-0.04595252882054901,-0.019823708690828258,-0.022723267477473972,-0.0316802431195581,
PDAP1,-0.09499344164078262,0.02458847919520932,-0.028311684014041657,0.0489623453001556,-0.0653172560698656,0.033275586941429645,0.015611284640850624,0.02040385768269758,0.049176415470278546,0.00013447562583266616,-0.006481633604214499,0.012811155788564971,-0.00679764481106386,0.005425170151987567,0.031396155180697376
QDPR,-0.02037469542827974,0.0005124706045243982,-0.019247905786067845,-0.022486653625202576,0.017842788700834698,-0.0993895974751375,-0.08277520322201104,-0.023318197953101492,0.04778498657396666,0.06509777647626061,-0.026903572221866127,-0.03701557415522867,-0.011655162048403464,0.10236734186150694,-0.10926810548126288
