,UKF248,UKF251,UKF259,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01843918228300256,,0.03976269314441256,
BMP1,0.07664872736462566,-0.03021175764214739,0.02580900569121566,0.039423448573311023,0.07749841940774903,0.028730238549950764,-0.010681366344024593,0.07134558857848201,-0.09786077508971368,0.03565690784886764,-0.026761364678752057
NDP,-0.01612670312276604,0.04481028548025964,-0.018979425643208946,0.0257506269405725,-0.01885001744246827,-0.011582423417970354,0.025570661637514883,-0.011401392894535617,-0.01595572960112656,0.02600790380817063,-0.021063837234055686
TNFSF18,0.05819115285581385,-0.03570016070485919,,,,,,-0.019016003217779968,,-0.013223139111058707,-0.030045454276960915
IL36G,,,,0.006183536916980023,,,,,,,
RTN4,0.04609903657677052,-0.06641080418853723,-0.015338823106299306,0.03849688494913762,0.029077611520680693,-0.0007795327267819018,0.0037514704309868367,-0.018251414256674682,0.06470677324355818,-0.03374492320135447,-0.08189117391547464
HEBP1,-0.011250555930886195,0.04151838719461756,-0.010308252773031764,0.008891649279036866,-0.042847903278983586,0.04304806181924936,0.04160664268808505,-0.03966919921134278,-0.010477392058292137,0.061278648827002805,-0.010194834794527064
WNT7B,-0.02903105742383909,0.06845024638437795,0.02551115401815133,-0.01716818571587081,-0.061664396666057886,0.010787400805544653,0.04535687874720822,-0.03976400108300972,-0.02390731737527292,0.0795531228148659,0.020542770322323472
PTMA,0.10002122841430412,0.0009489014864145891,-0.012053145236894809,-0.01693751474470927,-0.08099599512517618,-0.04607816503052773,-0.038330588135317395,-0.014364228347959375,-0.021654447868477453,-0.07650295157007708,-0.03745892610680793
FASLG,,,,,,,,,,0.05181000941505151,
CEACAM1,-0.0022874484837131616,0.03975557165206347,0.0019043166568858698,,-0.021710603316028265,-0.020334239888951496,0.09263883968686835,0.009918872169725198,-0.01586763424283104,-0.03056875686679097,
PDAP1,-0.016890993423539273,-0.05159167397289431,0.015439841272549808,0.03420171346590888,0.06769974294911847,0.011231907976903457,-0.011522904589373644,0.05632221408769975,-0.037362820374282804,-0.052539972718226316,-0.04128643402418337
QDPR,-0.053541234611132436,0.02129443991263242,0.018832797486401914,-0.00827876958073047,0.054832288090197794,0.011299161053243915,0.03720500199843692,-0.05227024567636672,-0.03026393158238813,0.010957603534067557,-0.06833003471862346
