,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,-0.036998145486065406,,,,,,
BMP1,-0.04972363262248597,-0.1071201158798535,-0.03919287797875637,-0.26791405998029694,-0.04800514716643619,-0.03577442077032445,-0.10739769326659693,-0.22198993174454798,-0.052888993537371594,-0.07393227688134556
NDP,0.048119090679101535,0.14722594092135405,0.0184339302220933,-0.035816805738766104,0.045979379433001,0.04477954418860457,-0.003482509240878088,-0.04176430361964804,0.06412457795860559,-0.06644386871082521
TNFSF18,-0.024726532671435632,,-0.02979529508967247,-0.05494113533204268,-0.018156244522937494,,,,-0.037955385966769034,
IL36G,,,,,,,,-0.0300196531846241,,
RTN4,0.0277814124452352,0.21710141641818917,0.13829180957244228,0.3646178499222038,0.09575579468531435,0.137176319795095,0.23480023517587484,0.27912418383331117,0.1658434772706787,-0.024277035881074313
HEBP1,-0.016586940089302893,-0.002611877167897157,-0.042586829786313535,-0.11324072252980903,0.0015616260872086075,0.018074983081230154,-0.0936399006530455,0.051361668636726664,-0.02228809100077655,-0.017091951626188793
WNT7B,0.025303403843371486,0.06627254877441209,-0.012018248293581533,0.20559802251673784,-0.046121207055000335,0.051148962924571315,,0.0721795683183158,0.021931945125106902,-0.03270514226497015
PTMA,-0.021092899417501625,-0.16690825486452215,-0.1564419678678665,0.05814739483531271,0.02910056640637219,-0.06635449423434868,-0.30147146304028505,-0.29515913447397496,-0.11422694361806551,-0.06171679581712438
CEACAM1,-0.04156701778670454,-0.02104218687453193,,-0.07229940488387937,0.011973948282984382,,,,,
PDAP1,0.007091701535232306,-0.11947347784024748,-0.0952353109019535,-0.20629046161391282,0.007907435159352917,0.014133113052710936,-0.010813996094564095,-0.12641430172586385,-0.061798926671441184,-0.03263106036923659
QDPR,0.10711369556385124,0.164626813380485,0.17252738857604835,0.08917307452851621,0.054287365671713855,-0.016275146192374603,-0.24086107915559218,0.04357789912022596,0.16052062971609166,-0.10148364195912328
POMC,-0.02635031948863832,0.10714828069611912,0.025891682236664226,-0.009561111805498472,0.005656670636408612,-0.011032385315977005,-0.03414539088056785,-0.0356246823745238,-0.07923877338314278,0.18414881270730804
CCL18,-0.007578315584477594,,,,,,-0.08284584130757072,,,
CCL17,,,,,0.05217193182575735,-0.036589393407122375,,-0.027423805441819066,,
VEGFD,0.05353755706889152,-0.007478656370898945,,-0.061981818210990074,-0.0014516158818171576,0.03139752709004166,0.03327633169911471,-0.02939094169875869,,
TNFSF13,0.0099398081592933,,-0.01700525682748755,,,,,,-0.006045154859228228,
WNT5A,-0.047051760406389136,-0.09699743598760562,-0.10844131759866663,-0.24069873220382845,0.03245446413028092,-0.018898067225558746,0.06416288303157877,-0.08791546010770675,-0.1300457247815902,0.05332272760535465
CXCL8,-0.04425884665642703,-0.13311227151476407,-0.02376132502386912,-0.10801191363762035,-0.05328360067849079,-0.024993422679622075,-0.09120038441998098,-0.0370110162113701,-0.12438894533941906,0.13369598615219266
GRN,-0.10183061758756165,-0.051108599838402734,-0.09430161344538962,-0.3001036069079733,-0.06726907446879032,-0.12745965388632555,-0.1637445069903461,0.01165326160546436,-0.0038338324574059106,-0.033195355409889084
MIA,0.025722347933106158,-0.08215939361783249,-0.035235429954740424,-0.10568861726363012,-0.04450781237413529,-0.030523440215808047,,-0.005143549091238774,-0.04240436137270515,
COL4A4,0.06048898641000028,-0.12710786163516544,-0.03608180917066196,-0.03645892618298521,-0.023641424779737217,0.02949128980306141,,-0.039046167646324716,-0.026643224662305176,
TAC1,0.06876654541174523,0.22363393981645271,0.17821414274581007,0.37205101096366233,0.1257198774599255,0.03980593955211373,0.1888777728593098,0.2666788377241605,0.155231993258496,0.0291446292522211
RARRES2,-0.0020597782527514217,-0.22803192108749296,-0.0701251265958247,-0.3320319624583694,0.08160258432864345,0.0271404986410187,-0.046225652433165135,-0.14494730773053952,-0.11057748856068238,-0.05715958401748796
FGF7,,0.07166974763063234,-0.052806017874138245,-0.029070318976015336,-0.003354938872528709,0.012118226104187049,0.07758757996611093,-0.03870818283664122,0.041251138478328314,0.058277606172921714
HBEGF,-0.04046496148238928,-0.09571394034238995,-0.0608570606044186,-0.12688292793976713,-0.1281246208779267,-0.007530442782418454,-0.09298670907234884,-0.05336328832130759,-0.1529866160104995,0.06144107131742317
CSF3,,-0.05833949786853399,,-0.03857284215441032,,,,,-0.03322997981704372,
PI3,-0.048044246513712356,0.01573045558426272,,-0.04343352937227649,,,,,-0.06964609660466045,
PCSK1N,0.08504539659154949,0.08227475625769107,0.026393208677107698,0.2194641514159088,-0.020700047685503636,0.09702775133049103,0.25506901904155593,0.28243166914340156,0.21182281508159556,0.08528824083295776
NTS,,-0.06736178619920626,-0.027538252994409037,-0.047410662987597114,0.05632990830519501,-0.01763159658249847,-0.03806813721875429,,,
SFRP1,0.05439502341157024,0.14494494082345286,0.003031839328624303,-0.07781619970311207,-0.008736508906795667,0.011493523820801706,-0.06501393120700073,0.012976836831289758,0.016697485112749506,-0.07364321484229087
CXCL13,,0.00531690715302407,,,,,,,-0.0031794603176438603,
MICA,-0.03132877654485035,0.010521797931893551,0.036450896828610226,-0.09388911503508798,-0.018560293454532105,-0.034832192648464586,-0.03227678734535577,-0.08817607543791581,0.01951832104184217,-0.04862816067326473
TG,0.08227156300383213,0.013231578516160341,0.038968684373898985,0.0716628680572571,-0.022813347678941064,-0.015253941868283688,,-0.0411944253531529,0.01774816101481529,
ADA,-0.03221636549200346,0.05801148658363369,-0.03373681282877499,-0.23087460506132804,-0.01321467606080561,0.00013793447053476394,-0.13821580212815673,-0.09335322086829664,0.005787381843066375,-0.045852502120902014
LAMC3,-0.09386743384194572,0.08061264407943586,-0.029350156610635232,-0.13491144430298227,-0.049936432766434266,-0.052691761239684325,-0.10065374919500437,-0.05703106435768425,0.004021133264211712,-0.017535967823027274
CCL7,-0.03299479006137506,-0.014551218006895142,,,,,,,-0.07034995612144986,
NGF,-0.01098263322568066,-0.03511341511322098,-0.02280252287430232,,,,0.0786487042113665,,-0.03385478565668985,
TNFSF15,,-0.013425899358865366,-0.03078413541918575,,,,,,-0.05520689542439265,
HMGB1,0.08103755526040143,-0.014217275376170022,-0.054085245129529266,-0.2381989129311314,0.013185267343963573,-0.008399891887631926,-0.09262870743551443,-0.03599235564923752,0.08725159052918692,-0.05788243077441841
