,UKF248,UKF259,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,-0.02204685984178513,,,,,,,-0.024219221749267043,
BMP1,0.03842006639718548,-0.05751883326804032,0.12545349456923388,0.049638002626543165,0.0848120521064922,-0.025853884967216714,0.03282631679438087,-0.06210304670487087,0.06188192842103258,0.017875613697129505,0.04178682919630529
NDP,-0.04392139620968532,-0.03509599948366716,0.010950628154136005,0.00968559336477773,-0.017218451942932384,-0.002543564077046598,0.07372298277458468,0.042430647682230364,0.010123099217119274,0.07384603026235396,0.06692721618804504
TNFSF18,0.03358044492908213,,0.015645888537105527,-0.016401186073320556,,,,0.04695860943011835,,0.03409636108541715,0.018346616603389602
IL36G,,,,,,,-0.02040333752322488,,,,
RTN4,-0.08366134700678235,0.009472087422325911,-0.1277451170505941,0.06427847025873479,-0.052856781960193264,-0.08525836067698958,-0.003369892789240949,0.049278703583600474,-0.011901245092291958,-0.03261935828265465,-0.11583069284692726
HEBP1,0.06846248347656339,0.015328647639170242,0.08562356300550106,0.05651191238530486,0.011920082490570966,0.0023956434675240705,-0.03349312757656351,-0.1266909507120327,0.05716450734764974,0.05043231084157138,-0.0019003897061198982
WNT7B,-0.006220694472156338,0.05611082839480708,-0.03786529958565002,-0.006542994471148697,-0.02997215380369947,,0.03876599932048877,,-0.03810890054005799,0.012980454664434198,0.011664050226305109
PTMA,0.018134491711463686,0.04715946219260116,-0.06526927843100037,0.03373896910447648,0.028858957136508854,0.01866019448094044,-0.00925818634348841,0.011164792730594812,-0.10024742790528375,-0.0870975079784304,-0.02675107119845039
FASLG,,,,,,,,,,-0.0005935658498899879,
CEACAM1,-0.02006054509050131,-0.018808085966389186,0.09024298294392424,-0.02579515837255652,,,,0.006642270416416248,0.17561188228232957,0.08640848612257111,
PDAP1,0.016372849644036062,0.028784663435484047,0.14946739456269065,0.03083567884187442,0.0020487241635211047,-0.011337270574303967,0.032080116984926424,0.037535625538724485,0.09653736180385111,0.016480621912876667,-0.011534884597044355
