,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.022523221026523186,,,,,,,,,0.05413896979135975,,,-0.030633310876473547,
BMP1,0.042315724128078575,0.01722502835945965,0.012810929185802565,0.018123546597701882,0.01679153757009246,0.002592607317334248,-0.01028195373536992,-0.020838781711011722,0.029038150732096025,0.00879735059859244,-0.046831988936059776,0.0017186525624054612,0.021772446223158992,0.09588980509750374,-0.02858799296011076,0.017894329588562644,-0.03688750435234519,0.02039400843364376,0.07776050681483403,-0.02020542521490257
NDP,0.03735462408256911,-0.006807065556203796,0.043232509290158365,0.048434943378543184,0.05339981903901328,0.03651954505285721,-0.00721006585954338,-0.04819623499669535,0.048416378448911265,0.021265778340114186,0.061284767812609484,0.13134362038529157,-0.024639925550526107,0.05065101057391155,-0.010299492908164709,0.01604427074065514,-0.013589082115639375,-0.03665561383722757,-0.007961118326062508,0.021309034165603907
TNFSF18,-0.04078542783723292,-0.01417489284747402,,,,0.0322807466474049,-0.010510340171656292,-0.015882542521870806,,,,-0.027866850828415356,,,,0.02739472872302862,,0.010179293054776516,-0.0017355619426298915,0.017138956896367484
IL36G,,,,,,,,,,,0.04957054640567956,,,,,,,,,
RTN4,-0.12192020266941889,-0.015275058775070028,0.0395184720034227,0.03877485095888061,0.02145976439011862,0.048346482408010434,0.018538509869254025,-0.02642236418187497,0.059926737838216,-0.022568064295448654,0.023038503406914726,-0.02564380629564179,0.030589979744615498,-0.03374504064019209,0.030268905575723856,-0.04556105907901442,0.006306486457324041,-0.01179024230500327,-0.0416781909407802,0.06976635666959001
HEBP1,-0.0161250619473986,-0.022160399040048073,0.0394303117519977,-0.019996981457377716,0.01577915350943301,-0.07566951306881065,-0.00441490606601256,-0.028691581620256663,-0.06376231500877401,-0.007206058782506674,-0.010329197074566716,0.0109683049429642,-0.05867973887798122,0.07758531906414266,0.02411897841187692,0.025762668898713172,0.024699945891309815,0.013663342578934442,0.04276165971171887,0.00788762832628971
WNT7B,-0.013391324704040128,-0.016510659751859322,-0.035287101944521164,0.06440247421263144,0.009989643502224359,0.014188442298019655,0.04399858227015108,-0.007253210203888023,,0.07446268611736058,0.010551469341867781,,0.03378051727474904,-0.016698038558211933,0.027106921410241056,-0.030190240530644973,-0.03279788563758939,0.0623650159356981,0.054360773824256164,0.045339265223743465
PTMA,-0.08729131667393246,0.0739760420191121,-0.030558937295200435,-0.06023306598983226,-0.015596968716912992,-0.05368520051302892,0.004697995915304123,0.040460478092008666,-0.09568599836748838,0.004509300202615218,0.0020952332489577374,-0.08688670139746857,-0.029358903490502564,-0.0755364357422718,0.031676977856826,-0.058150924716148224,-0.06632034418308953,-0.10114791838057818,0.022275823072947037,-0.08388816495214152
FASLG,,,,,,,,,,,,,,,,,,,-0.02656826007246049,
CEACAM1,,0.03697606684309361,,-0.027427956852088393,-0.0038602315077740793,,-0.008868713068390429,-0.013825123323012119,,,,0.023843323900574892,-0.03486418650830364,0.010406543363076745,0.033277909897592606,-0.026860809131060284,-0.02176843370029209,,-0.014594155493225496,
PDAP1,0.0077078663359380845,0.017293730258391253,0.02965905614818348,-0.0319100183983291,-0.014900041769489855,0.025136832048450276,0.005655569227146351,-0.014219039934253047,0.0006920589144869762,0.027098965340664728,-0.04199705762717924,-0.08622216141703873,0.000533124128136469,-0.01738924731700308,0.0036108707908619688,0.013105033046939541,-0.04191348276718912,-0.010423819870585176,-0.08494014877962522,0.02836763641229818
QDPR,0.06620753571620715,-0.03067810221923751,-0.009418683476759905,0.008594674163332058,0.055813864136206225,-0.0015178363241343598,-0.014565754892267222,0.058170905724052945,-0.09029058493054741,0.00833545472042042,0.01928610389191562,-0.06026061768771008,-0.05460032334027606,-0.02634421287059452,-0.007627824505615801,-0.044064229276399206,0.05930155648044273,-0.0730494352095612,0.008226423883982419,0.02338773408527339
