,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.12480285660356757,,,,,,,,,,-0.015090855480210233,,-0.019010180359780384,
BMP1,0.08326231544245205,0.04179967142616603,0.006772757514053903,0.07424364210677437,0.031811549378176054,0.09124865606057032,0.013705406726395582,-0.018651252759165866,0.07934177405251437,-0.051397953875499634,0.004114095023812685,-0.03733271675780344,0.00725255364500256,-0.06170592338391343,-0.039992798511621644,0.038474464900340406,0.02825137341836126,0.088489893923161,0.0618472012130197
NDP,0.028029834474679355,-0.02279325458445824,-0.027873253377091865,0.04134403232633517,0.05020365249268712,-0.0156747675347397,-0.018371944964818306,0.014975775787218759,0.06279263682189062,-0.025337092963784173,-0.05531596400124696,-0.013725214274322578,0.006097567774945387,0.041030362594491894,0.03660719213355928,0.03600736521002442,0.025543841634753227,0.010739088577981643,0.046266298754855564
TNFSF18,-0.02859200610259327,0.045812208604045855,0.030675186872188613,,,-0.019579582335412616,-0.021996927751587986,,,,,,0.05861401775477177,,,-0.015562932887499043,,-0.03206677559556695,-0.036387746919299364
IL36G,,,,,,,,,,,0.02441102701773436,,,,,,,,
RTN4,0.13899390120790034,-0.005289666312952919,0.029774497685082967,0.02548411523691803,0.026428867798611883,-0.10414926560981501,-0.009563682142651117,-0.021177943485438572,0.031322878954139245,-0.03790865938672232,0.0037204791575850393,-0.11655788165815606,-0.019958739444724975,-0.0409234900796327,-0.04380509375639751,-0.0220172738508952,0.06635621308477116,-0.05543679357053216,-0.08301367619874242
HEBP1,0.01551978658986354,0.07448124362966382,0.06141105366698556,0.012853992040273252,0.013657314470638776,0.06524389794365554,-0.046627861109935775,-0.05416974590222227,0.03612319819341519,-0.04186729302262455,-0.0032916976936594416,0.11148648629774478,-0.03361725398626245,0.03755384175310653,0.06241831508553134,-0.017927710831240888,-0.03039328356436258,0.08832946155671519,0.037306132788720366
WNT7B,0.09895704788788759,-0.008409890526167252,-0.01722763548716353,0.034087484977864686,0.019161198415936092,-0.03415810577839901,-0.004441298335672297,0.01612786889869409,,0.05127392086420186,-0.017926774258531675,0.09669228308339663,,0.04908238780640329,0.07021813447060245,-0.015158803701951003,-0.014934711659984182,0.03251693782718648,0.05905617630880418
PTMA,0.00015975629996833676,0.051086569471741936,0.055143175799074066,0.06196676670583785,0.04213991070366362,-0.028237628317989694,0.009177537777670662,-0.06665430015632566,0.08391160820415729,0.025493221872524455,0.010351259785937837,0.06452100741557971,-0.03561611911419287,-0.07722558673670521,-0.06666034840206506,-0.07157239972470147,-0.00783364166084835,0.04043015269182789,-0.02734925515711887
FASLG,,,,,,,,,,,,,,,,,,-0.016487522940620784,
CEACAM1,,0.0141581109059928,0.08318535689863643,,0.006138882026978007,-0.021157318795447532,-0.017917305439466284,,,,,0.055980104486149415,-0.03321404435018688,0.08243517681817517,0.08126946189563694,-0.0004059365215000507,-0.01909738606535624,0.05151548089115042,
PDAP1,-0.0891550552057215,0.019778362719351707,0.06704479332952278,-0.04887366148374921,0.005784507284351817,0.09668089457514811,0.02869346589473274,-0.02868721845216437,0.04400028916836765,-0.04875077221601175,-0.064627617020262,-0.06115988183768006,0.03913395565054677,-0.025427145248115197,-0.027946816710212107,-0.05125731128566916,-0.018120290339020757,-0.001584997400454755,0.009722858660789252
QDPR,-0.020061873879100443,-0.014841950361844368,-0.006497240030580702,0.04760539449979852,0.049506386385477205,-0.1197126622215896,-0.03766173947893083,-0.011005684778208234,0.0792368194122989,-0.011402399215234376,0.022270983276980173,0.02279518837396684,-0.03992558615278899,-0.0012704832642459994,0.05986631832850516,-0.09825558385714925,0.001335641320299732,0.021468942018278144,-0.03892359254358418
POMC,-0.031483091610473496,0.0034371249731388913,-0.010053271986994296,,-0.029007908401869207,-0.046684924787205054,-0.02552349548687066,-0.028452767944170877,0.058840911370272746,0.03633737557356388,-0.03494474877953448,0.04648649088839979,-0.07370301130214331,0.08732867784920023,0.09029910461891842,0.05037004560283969,0.01543509313895534,0.04733429154017749,0.08661179799188602
CCL18,0.06873580443266285,-0.0025071816394842874,,,,,,,0.05908768615796821,0.007254413029539576,,-0.0032044062439096042,,0.03850569064452591,-0.07939322884365867,,-0.03495184851290365,,
CCL17,,,,,-0.018054778721831616,,0.013523802391284954,-0.013093585829269616,,,-0.014899818153067599,,,-0.032421292709736226,-0.013921687648678596,0.02948949939202359,,-0.014944087673379085,
VEGFD,-0.030247832148687353,0.06657268214129086,-0.0012530226247885064,,0.009235119928184507,-0.0247044471643897,0.0002629727977091453,-0.00960430355207458,-0.019823609076742108,-0.019852000715889426,-0.01596859661172787,-0.05652375613549803,-0.04515376544723016,,-0.03454037929299714,-0.020984583377734397,,,
TNFSF13,,0.07066679094371695,,,-0.012453782284439873,,,,,,,,,0.08746189749619337,0.03210960412415426,0.024967911131917875,0.04656587863324111,-0.024350143531454767,0.0761292390347433
WNT5A,-0.0068287524170813525,0.020132150880816914,0.04243562188275235,-0.011480971677416331,0.03672567324321093,0.0558024723694899,-0.021606187557373834,-0.023293758188606503,-0.06479309695197923,-0.04381185010590753,0.033822909948063085,0.1214727681990006,-0.07459388770160508,0.0399420312363648,0.013396969685461045,0.05871202666999323,-0.02271849886472535,0.01571351508059747,0.04332921478785058
CXCL8,0.013832680265007996,-0.005191000165142624,0.05414535207788333,-0.08241923364894814,-0.027564993959379766,-0.029431326838390937,0.04575644485863843,-0.00894394507669382,0.028926361013917764,0.06532586005597765,-0.033348104659122746,0.04367321911432309,0.008603986323191759,-0.026617478499914183,-0.08755392018335648,0.0474380093363481,-0.058279847467778624,0.011088568095178608,0.021063426819063067
GRN,0.04509080860874852,0.07353129541674312,0.025078223818467714,0.07427657369519931,-0.020723117418468537,0.09455704105536661,-0.042276592971697176,0.005716113864632441,0.016705155538676183,-0.0171315136644276,0.010427430763322712,0.02738922461741293,-0.01615741159249297,-0.003607404556063342,-0.01094940681337759,0.07088148809230638,-0.06980279236384829,0.02170755646911722,-0.07837428680869923
MIA,-0.028901218546579833,0.02142499301716925,0.021650410061443085,-0.015814742270902214,-0.0139949519717401,-0.0038542241371947606,-0.015161885621405436,-0.010922872642990189,,0.0022658801568872515,-0.006635418205838158,0.05489037096305878,0.04602851172904021,0.13864758245510508,0.03958291094100991,0.07113081585843267,-0.05241868307136047,0.07375990672484407,0.1553735746798995
COL4A4,-0.043491098660572707,0.0580883632774212,0.0771493160910432,0.055911587285906714,0.016559146705835786,-0.0024791775884307424,-0.008386268437061362,0.044281607403820034,,,0.025962603238131373,,-0.03535628761388762,0.042603251176438976,-0.02431187702061252,-0.03064882857262556,-0.009631997747868128,-0.034043583455083834,0.06572336437073312
