,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH881T1
IGFL3,,-0.01649411881426715,,,,,
BMP1,-0.05390223605892556,0.04780809186352513,-0.018024905905009273,0.012832728984832264,-0.047521348710755536,-0.01562783401292194,-0.0020413882162531195
NDP,-0.002774245025848771,-0.016035426841115457,-0.004676360114809881,0.052833315784686065,0.0228961188686473,-0.008963970144227075,0.04451945466505238
TNFSF18,-0.018168051637546156,-0.024493271272170835,-0.01433915937630401,,-0.019989397872475733,,
RTN4,0.05682106783113252,0.0221782770974968,0.02794482363891733,0.03465485983694756,0.03377077708925533,-0.005463402415444999,-0.02539550300975613
HEBP1,0.016912103273934782,0.04355400556264757,-0.005153677483368207,-0.020106749428624306,0.006242204397865338,0.007049125453274072,-0.017873403864086996
WNT7B,-0.01844254517959776,0.031325455558369374,0.009746670360639535,-0.009728773269623273,,-0.017402365305974263,-0.0010535223939903645
PTMA,-0.04155742310056326,-0.06543247555931322,0.02693649553512376,0.06778845458216415,-0.0013614622765894613,-0.014210577199006126,-0.040658622163911945
CEACAM1,,-0.0322317499617555,0.028575305150941734,,-0.05182992844027808,0.055341527098314656,-0.013120997945103534
PDAP1,0.001444916827724778,0.04252671833662075,0.090326679071928,-0.028567515054946205,0.026054289817004132,0.017343502726882468,-0.05514191635221904
QDPR,0.008659702434835029,-0.08008664258255027,0.05444081666020176,0.008067369713071613,0.03871869365144001,0.030255130456144357,0.09968175304767533
POMC,0.05262468707995608,0.010386636779566914,-0.01663802662624982,-0.009918758536901131,-0.02113519305308867,0.04705721468585167,0.015041818463679642
CCL18,,,,,,-0.02952825669748181,-0.0008255680722844861
CCL17,,,-0.01788372349083021,-0.01806876936528463,,-0.01563223489311652,
VEGFD,,-5.595580795957066e-05,-0.01905359475333553,-0.0208002052859428,-0.01189349995763972,,
TNFSF13,-0.017619220019050322,,,,,0.013191907006708815,-0.014734001289803955
WNT5A,-0.053956322237486636,0.0005904178894233402,-0.02710668004546044,-0.035115590152722594,-0.08500558623642829,-0.021111157128859293,-0.05773533044466349
CXCL8,-0.02506219770936643,0.04546450964907988,0.028079843834509226,-0.0044003285121034545,0.07343187962157491,-0.07838495534246348,-0.03138954646939427
GRN,-0.04439771075759335,0.02529088543294463,-0.030975353874332964,-0.022312748500263765,0.010907142379566198,0.011444662951916448,-0.042893737850049254
MIA,0.014386857155088445,-0.003044494637293896,0.030771624412538286,-0.023655853030314578,0.03348068549224349,0.1244500037937389,-0.017658974953612235
COL4A4,0.049448426366421445,0.1478447816622409,-0.018671160623072974,0.056834197301739164,-0.05517286114334267,0.11143911322212935,-0.026443345896015494
TAC1,0.06544140164455602,0.058989638302358274,0.014437117934579507,0.004874775864031356,,,0.06438841979432379
RARRES2,-0.07559884409913029,0.016971764809454414,0.016271647842993515,0.017809860847494988,-0.014284331554767929,-0.01797404233306313,0.02379813979270731
FGF7,0.0820578323627873,-0.04632065520083436,0.022584641365186,0.06250042690879566,0.05605185328356446,-0.04705295503715585,-0.0026835666475392627
HBEGF,-0.005517801617787977,0.08064737400832803,0.011041251612858651,-0.031634972720135664,0.08138591646069579,0.019400265261725332,-0.04679264093144112
CSF3,,-0.01719613329642259,,,,-0.04384205167226106,0.02090356919635622
PI3,,0.06073304395836257,,,,-0.10839426877476613,-0.04471102965766828
PCSK1N,0.02464579977107603,0.0472397822749308,0.0024682600596165898,0.039653963071730705,0.0639640200063036,-0.03626105305634734,0.001954953897081526
NTS,-0.02046492450897523,-0.021136116367646805,-0.02132963062848128,-0.0448304829760343,,-0.013386346882151304,-0.04349304556942056
SFRP1,-0.04844353604701887,0.07048348056390197,0.036974736684618245,0.014034690323921363,0.021773305243147398,0.014462533326381753,-0.007349339319627497
