,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.025856689312923117,,,,,,,,,-0.02504957470963106,,0.08467764199677047,
BMP1,0.14229817137120498,0.009046972224494654,0.05074525002834524,0.07744091405669025,0.020336098613401687,0.004423979554407855,0.10125304602700246,0.09378770926765095,-0.02948816196019187,-0.020239023565162037,0.03498830027122518,-0.047618477459834996,-0.09065897491888418,0.11481380669507289,0.07692807704175199,-0.011764437702187984,-0.043854873400424696,0.006904989679606816,-0.0497348823077657,0.02590051242556181,0.05143681378585077
NDP,-0.006520204548853621,0.003971534754319008,0.05103391197415607,0.028146016497236085,0.07449798547544878,0.061109773441292314,-0.03435426229446041,-0.0025247756072494213,0.05142564448477614,0.03776996102828785,0.01823486565352033,0.039800798640806004,-0.013375393043011016,0.027985923498990223,0.03533385865121772,0.046911615438605815,0.06294831679696981,-0.025216566766607267,0.012071608697444714,0.09543110801941297,0.003837590055755619
TNFSF18,-0.025387496719314697,-0.03633004579596367,0.023650109338963998,-0.026297111554458734,,,,0.019667090416623248,0.023797436490818204,0.01918027972685682,,,,0.07762233481752259,,,,-0.025833184247083554,,0.008620327489414418,0.06120704781070873
IL36G,,,,,,,,,,,,,0.0072075540584039454,,,,,,,,
RTN4,-0.03248737444493919,0.10683771586616243,0.03602628126581461,-0.01388937000750882,0.07303686108060951,0.06698873059353143,0.042366920341051766,-0.04158537514738133,0.005762713506774497,0.0767144527269418,-0.02391692494821931,0.13644096431094274,0.15556460187126436,-0.08883896184356371,-0.0517616975459907,-0.023177333851962637,-0.08459229028760981,0.04467716733077003,0.09002424235226471,0.04948797775677448,-0.05051505434290813
HEBP1,0.02024978202116201,-0.03160308752718013,0.07624677598553287,0.04558111497694002,0.036553777560840606,-0.05195419477610964,0.03013490118294082,0.014936825154600887,0.04665411799909749,-0.00967809668985395,0.0469964551836707,0.027094130874127525,-0.03301577064394769,-0.01557975177785526,-0.07950349378520938,0.04467383573882647,0.08092071612421953,0.04734604662027147,-0.02207108095515274,0.07846034590691488,-0.00459923736742798
WNT7B,-0.0017113300344099107,0.13777912161382805,0.0363419440946079,-0.05250053467565538,-0.04262608581186119,0.06177665134922111,-0.01738674033996389,0.05452887489885681,0.10280061931729867,0.030546341637756415,0.052135574007415794,,0.052033245351512845,,-0.04932768191865809,0.05458617411284809,-0.02903385107643856,0.025714088846702194,-0.013929149443392689,0.06773804792342498,0.06552561679852764
PTMA,-0.02310111603550611,-0.012377761208624207,0.12469747108697117,0.11120883864539116,-0.00623857623544475,-0.03052189420900608,-0.008160787637743932,0.058581972658407845,-0.03689457863565802,0.001714263555415507,-0.02126968023101574,-0.14365081969281088,-0.14975233795205917,0.02017863792861871,-0.10660242087312156,-0.04975047895066439,-0.05020252367029865,0.08931366576658747,0.040004320837246816,-0.10395077617731552,-0.04443954016304856
FASLG,-0.022365595773902132,,,,,,,,,,,,,,,,,,,0.07738027985926213,
