,UKF243,UKF260,UKF266,UKF269,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01244341551534497,,,,,,-0.02279376100911783,,-0.02853699370931885,
BMP1,0.0059283843205952015,-0.02558191789134923,-0.0424368355575778,-0.05945047301095826,0.016373147311319242,0.021897450346181235,0.002124163451564625,0.11300608101337502,0.025097945104502327,0.05095971717142438,-0.024540532192613793,0.10625211498567592,0.019513176722791622
NDP,0.029168437032964203,0.007355269351297587,0.006518889918944784,0.0035504767167382862,0.008204618168451855,0.009540746816178638,0.0014268018756166533,0.0959670445754648,0.07816999190707125,0.048159868609084173,-0.016518374328875426,-0.012377031273814551,0.026755011267517236
TNFSF18,-0.018058822970805577,,-0.015232539622353184,-0.018478098478716787,,,,0.028729920158167326,,0.12713600387471233,,0.08229088469839546,0.12740949263376714
IL36G,,,,,,,-0.018081045269821124,,,,,,
RTN4,0.13425120042677596,0.03127460452383751,-0.017589376621435143,0.03176145308101533,-0.00400480284558224,-0.030495642091624718,0.006085879612245297,-0.03594727885346024,-0.06829979013686736,0.011667464371955384,-0.08567447411244573,-0.03546061477654827,0.05684174619098865
HEBP1,-0.024256222882686182,-0.010428229478849697,0.03411344388146289,0.01785377905368254,-0.04388667512200289,0.026871641254325257,0.08060611371184978,0.027312092154483554,0.009504634212296297,0.040310031472732724,-0.053204655828152946,0.06145450241937473,0.022969667271195086
WNT7B,0.1602715265292184,0.01795013623907367,0.016686908026616612,-0.05150291250610044,,0.011610627427918976,-0.019873152436494464,0.023294778012585716,0.018868665084527395,-0.038004330695163555,0.04866820716345769,0.053125458455237515,0.017252299972012816
PTMA,-0.09022121262487746,-0.046449940275044656,-0.04604016480984908,0.046018716365994784,-0.00028695951663517625,0.05749478184338269,0.00958427955585323,-0.0024863250683740384,0.01944135771706341,-0.06360314415351227,0.08390210798584966,0.0008206498175864701,0.026199680161810582
FASLG,,,,,,,,,,,,-0.04058613802433868,
CEACAM1,,0.036234325896452466,,0.04066932353519326,,,,,-0.015399748203835729,0.06800780936693246,-0.019238778721687732,-0.039176701698818865,
PDAP1,0.00821454958502416,-0.08552900525053651,-0.00968463221938952,0.00813977247455675,-0.03562080254251605,0.035543317092350375,0.04808230231794011,0.035857252589987336,0.014439435158940266,0.019353608259496228,0.0561966700258551,-0.0069042654544788275,-0.0359298072896513
QDPR,0.06413328348121689,0.06349405147924897,0.02714629412985408,0.08951890872739143,-7.427781861941541e-05,0.03787247734381397,0.015405521288891368,-0.07289618343337415,-0.006142213185191182,-0.02719578588025844,-0.027737663159547933,0.0548304709110979,-0.04503777051975974
