,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.047006128338685615,,,,,,-0.015610213446944405,,0.008647091947751854,
BMP1,-0.06938504681920662,0.03844074737585668,-0.005789621331029364,-0.053475217215392744,-0.003056890047589048,-0.04452159371246495,0.0907828512717045,0.17320204487138607,0.0876381230657891,0.01996666916362877,0.10610773790824533,0.08353556736624268,-0.04390569035249147,0.07531854881194798,0.0024722987591068025,0.004519948593904816,0.05148938530329369
NDP,0.013118011608767386,0.0013158331401413278,-0.06361093689494822,0.0603936577649537,-0.0113427825349642,-0.018821232081270955,-0.016817121693160686,0.05253116261807764,-0.0764481876525021,-0.014195211930464023,0.02825567390743276,0.04126244618683533,0.07520359848701977,-0.016111154038282085,0.038052480235972935,0.05746312021336839,0.03930149287147082
TNFSF18,-0.04189354747650844,0.03879810697337868,0.02006075304323237,,,,-0.016689356331400767,-0.011982245302876325,0.037442085083126714,,0.06823503077272638,,,-0.016098537591385537,,-0.012850784488058915,0.1238210442332606
IL36G,,,,,,,,,,-0.013608954030622573,,,,,,,
RTN4,-0.09083552817478072,-0.003007684094441197,-0.008115463672954881,0.09239558363328973,-0.03285666791427225,-0.03647964244024529,-0.13892782417062052,-0.16571412475760758,-0.10204897413065454,-0.03501282003031252,0.07020211434727715,-0.025669062744773877,-0.11934049668216777,0.029313246827495972,0.014114989329137413,-0.030813745405972547,-0.11185807358103164
HEBP1,0.05688449359766838,0.05931016847984902,0.06039078424255854,0.05302495193141686,-0.0457417928045899,0.0027541107095495508,0.07397426647992165,0.07791159958250751,-0.041496795637743555,0.019428519266351023,-0.06689977449957098,-0.03754936146948009,0.04305788036362866,0.04739407065651381,-0.012579051492254006,0.05685131443491278,0.02738646524392573
WNT7B,-0.020395226185110325,-0.0002657611522678001,-0.02682816605127001,0.024963805163252435,0.01707658214343906,-0.037018250225248746,0.007516706166730512,-0.07665288870890588,0.09850293250494123,0.01919981232654551,,-0.028970023636933934,-0.0577450292837247,-0.033663344441391026,-0.013725183784679242,0.035381056269895905,0.059925694397046037
PTMA,0.0648040368100232,0.0019231917370889145,0.026752235959493064,-0.016796544160218748,0.02282266544395498,0.09310007895450635,0.2019870348536289,-0.16026741359596897,0.0043516399292350995,0.06241321078716858,-0.026868142007222994,1.456299650681267e-05,-0.05263435990017275,-0.020554236859635214,-0.0243620511619384,-0.05586441079389779,0.09095993317921276
FASLG,,,,,,,,,,,,,,,,0.056132843121294095,
CEACAM1,,-0.025281873376472752,-0.02058900383881666,,-0.01866762295475744,0.06229764650112037,,-0.014459758933726748,-0.0034921687994042567,,0.1589430471270207,-0.030964231726562912,0.03196860630910554,0.15115299156745252,-0.018228272874566027,0.05261804754882332,
PDAP1,0.025046033193450418,0.013852681744330459,-0.04667986351981391,-0.012786334135117872,0.04923399296907063,0.04516654704421689,0.10062139983072307,0.16886505331219384,-0.09381935882985151,-0.024818833201044777,-0.03472428032793961,0.023517834836693268,-0.08279388988744237,0.08514335277336123,0.023238699369342412,0.03871366407621473,-0.013248643944054523
QDPR,-0.04394017155013184,0.02612977420345341,-0.006006398439962141,-0.02843466931606265,-0.05492622095745761,-0.11234034791685411,-0.09518171240105706,-0.14119913989068128,-0.16181297709604023,-0.045030625170521636,-0.11249721207718666,-0.0068681766685362395,0.09136925561848179,-0.07583742435931727,-0.04340791543925711,-0.026161748518267105,-0.07911127608651035
POMC,-0.07658479416093815,-0.01836696778813928,-0.0005701292744120106,,-0.023606266580552746,-0.004062875681955141,-0.0355864338717303,0.041783179239703955,0.00437627216856722,-0.056754218640267126,0.04242800305464714,-0.026167355533076562,0.016500019675669875,0.13555400268186651,-0.016970041400131534,0.11596647043572902,0.07566625213834889
CCL18,0.006906186267685951,-0.031549389240627036,,,,,,,,,,0.03475595953622409,0.06514373791274143,,-0.056696788810185576,,
CCL17,,,,,0.009143859484929743,,,,-0.016821128810854784,-0.024198987450001774,,0.05830178963450281,0.07485241334032543,-0.020581164705518285,,0.020786397084038195,
VEGFD,0.0649189536259764,0.08594206246054391,-0.01874924926340653,,0.0028829024533286707,0.027604363665916953,,0.0293813049321465,-0.028287921512195467,-0.02593480437355445,-0.05313443568783426,,0.1799037058339299,0.025338592078800848,,,
TNFSF13,,0.035017351280574545,,,-0.014034519369530754,,-0.016185194045331135,,,,,0.012961857828046488,-0.02348552814666732,0.0012135467818318879,-0.020469128733076335,0.018799837215562592,0.009016875796421546
WNT5A,0.04101233668896425,0.0451449699957081,-0.022152695714983756,0.030501132894983404,-0.01967736615309576,-0.09536154130722303,0.14336359596141507,0.17076930970972626,-0.026502291421625097,-0.012820679860440153,-0.05007633895320355,-0.005261459121188844,-0.024285126579629727,0.05429533745295423,0.017222298086479397,0.04100871618157334,0.06963217506591217
CXCL8,0.020956132105659532,0.027423128913453262,-0.027612329678473935,0.06586783637437174,0.045134902609882885,0.21470375725755755,0.04263018732234696,0.08095831281634633,0.1391813991831151,0.0958984330802986,0.06033139864582502,0.04575523905266699,-0.07943266057045802,-0.012443313944077982,-0.0007222989504621232,0.012771641091902897,0.12031024333403963
GRN,-0.0710156479598716,0.041173116279435346,-0.008333810079251887,-0.06025727378672633,0.0244329836288386,-0.027920803384545285,0.04627677182490765,0.13916143430189673,-0.056890172821100406,-0.0631495144703817,0.11674305273208906,0.056323705385726515,-0.012688952100259296,0.07973541719356643,-0.08288766386678212,0.0054793656487125255,0.022979908337974014
MIA,0.05130345905362714,0.015800889374234496,-0.026226003281339918,0.03169339701263822,-0.001365366785628878,0.020024054095709967,0.0970133369293864,0.044767247601632136,0.12225274568287506,0.025293058955550497,0.06408984529952853,0.007596254313853071,0.1592362431132742,0.04724245077224203,-0.06065865015175304,0.07170441306639162,-0.031939761189090504
