,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.026066250085682186,,,,,,,,,,,0.007339527258652674,,0.07646261860150816
BMP1,0.013308255250123763,0.14462779726627367,-0.003871816129913735,0.0010343174992054457,0.08031339824122714,0.11953405228250118,0.007361812444802338,0.02488422623369566,-0.012939988518042372,0.03293555213510474,0.13475648248123648,0.09066143396704417,0.09694012349069214,0.09947806035422277,0.030925222679458245,0.005054272937811773,0.13207042520869064,0.07212685304178058,0.10660567311525827
NDP,0.025115075428462728,0.08000740819490225,0.008542483386364607,-0.034784481375543116,0.01642708272578318,0.05725680501445625,-0.006667866929466579,0.06092158766281312,-0.02082648559653245,-0.0059201673633664615,0.04262380388491084,0.0654251197267519,-0.029111870405140582,0.015645068206190174,-0.014079139531731987,0.05770345105209198,0.1023952875357102,-0.008854867911552206,0.05621046788747575
TNFSF18,-0.01833303357212821,0.0054665671194451815,0.003930973217708973,,,0.07283513718630798,0.012821023134002765,,,,0.07413902471682245,,0.029855634689387626,,,,0.04162287456030823,,0.022332366978892463
IL36G,,,,,,,,,,-0.01631018824689685,,,,,,,,,
RTN4,0.044693318932255525,0.06738255100384631,-0.03689878161786084,0.011814349269134586,-0.022518865990419665,-0.22701027750913494,-0.03374165010768588,-0.0554271143750016,-0.024682622205691958,-0.04108498739692239,0.03680241476515855,-0.05800898171591494,0.10996902646525639,-0.10446954246816194,-0.07180669642220834,-0.025155606905288893,-0.18652932333101105,-0.02792467974603489,-0.0013538426107590877
HEBP1,0.05273446380335636,0.0047140564637515705,0.0016547232491568088,0.0010568930382664381,-0.04482767150960799,0.07396361233921672,0.008905789169123686,0.020144212492595126,0.01002148869344491,0.03833514785337546,0.05143680413616735,0.05990286263020856,0.0640507993770643,0.011812031107301165,0.007300266266506338,-0.017179903495062508,-0.06920462725763346,-0.012023080909875377,0.10398721616450654
WNT7B,-0.012330948442732284,-0.004014445691232288,-0.0270556926551908,-0.026976177074484485,0.04314575936970892,-0.02974509721862011,0.006481789223850283,0.026181771169347542,0.04895729335354762,-0.017926776492259076,-0.04350310246595914,-0.06795905130618826,,0.011350215051323892,0.005984259182544955,0.05483625951090622,-0.02559908040339875,-0.01883879040481156,0.06343200043019828
PTMA,0.03665503832074456,0.07673971134681247,0.03499235722860605,0.007156389857074902,0.011217137237127318,-0.06474693564485554,-0.025682813106947682,0.05382936406381181,0.0687425923191658,0.04313502964308711,0.12781279961045655,-0.03870752844363872,0.0442653610850922,-0.06529706723208913,-0.002881854277604426,0.03044062197151983,-0.21274848676083138,0.00416996350405937,0.06817320009881309
FASLG,-0.02944275009636384,,,,,,,,,,,,,,,,,,-0.030279922122604674
