,UKF243,UKF248,UKF266,UKF269,UKF275,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.01664927039877888,,,,,,,0.010370668287935831,0.052705688828158306,
BMP1,-0.06139951379864589,0.05152255400909199,0.08757296739895146,0.025189058187863368,0.017401575220693286,0.03466647442390668,-0.020362724774573935,-0.016153203006796405,0.013658664716714465,-0.03647951616686691,0.0443086927632308,0.2311756605773518,0.0704442611055762
NDP,-0.06870806012427315,-0.025053340455912967,0.06121184081973109,0.03440863156815693,0.021951565599043852,-0.0097619368555591,0.053392435266117255,-0.07496445463569099,0.0013700741829487072,-0.011993584655568008,0.08851521021441706,-0.05254812464773252,0.014947379445292197
TNFSF18,-0.010859093012263309,0.009867175509236522,-0.018038165879279148,-0.009172413259434272,-0.015129093701496845,,,0.0883983616073886,,,0.008774913792576316,0.026888886425938154,0.03799105802363988
RTN4,0.13164471821372908,-0.04598993074869968,-0.06305816181853689,-0.059697407626746794,0.08081750342412455,0.030400190003376112,-0.11618951170961198,0.0009970628290800138,0.018747077354022836,-0.04843030242860147,0.016299055450616416,-0.03642100382058144,0.021657189600135976
HEBP1,0.06056057422224057,0.04011229127260296,-0.0012266532197429832,0.01945668743888449,0.021631950256939907,0.07113730090952473,0.05017052001055528,-0.041903284886721646,0.018852528520705552,0.0694775747454909,-0.06602373747923582,0.06314129420710286,-0.01045949549461981
WNT7B,0.08059758567183943,-0.007411988927742286,0.011269506900778879,0.01207293562355108,-0.007801946327456706,0.09229172935142457,-0.052651730239322986,,-0.004790732493403758,0.019971730904710494,-0.03832355702259009,0.0845186007133615,-0.014401950081659561
PTMA,0.013597375053855307,-0.06694146067143596,0.13666814819695253,-0.05861046690669024,0.03492181957594207,0.014938829449841647,-0.06153552558957407,0.006213496354778273,-0.0629229415403789,0.007144811248004031,-0.07094398061160204,0.19540168371917135,0.05496425583796404
FASLG,,,,,,,,,,,,0.019491823585084358,
CEACAM1,,-0.029552604827398014,,0.014617502807674215,-0.02379446012737953,,-0.03964807320938175,0.11068206902572864,-0.030616464778227825,-0.017888120448678078,0.010953781532659596,0.0400638593008018,
