,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.021315142733815542,,,,,,,0.05282203004757724,,
BMP1,0.01626143702710734,0.03352406025049805,-0.0011496126287232622,0.05983582933689385,0.09945832397901462,0.05315276257771504,0.05574691313637478,0.13245026235068674,0.00607260860532023,0.011057357401701872,0.06034421887819198,0.01343943289411315,-0.024877769808834292,0.07726025203544867
NDP,0.03550006663195984,0.026275031450684175,-0.010621268330098367,0.008567754403687367,0.06336859254440842,0.0016280023657501775,0.0016040858841880976,0.133771018120959,0.05044568284083481,0.025565460466881983,0.11338635574040588,-0.0017319414356829152,-0.07420882477614854,-0.010776671361411657
TNFSF18,-0.011189592302356515,-0.029361835749340457,,-0.018168051469503194,0.016673853093842905,-0.021996927592409253,,,0.025471032608716606,,,-0.026848158192914393,,0.047752597976502435
IL36G,,,,,,,-0.024568492520558878,,,,,,,
RTN4,-0.057034275089235746,0.01221457269705593,-0.018431069013222636,-0.012472136789900869,-0.12754277068333994,-0.013602474719201873,-0.007115469270662635,0.12710588526878142,0.09986145065771627,-0.015148915380164066,-0.07996889700417523,-0.02431046873264286,0.03712030324909502,0.016280027313486097
HEBP1,-0.003471032937372601,0.02415097672842909,-0.0019183275467236898,0.054836805391364124,0.04503813898764399,0.07326651548538306,0.006433369498763776,0.055561171022617796,-0.01149330327977285,0.04244950732714064,0.0669272886057394,-0.04740884513045449,0.0015761921992169712,-0.0738924240955001
WNT7B,0.028988252611430405,0.03586367775349983,0.02126049378517714,0.012372715336261985,-0.02145496307337792,0.026694836610793752,-0.0017188109181858144,-0.07118788739812502,,-0.04770778414498803,0.01590773184673674,0.00043525581487895533,0.0016934868853585464,-0.0011072865269495557
PTMA,0.021491054561092116,0.008488877840438714,-0.03559018514496439,6.502154475535449e-06,-0.0731531679701883,0.012065305736127007,0.04252738808106447,0.04124770492293091,-0.04842387312777476,-0.08894863014340955,-0.04213151085635863,0.019359353761101424,-0.004632954346268036,0.009332322257549777
CEACAM1,-0.02263933841969314,-0.013997076246930995,0.04731491612724985,,0.0350706121257374,-0.034595926685988584,,-0.0536062643782621,0.02021233136793392,0.03671269414211175,-0.025207223925353725,0.0006838854560058607,-0.017779274446508744,
PDAP1,0.03284228525265955,-0.0018143114086911936,-0.008261641411915117,0.04929915575890694,0.08198947882766724,0.004899656732142211,-0.04483384853204201,0.06648185891086014,-0.013793634963979007,0.011566445491126214,0.04662993615734517,-0.004990017599791922,-0.005726222244545174,0.006447955713733285
QDPR,0.024877296442077892,-0.025927509017494306,0.0071432392982281505,-0.008067988751452287,-0.13075382977821304,0.03966712284216902,0.032131595085998305,0.054258438845450147,0.06632288852753991,-0.0010198522914516663,0.01952201570764417,-0.04989627337285063,0.012891256813524904,-0.005203834798028069
