,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.038218422797318234,,,,,,,,,,,0.08297151626572001,,0.04640443682217791,
BMP1,0.01221635492290209,0.1317328112830772,0.12447261908750881,0.029997145472338654,0.06484787042868971,-0.020686905731112915,0.07841906341288381,0.02798530264895219,0.43302385633819607,0.029591935040984115,0.07344790835729895,0.07716786062842802,0.14046287147649056,0.048317164807223416,0.0723239814550568,0.0775253316293854,0.05793059551413191,0.31767131728038817,0.20669758324675086,0.12439105256525503,0.13028031370540671,0.09248264881498021,0.22581645597303515
NDP,0.01891921078444252,0.07315171123368396,0.1160487476544516,0.05293520346826354,0.07710340846739995,0.09039474391055294,-0.022586510318262618,0.028074393184110966,0.10254505172706371,0.0468358493094074,0.013109529675580298,0.04330151191757327,0.042353747121080296,0.021402707520272377,0.06033225309740438,0.09943920719572985,0.05886400885490865,0.1485562083862606,0.035095914327083935,0.06574472219006201,-0.014911678945926987,0.20254661443037345,0.08155650876540482
TNFSF18,0.08181395292856093,-0.04465827997844393,0.019788907163180776,0.033498221914315854,,,,-0.01346331669087599,0.1808210801369212,-0.004266662614562875,,,,,0.08552145037926898,,,,,0.07044357425316813,,0.0401852335955321,0.08222690651670746
IL36G,,,,,,,,,,,,,,0.01718552630911497,,,,,,,,,
RTN4,0.0539646889623751,-0.06876454315120659,0.07108689099762684,-0.010493985571669607,0.044484591270734695,-0.07836521783226322,-0.0473699205005919,-0.08109912515961476,-0.43673369866144146,0.012165274841399659,-0.0436728343547388,-0.022523354276340515,0.0012384654638124119,-0.11530073090182948,-0.03179421190079704,-0.02930605530158787,-0.11631998509951112,-0.1788926328847916,0.0018718009888317266,-0.12261405021822012,-0.0526090815134623,-0.0016396691605495362,-0.22574376070007388
HEBP1,0.07216637433495113,0.12305883453784056,0.04141964149329619,-0.028984113148600752,0.00016086742539216244,-0.08510910874149641,-0.032054213854894056,0.047388251664204975,0.19083886354270235,0.04453155597332621,-0.008581550178297098,-0.008220173108558838,0.09827367120390695,-0.020689222489695527,0.04059064036833608,0.09014796804364361,0.02543956340521976,0.07496527155178843,0.01996952102179088,0.038979531465758395,-0.0549059505003805,0.14399632316024202,0.038962017201299
WNT7B,0.09969247976311112,-0.11021680494022748,0.005253098715814801,0.04298168819902646,-0.012861506124936629,0.020355842084803108,-0.04568798208763088,-0.0537934617568778,-0.18080404849193085,-0.024911514991974543,-0.03148033889458513,,0.081655021396119,0.07523957818014555,0.15895026334485088,0.05946335176113053,-0.0011380190905858295,0.03938983200098897,0.022835808030527503,-0.02845465208612333,0.0003585059831464306,0.024793646123122265,0.02817091108459626
PTMA,0.02635937305006241,-0.1307228083311183,-0.004631273669448557,0.026158080185031535,0.06995609229692228,-0.003061453072444495,0.02462630992447717,0.10132684095025622,-0.23456478449248078,-0.027569026991144167,0.04113785730388324,-0.028477270969661052,0.2402888490416952,0.03127902697229489,0.01218768839166801,-0.1475428866190197,-0.03779194344912372,-0.1670053847675486,-0.02717177347846484,-0.1233050589501644,-0.007428297731160416,-0.2038836961381747,0.08203485020874467
FASLG,-0.02255635673719016,,,,,,,,,,,,,,,,,,,,,0.06639230923055132,
