,UKF266,UKF269,UKF275,ZH916bulk,ZH916inf
IGFL3,,-0.011604200058672976,,,
BMP1,-0.011073551006537997,-0.04045947134792975,-0.015329542036043793,-0.0617344192885237,-0.07651441717908321
NDP,0.06340474169745461,-0.03976420809282718,0.011482991373690125,0.10375263018732993,-0.1091510057229547
TNFSF18,-0.021070454668171194,-0.01723188871949728,-0.010647509681371023,-0.022087906937891928,
RTN4,0.053720891595652416,0.10682890415077197,-0.001572850990772199,0.1828832173771888,-0.09949086766321126
HEBP1,-0.03130774385638622,-0.07004645154928056,-0.03639364068366634,-0.017620676528346906,-0.08386149244647383
WNT7B,-0.003906918648616791,0.1167292471651584,-0.030520095349847606,-0.007852787038572754,0.13574157248158758
PTMA,-0.054861178191031756,-0.012653323563689653,0.036262818321726294,-0.14211048393497164,-0.11034895030640976
CEACAM1,,-0.0044875058725141435,-0.016745996129576765,,
PDAP1,-0.023133062780855185,-0.09158484613923042,0.002346372710379154,-0.01018461867810274,-0.034997611261054655
QDPR,0.057340846881440276,0.020917242178195548,0.017740087420230977,0.12813093158984498,-0.028507331152174867
POMC,0.009383939190028468,-0.029230858466574042,-0.012354528249030876,-0.02025260243263824,-0.07009106430493166
CCL17,,,-0.013279517579130084,,
VEGFD,,-0.01944014785258681,-0.014148202783512946,,
TNFSF13,-0.02043394548332954,,,-0.012406777940683799,
WNT5A,-0.0542303119586687,-0.017685068157436156,-0.0030957401951719585,-0.0928335561069722,-0.051835978926119755
CXCL8,-0.029065962121586776,0.010065540816086689,-0.005781877395133632,-0.07895291423564695,0.025307188817493623
GRN,-0.07864943504900457,-0.028214464981409944,0.004047708235614629,0.03576740745674895,-0.10081187662598869
MIA,-0.006412295264775436,-0.03314846845806347,-0.026101067462027047,-0.05479163409830876,
COL4A4,-0.00048251389519132667,-0.011435077834133438,-0.013864227203243833,-0.043992465988620055,
TAC1,0.03258451906081705,0.11271186453981288,0.059812541299044494,0.09222192477256336,0.03376516156350846
RARRES2,0.001898595106072837,-0.0812030060784179,0.00021159186006115645,-0.06974244883364733,-0.05205617749549856
FGF7,-0.05572403109510352,0.022844809970718787,0.015336621506703021,0.11777698713764105,-0.004034559897955467
HBEGF,-0.008761483731801177,-0.07097905275649993,-0.009157432771801192,-0.15741344381141723,-0.05928308598796269
CSF3,,-0.012098092250596014,,-0.0006300483976843837,
PI3,,-0.013622611551705232,,0.03453529757572318,
PCSK1N,0.037880866342097745,0.028893489046683762,-0.0628010639523671,0.16879534181140832,0.0765049102115327
NTS,-0.023734260159343556,-0.014870010672010754,0.05535391135155254,,
SFRP1,-0.060930126829234064,-0.011029648814817331,0.0837316042021071,-0.03831480012561598,-0.00290985072945061
CXCL13,,,,-0.03753534402675949,
MICA,0.013140722113017532,-0.060262660268441626,0.07100717848369853,-0.02796120523893764,0.07031233925987258
TG,0.08351765582616778,-0.014601314954649888,-0.013378611417638507,0.03551066753590713,
ADA,-0.03311010591339775,-0.07504725565160948,-0.006227010572868068,0.027168592000221255,0.1412693852375782
LAMC3,-0.037006969933422076,0.016858536165944422,-0.01566465244178901,-0.01908791951568347,-0.06409848215369812
CCL7,,,,-0.027581306172584242,
NGF,-0.011762628444356155,,,0.0017899628831768214,
TNFSF15,-0.03174302206140671,,,-0.04124315486948693,
HMGB1,-0.01925908750982709,-0.014049730658378843,-0.005433507028534851,0.046744431041271656,-0.09850933895707006
ITGB3BP,0.006964760544604463,-0.013045101897969117,0.009213409153980105,-0.11880449981817012,-0.09984685747160991
AANAT,,0.059005739340793256,-0.012031463432730795,-0.02825548290755287,
RELN,0.042685770419184456,-0.032021598589547756,-0.015948131386872916,0.019357753698729767,-0.05963901260832682
IL15,0.04531012092737402,-0.02846504655568766,-0.015223625297762975,-0.027052512806180557,
UTS2,,-0.03599746714913935,,,
BSG,-0.03604746748059924,-0.02847684239300338,-0.05368231647446267,-0.07928153750415959,0.05187858598045165
ADAMTS3,0.004919012991720817,-0.06426096609467057,-0.03559568128029015,-0.002866095123474911,
CD34,0.019464175247320328,-0.07754880231640622,0.036739978311856956,0.03101751123355668,0.10695265817343917
CCL23,,-0.012417041625473801,,,
PLAT,-0.048376391655239936,-0.04901338083701984,-0.08291092338057428,-0.00819710665608638,0.015766561986376253
LTA,,,-0.011587553160305459,,
CKLF,0.00991674154235428,-0.06572772028812349,-0.025243211832201257,-0.034722317528498345,-0.06213592553176401
CD24,0.0075998511707306106,0.05192718074363237,0.03525735517742923,0.08997671886289545,0.08654403804177846
HSP90AA1,0.08567546777903264,0.058150230091782294,0.021878110267388933,0.09449957590328413,0.06116032693439835
BMP4,-0.04650818397017696,0.09577577382870957,0.043335911256573795,-0.03827496024110715,
SCGB3A1,-0.028832765356920375,,,-0.0478236455689927,
IGFBP4,-0.08216247506798134,-0.0868636084243464,-0.05787120443161861,-0.006221408088227513,0.05271025693596319
RSPO4,,,-0.013477029757715937,-0.03562904472123589,
LEFTY2,-0.041462715868974404,-0.06866818037745025,-0.03318921640892202,-0.0638266937980452,
PF4,,,,-0.027910246788557143,
ANGPTL2,-0.04470315279186107,-0.030707854208042232,0.029035040147727318,-0.04370170970831508,-0.13208704255801418
LRIG2,-0.04153263571426905,0.002075976890645933,-0.012684224544652904,-0.09016824712994044,-0.09461331024727289
ICOSLG,-0.027730048507433946,-0.04958978644841571,-0.0145957537130298,-0.026541347570566483,-0.04236915663361209
WIF1,0.05651367259937392,0.06614697744666068,-0.01039990465138052,0.0013250328746592314,0.02333900660975937
NPPC,0.06422602221311233,0.027031491659791466,-0.02028690954289496,-0.015722054067393982,0.027409790894397157
LYZ,-0.03456002893327217,-0.057601501058462456,-0.02299331739052051,0.010685341394628362,0.0553068004751558
EREG,,,,0.03162877390434831,
SPTAN1,-0.0011844360674673016,0.029865931168955046,0.026363270428507477,0.12015336194740646,0.09320385036397245
LIPC,-0.01299235472268623,0.07794124385443538,-0.02519667960178463,-0.03189540521754743,
COL8A1,-0.0660410794305135,-0.0382722264788055,0.01636569651483849,0.004424405283461403,
GSTM2,-0.019100389894976286,-0.0047287654385535765,0.027988300404879166,-0.02329714095222603,
SPX,0.03751744660961959,0.04428593804212604,-0.005213473937539554,0.055749292991189685,-0.10750504414406922
MFGE8,-0.00784115337215226,-0.024869469016030692,-0.04970292491207503,-0.129633926125164,-0.03761945308816405
TGFA,-0.08560603808181587,0.04056349101542257,-0.03777751440860087,0.000991084350024631,-0.06841303985686666
SLIT2,-0.019466195807750813,-0.03626158466794691,0.03048397535159951,-0.03406918665373844,-0.037432870754929626
PLTP,-0.06460881041522251,-0.09739648496350109,0.03475223835306255,0.0077998238623893995,-0.040366827737374975
APOD,-0.04888177500518651,-0.045038872845066545,0.0355737437818408,0.05656558650455944,-0.1425251891363004
B2M,-0.08795960775762718,-0.11369668110753599,-0.04226490619916534,-0.00042921972809987336,-0.1748165773878046
OMG,0.0284297417478339,0.06674723187016346,0.06553225967962835,0.14683128882493696,-0.17612829773660804
CXCL3,,-0.014327993415505258,-0.04438190164704376,-0.0712412043483284,
CXCL10,0.04390202657919179,-0.07343120758632524,-0.019043156087544644,-0.02221256105626456,
RSPO3,0.07554415530330523,0.06608413760340065,0.008001800719114657,0.06964924842116889,0.06132074196446836
CORT,-0.05196592002517027,0.03503305317548305,0.007206889205213406,,-0.00833727895927504
NCAN,-0.04037051751482733,-0.042144925008067054,0.02581922632432448,0.11879957952955063,0.04892247234624796
PRG4,,-0.015523075011700076,0.01572271184811927,-0.038847261114017,
ZG16B,,-0.01675965402157164,-0.009207362886350112,-0.001497389493194301,
TGM2,-0.047866094369664096,-0.080322951455462,0.03613204830466293,-0.034017226805471264,0.03393913653352788
VEGFC,-0.0463037194163617,-0.020466199774498133,-0.013404966067528721,-0.07726913465762673,
WNT6,0.008239461164706058,-0.015264911615290347,-0.020490657698756486,-0.024603186585011316,
NRG4,-0.0015845095839380219,-0.019334974683965417,0.04606473550214898,0.0887543621292869,
PMCH,,,0.007203479995290495,0.019700394523637848,
COL9A1,-0.03949404780831306,0.006427875909454615,0.0197217766486177,-0.03362523669306112,-0.01740691294410755
GDF11,-0.03313376022127354,-0.09143003738607924,-0.022650718232004183,-0.05473688566657074,-0.030062845485784962
IL24,,,,-0.04136411960816003,
SORBS1,-0.002726473077283094,-0.03688839809796686,-0.015445230515024697,0.08113124056275618,0.003979286751924646
DLL1,0.008638953182038752,-0.028925993593249485,0.0016588313931149156,-0.013775132604142811,0.015185521304451116
