,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02192637974126091,,,,,,,,,,,,0.08127137325199355,
BMP1,-0.004987819793147073,0.02355951629631637,0.0017853609231983129,-0.0013709652629159753,0.021683012641416647,0.05526198028707116,0.08379164584155127,-0.03493245129489652,-0.011272511494958493,0.060018762026511845,0.07555273729074674,-0.005768986007492072,0.037201710419096694,0.03684629501570581,0.07456041427276441,0.014887197117439245,-0.025940649071666273,0.03269892649803924,0.006583925847087212,0.03442059999201165
NDP,0.01961800755981044,0.018443573754100256,-0.008018234082058656,-0.018158026555262972,-0.045039492950585805,-0.0008733782003063897,0.03785188444745086,0.03070129723830542,0.04681941464618679,0.06521845055549598,0.08421383612043756,0.01974234060490193,-0.049276586017286066,0.016367885989874802,0.03039729259116853,0.08568346239979885,0.05532451794599713,-0.07526679127525485,0.07546960987922206,-0.010164188361705613
TNFSF18,-0.023357423476288105,0.028774113675638095,0.03710134652010521,,,-0.01568268412445601,0.0045485559192636376,0.05567912827089184,,,,,,0.052838984845753625,,,,,0.06504857435325409,0.05340807719098792
IL36G,,,,,,,,,,,,-0.019846037004591466,,,,,,,,
RTN4,0.0008455417217296936,0.04545404215836172,0.0005311892713590646,-0.005053565559010645,-0.004974159287835261,-0.02729631434369241,-0.10912290639268776,0.0430398150825783,-0.02400189317355081,0.023585250151069583,-0.005370722143278631,-0.008594245495629715,-0.009004104693195595,-0.01153510725562605,-0.03039418697049634,-0.02756073398502896,-0.02798531222178461,-0.0021295618300978003,-0.024439665119237196,-0.0714475945391204
HEBP1,0.03920377676694083,0.023051647305131494,-0.0032623243300743208,0.02356190143812269,-0.008339208443182956,-0.0018892051493493295,0.07691233267816092,8.911614026581458e-05,0.05220738299108795,-0.04427261562651138,0.00850194951363313,-0.022081724504179404,0.010722764294097213,0.009063539332833428,0.023512975703874252,0.03844422131527279,0.038817508661690876,0.0393534740811577,0.06625216403804673,0.023027274789463266
WNT7B,0.009938648462700964,0.049278232066409126,-0.018434579257370857,0.0251350913484124,0.007387935401558219,-0.007090695352351446,-0.04217199929116418,-0.029215119554062984,-0.01700092903295617,,-0.001197653424828876,0.054585065962044516,-0.017534045035189533,,0.06202455429211973,0.03120718104697959,0.03522403734009274,-0.026558533317260914,-0.010263353365770578,0.018321474820736407
PTMA,-0.056667134813664796,0.0456081091780428,0.006870532730353816,-0.00027656744856070477,-0.0007324090265413872,0.07118527769851056,-0.07021976377257035,0.04712182770486313,-0.015677275393870073,-0.0008208591867419734,0.09262010012549338,0.02577428123757025,-0.015485103729618276,-0.0031083430665211327,-0.0916874360825089,-0.04991224855024833,-0.08423351760837618,-0.02796664980819459,-0.0768865748570483,0.044312360825699615
FASLG,,,,,,,,,,,,,,,,,,,-0.025987021375781492,
CEACAM1,,-0.03252677470712649,-0.014147430814750426,-0.047526486589129696,-0.027172927921158767,,0.05705195455007397,-0.024138506319785324,,,,,0.05170731601495055,-0.029689499029322393,0.10024623776392104,-0.028079476898642982,-0.016893073170700663,-0.01762728482201895,0.14960159548761695,
PDAP1,-0.022100415236384393,0.03697285650923083,0.03518680493322596,0.013142874986250604,-0.05736100044430142,0.014431797302561528,0.10414490390558803,0.023626317674702767,0.006061827538872444,-0.011227760402572496,0.08900056457278109,-0.014837834549549548,-0.038352075695958936,0.0335430636812857,0.019416305710242634,0.019331234727430032,0.010260011693343292,0.015347849778329342,-0.010735731227316381,0.012292060240022681
