,UKF269,UKF313,ZH916bulk
TGFA,-0.04913270425977353,-0.02197309757753284,-0.014067174995242238
SLIT2,-0.037594698983545394,0.024074745787735656,0.03852812802581635
PLTP,-0.009011122439530003,0.029610421804499236,0.023621948370986724
APOD,-0.042816727378885845,-0.020090754323664695,0.04422112265181638
B2M,0.012635948420937446,0.09178319252291689,0.0004423556394753409
OMG,0.05792723677483643,-0.03085202248830064,-0.04403621006594523
CXCL3,-0.014854745164247634,0.020382232553175977,0.02120710023921822
CXCL10,0.007198418083973276,-0.02251638497948043,0.048468169515835276
RSPO3,-0.01857819292375229,,0.015563099440853352
CORT,-0.03215372518950759,,
NCAN,-0.038190438250961384,,-0.025824955345999538
PRG4,0.10673339726461907,,0.052393527444893145
ZG16B,-0.017375802899377974,-0.054958226772421584,-0.01599658072712903
TGM2,0.013931311182707316,0.046450616034186175,0.06468257399023335
VEGFC,-0.003187768372951748,0.0096147214175176,-0.004754498134511065
WNT6,-0.015826108054636183,-0.03510672865972429,0.013314222334636047
NRG4,-0.020045802183065665,,-0.024857482645028777
PMCH,,,-0.03183358395013806
COL9A1,0.026674170938171954,,0.08098221204353485
GDF11,-0.01706647655103317,0.08659160517957014,-0.027239492545440405
IL24,,0.040310259662627405,-0.027789838670519155
SORBS1,-0.05959964528759658,-0.018918773792601998,-0.046961540990480034
DLL1,0.007550595552437966,0.06469767620269257,0.10386087407026265
TLN1,-0.05562345525367811,-0.0063990522541107,0.10732948316293645
COL2A1,-0.01485475021948205,,-0.022395257650612104
SHH,0.02061069796423629,,0.012793350797086846
PON2,-0.011446666850493963,0.08980019833697597,0.03680151813835936
ICAM5,-0.029027633577723894,0.0059593601986068796,0.012766762772756608
HPX,-0.021631611137471744,-0.009846265961621215,0.04312241826098556
SFRP2,-0.01185547146863195,-0.03420287433059727,-0.015842243098690954
CFC1,,,-0.02199496100157993
CD70,,0.02172425512417213,-0.03207955965579335
HP,0.01149792474456096,,0.012647172963206218
CXCL2,0.007940082696526702,0.10401561365358301,0.05894691977029078
CCK,0.03288940868417611,,-0.031693068166870265
SEMA6A,-0.03131843968206642,-0.02192790529122707,0.08553333054767755
IRAK4,0.01631135701200842,0.07669309428602347,-0.024780947719420018
GSTP1,-0.019077438565466728,-0.0630512621825026,0.015866312717257768
VCAM1,0.004993454792687876,-0.013228105331235819,0.010223682034606451
NXPH3,-0.020148158091318414,-0.008327335072519976,0.09830066531364973
MTMR4,0.020906054221797508,0.03633204104302635,-0.03559137581499123
LAMC2,,0.046818556750782836,-0.023936831225434895
IL10,-0.019492748994401104,0.028262892888183632,0.07131158352623902
SEMA4D,-0.04217024020263105,0.047959638958647036,0.016171492546590102
TRH,-0.030774820906824412,,-0.008216945607712873
SEMA6D,-0.035002266298069296,-0.027641899089459823,-0.00894999462451919
CEL,,,-0.025573238475752377
PDCD1LG2,0.026750679352492285,0.003833568586508208,-0.006612474900071619
SPINT1,0.02322115745642219,0.05155473469617188,0.026746134294745788
CTHRC1,0.07817735907668205,0.005021487348344365,0.08847260029156513
PODXL,0.025377344950416582,0.07424972484230977,-0.001176184672743693
JAM3,-0.03472936682674132,0.05268424519102551,0.05905066741679725
TGFB2,-0.0016397403729773376,0.09577477901220621,0.03650628701540539
COL18A1,0.002407479869000261,0.10013546569436424,0.08462439571145232
NODAL,0.05477942860577394,,-0.029879001029493278
INHBB,-0.04588037791963689,0.08638013217296966,0.03196634464855742
LCN1,-0.013035904968951581,,-0.01678964486302311
ARF4,0.037698358218921514,0.11022781886208452,0.021462094436786868
CXCL14,-0.023850814133320828,-0.022960629026456333,0.012782719195376229
LIF,0.040851847889737745,0.11604175236230421,0.03884395195636299
IL17B,-0.0026766508549068676,0.017727267203835006,0.17278836105089976
MMP1,,-0.10321411524686648,-0.017414527735227812
MATN1,-0.013667260114201342,-0.023682143222270895,-0.01729940009052466
ADAM28,-0.026053039040492103,0.056994305939570625,0.003387947505053249
TCN2,0.027931613829332305,-0.0021747727481925025,0.009613880776886886
THPO,0.07539446059571434,,0.049415436460253474
CUBN,0.03614986488480111,0.03776985722644252,-0.01598617146300531
TIMP3,0.004070066098670443,-0.033134500196978105,0.10851358158507884
PIGF,0.0421448891065517,0.10795075577758828,-0.019353167538725978
CRH,-0.020045793871574163,,-0.03788841669764711
BDNF,0.022916864243047647,-0.005279092200850123,0.043559147971706375
CCL5,0.014561007401950581,0.012341974613192488,0.00034565584281207436
GAD1,0.01470437397222793,-0.0006692297206944156,0.023869419980191982
COL14A1,0.027599950040356216,0.006486302166033392,0.09276228091572229
HLA-A,0.0015089558529575167,-0.06879244044179716,0.010512739862766731
FGF18,,-0.035984895306529305,-0.0023928264513046345
ADM,0.0378825788378107,-0.06417803396509658,-0.008842679838600102
GNAI2,-0.0001388003138970501,-0.011373531745487936,-0.04223628256359638
HDC,0.02045354340342409,,-0.017299392255790087
COL11A1,0.0791695034464703,-0.09234193978356073,0.0383074622209181
NUCB2,0.060888368668385526,0.00822012563068633,-0.0013205206488044621
FGF16,,,-0.01704630216114404
CXCL1,-0.0333463427911875,0.06328773938742452,0.07902658848722838
VCAN,-0.0013947772026787527,0.141860086761746,0.05912851480538902
MMP7,-0.009515135563708303,-0.013157316710650893,0.0026923615799708403
PTPN6,0.042541424630155845,0.03269510192284562,0.06287302608546828
PTGS2,0.03220853383328655,-0.04713820705342583,0.03244412189118213
XCL1,,0.03498643607991952,-0.030787403130396396
CD58,0.00046899789413364773,0.06946094342349365,0.039028295392177365
TNFSF14,-0.01982618330451991,,0.05155288302591747
CNTN4,0.03717781730436096,,0.049955431469947735
MFNG,0.025592345891133222,0.042065909004692634,0.06275462216156678
ICAM1,0.035010600150818735,0.0033188167830041915,0.045235314919576386
PROS1,0.04571843519858535,0.11002060845072786,0.05379888920496124
CLCF1,-0.002246427792467745,-0.032701270536879046,0.049412248032064746
PSAP,-0.05555337835122157,0.029457822777615817,0.0056859301725003305
EFEMP1,-0.002667958535634992,-0.014882154277775613,0.05442038249145559
C1QTNF1,0.020346353252868172,-0.03535854928377719,0.04946415600454837
ALB,-0.0159604427583728,-0.007589176723418341,0.015923222397020598
CCL13,,0.01829983007545065,
EFNA3,0.024653988118739503,-0.01831419228891169,0.08845063100331044
DRAXIN,-0.011708881186397933,0.010063648228287795,-0.0017029256972193475
NPTX2,-0.013550809138400805,0.07229333154098291,0.030623157703342344
FGF11,0.05038213483376452,-0.05153062803528082,0.012428655579620739
CD59,-0.008627966122785921,-0.014667891364039697,-0.0011795372451033296
COL9A2,-0.07004168082522025,0.02434540423523475,0.10773778899474497
DLL3,0.01178995697716496,0.01905978317858688,-0.04446745808468603
FGF5,-0.012709210719915163,-0.02165010913151505,0.03834339224700527
LIN7C,-0.018952689136224353,0.020642716863087697,-0.030851866366600294
GDF7,-0.02273470108463701,,-0.02644442720628536
PSPN,-0.016847907789037754,0.025115280576513858,0.009559453237832449
ANGPT1,-0.006384386586379237,0.07001412732232669,-0.009650977220814788
PNOC,-0.013905616989754782,0.0042043382438869,0.07593198164078291
L1CAM,0.07511740677061636,0.0450467898194076,-0.028251877799706757
APOA1,-0.027199633179975587,0.037710358029763295,0.001506023364494942
PSEN1,-0.014064824305219978,-0.002349301020430418,0.03846448631221597
CALM2,0.02796391705422082,0.04967883986183777,-0.03978938585402554
CLEC2B,0.013680907037747091,0.09434023428705589,-0.008803169767277214
NTNG1,-0.05074474468687983,-0.012810554691140053,0.017400796239980813
LRIG1,-0.046278433989048476,0.0008717753625992245,0.00038082583245224613
CPAMD8,0.021126154024328343,,0.03332118052968439
GHRL,-0.007932874725678515,,-0.016529272909918496
NPY,0.017130824522441822,,-0.04287998733242795
MMP2,-0.028785787724340487,-0.05706814580307618,0.04800066227770371
PPY,,-0.03034465827903537,0.026292365346738136
ALKAL2,-0.013035902856206621,0.05617716217102376,0.027079678937531586
CSF1,-0.003624446751275517,0.09181844698112863,0.06107777301526796
SEMA4C,0.03908081673686553,0.03830641735010654,0.09615779774574319
ICAM2,0.038295709159638765,0.04823636694883486,-0.010602303594714082
SYTL3,0.009120620652667917,-0.004203534405915609,-0.005168944265815259
IL1A,-0.019562061470774897,,0.03814422261772027
PGF,0.028374693323868848,0.07358715111892743,0.06321128144866335
LGALS8,-0.020971351009392618,0.013874292231569623,-0.024520251387914405
DKK3,0.0003160525059639901,-0.0069139911632251925,-0.014062684727077203
COL16A1,-0.012305258259773232,0.08240506118144543,0.0626105154233189
TPH1,-0.01366725998518816,,0.01583648906063705
TNC,0.006624152790470194,-0.12977509171888132,0.04494423312871116
TNFSF9,-0.03085253779245097,0.017136187026640604,0.19182750264895768
C4A,,0.017568861863709352,
CNTN2,-0.05403783683762109,0.05695014880293867,-0.033975549615972565
F7,-0.011497184775705598,-0.021424536912648017,0.06342395759542538
LUM,0.06549914595488857,-0.0609644784166829,0.046664215605316986
BTC,,,0.12324673573945506
APOC1,0.0035190982762930124,0.08214293683280702,-0.04817987088950552
PKM,-0.0069327492922577425,-0.11972794336458702,0.020306420215637454
TNF,-0.016873545272860006,0.032649258137211715,0.03688125227705146
GNAS,0.01830831459516378,-0.04719376660446602,-0.013643644442485598
BMP8B,0.021440499235392443,0.006103725707153554,0.031202589621430316
LIPH,,,0.07709776559583967
CCL28,,,0.0816521071170106
PTPN11,0.01454905876531388,0.031724103003373944,-0.048791940353486114
ADAM12,0.012792286286355547,0.13704058772849553,-0.007524960303166576
EPO,,-0.02982904675640311,
EDN3,0.017105273843951743,,0.00701474259589491
CCL2,0.027963709921328354,3.1540211840591635e-06,0.009347789502818579
DSCAM,0.03533036976220613,-0.043885231543662126,-0.0010606700968693698
ANG,0.0032844918720105177,-0.056449470752913004,0.00437972709042493
FBLN2,0.0487895762635765,0.11925833656204005,0.1257623383786245
VTN,-0.019380502543302827,,0.14608895071441066
VEGFA,0.048412283230118744,-0.1171205519116092,0.005914730108338143
F10,-0.01869466762969171,0.0073486208932646195,0.06318562507376793
SERPINA1,-0.009025701635011946,0.03218518474633352,0.0017744581125500693
VWF,0.02662726152299682,0.06615511781781243,0.030281656408012215
GDNF,,-0.005958093075028301,
VASP,0.012304454889564513,0.014498318457887936,0.07148066237368456
ADAM15,0.023639215555129618,0.06120460134197478,0.03486933892709657
WNT2,-0.029511516896783024,,-4.412809778570702e-05
CALCB,-0.012709210581800034,,0.04320591536497044
OLFM2,0.04571304921064441,0.07774852831254647,-0.010140880725820946
MFAP2,0.03813156535938381,0.09371776714960099,0.07554203795651987
HLA-C,0.03657037025508961,0.045209823345695066,0.04346042887815416
THBS1,0.0616556653919305,-0.01841494280180363,0.06193705997436909
HSPA4,-0.047957221921995294,0.01318608433936597,-0.007724656488121659
LMAN1,-0.02212257350875007,0.005489437889830145,0.06415188295243926
LYPD3,-0.019715589126220078,0.06345772510993565,0.012600679060141482
APOE,-0.05124951776453468,0.031462944494338195,-0.0041302181222271795
SOSTDC1,-0.013471336802417046,,-0.022307198001370272
ANXA1,-0.014773331060635077,-0.1009501773414477,0.027978578704217178
WNT2B,0.028627869626307135,-0.028849982760780768,0.02031283310873775
AMH,-0.026074363749649925,0.09356989290057412,0.05734863297632516
GDF10,-0.020478925452407565,,-0.02908287039032615
EFNB3,0.050401877981655144,0.05135073977946649,0.05809858726595399
LTB,-0.020798684267526176,0.0519864214130707,0.07450798376497757
ANGPT2,0.042878494160798156,0.08978711739713845,0.03521626715260402
ADAM17,-0.004510285122573659,0.002765844470919261,0.0055870194677088425
LRPAP1,-0.05129189153485657,0.002223038213828455,-0.02848088801041432
NID1,0.04639866865301635,0.07334034652017152,0.029201662317378155
MST1,-0.011697153726322261,-0.06384645468957659,-0.021747268563214284
CCL14,,0.09971395769968922,
IL13,-0.012873537169802373,,
DCN,0.0525744757910765,-0.04773892267991892,0.08377470565295271
COL7A1,0.0566474463881409,0.041250353846709074,0.05393601025401721
CALR,-0.024310341341444077,-0.007252697131227319,0.046178846665550055
PIGA,0.0448756338981172,0.002666019949375329,0.05672318529381512
CD200,0.05647477934650766,0.034484185905327105,0.00263904146789038
GRP,,,-0.02695559486869058
CDH1,-0.01599254053631879,,0.00042247861566279055
LPL,-0.013960992134786873,0.04498893021942391,-0.010636127699439682
SEMA5A,0.006926280035392102,0.0956170889250129,-0.02011320927165422
SEMA7A,0.03294830375373633,-0.04543488779076561,0.03735002316617051
SEMA4G,0.02815104061402571,0.022162309211380998,-0.012889796058343025
SEMA3B,0.015455256661831857,-0.07766070097139391,0.044813765252494565
RPH3A,0.0245684911794014,,0.027582188181456302
JAG2,-0.011719161914085768,0.11021778429201774,-0.015553317628623473
CGN,-0.00017676944149590674,,0.11594408504339711
GDF15,0.029003489396024765,-0.009590094139793387,0.011637458568223565
SEMA4F,0.03501950425876433,0.04842513469680791,0.09086614058050416
