,UKF255,UKF260,UKF266,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,,,,-0.019505715398833088,,,
BMP1,0.02773703230711592,0.03064924800552875,0.01664146744446988,0.03617298844597636,-0.11733389542918696,0.00023090797557852666,0.03829544417838607,-0.016639832606088527,0.07472328928675664,-0.031329923252458654
NDP,0.05690241641502482,0.002489696732690384,0.03866595204233457,0.042708217960650656,0.04655972249566761,0.10850527569830141,-0.032184510022335557,0.04473209525782283,-0.010372057971051809,0.1342282412007528
TNFSF18,,,0.04200738267817775,,,,-0.020115899994720972,,-0.014536164363568976,
RTN4,-0.0014323238605159804,0.034715633134189655,0.03902247751398606,0.03245227641622223,0.010027723649428515,0.012932997103591698,-0.00774455534626207,0.08841942079980704,-0.02211155708997422,-0.009776490497857455
HEBP1,-0.027430142460672352,0.02909263907145767,-0.02789883744279015,-0.05857438052232468,0.0942455421646987,0.04551634824999061,-0.02200310909444515,-0.00287011034757957,-0.059714377004927655,-0.08366756023981743
WNT7B,-0.016139375447924282,0.032948372735793756,0.019244114773577247,-0.013333401308672126,0.006119949458554795,0.03921352396014626,-0.01793979650747106,-0.019800232284652237,0.06029404519891741,0.001730930060076953
PTMA,0.13446891538437686,0.006157485827712365,-0.00022012680576844457,-0.04595385655024447,0.0017690273249787037,0.00713628198925048,0.05569556557404851,-0.06463917985263362,-0.009840428702866407,-0.09579199662242152
CEACAM1,,0.009329189931428372,,,0.04601054972948818,0.047487472045505706,-0.028904448164029452,-0.021128839105005574,,
PDAP1,0.06390507156842287,-0.032774169147875905,-0.007588399589853507,-0.01412236375730699,-0.01608717679331184,-0.04476268850338463,-0.012872709532521094,-0.047791920829954856,-0.013901945858572276,-0.0060264015656994255
QDPR,0.06850125741151021,0.0322178281148292,0.013691500126221931,-0.07545493291017788,0.09700475451348155,0.08390721749125014,-0.05878446580226418,-0.029621394504045318,0.049066825599109645,0.06725587320940861
POMC,,0.03873761086675652,0.010046277442486007,-0.0268584005675087,0.06455687019229976,-0.018819265436302406,0.008953261559928639,-0.012399727775250636,,-0.009373089662049108
CCL18,,,,,-0.05063387520425162,-0.06754247728218409,,-0.030816198614638787,,
CCL17,,,,-0.016503013094973932,-0.03251175524773222,-0.043427902991892996,0.056033147123372075,,,
VEGFD,,-0.004626275305727994,,-0.012105159683123479,,-0.0007884452510930406,-0.027123665167023945,,,
TNFSF13,,,0.1125468763173237,,0.03158418624863877,0.011541576196025142,-0.027578327210233934,-0.0075979203123494815,,
WNT5A,0.04512606950148078,0.07108601433211596,0.0030605182341648446,0.009978785638835225,-0.01173452213806136,0.04458375565401295,0.030789702948090573,-0.013309723752879785,0.020661854608453198,-0.02803015524216644
