,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.028288005602023568,,,,,,,,,-0.00655050579782248,,,-0.025949299605277466,,
BMP1,0.038808654041217874,-0.0038007776860840238,0.008956862249752551,-0.029485305349314084,-0.01728793030582381,-0.006448603288636433,0.04090443715654748,0.010026778623040388,-0.18592290221206037,0.00203455756714689,-0.04991609630631188,-0.0905327901452997,0.1709497888644041,-0.08423889857061319,-0.033764205839431446,-0.04662530653617182,-0.06955633654534313,-0.01899725680918189,-0.04274947598911162,-0.05107109776141064,0.03165204345708689,0.0701709589475949,0.03641564422196122
NDP,0.019022353816253876,-0.08850717362085626,-0.003344474414990552,-0.002916063262716428,0.059348182237111406,0.031112098297425145,0.1175095822133753,-0.021502311262054232,0.044063452659832476,0.017456950842162745,-0.02798644863579153,0.030569051579749165,-0.019068829902868956,0.03144724705825711,-0.05642235301566984,0.06817511289030076,0.06984953278625514,-0.03676753069001337,-0.04418609601627391,-0.03915760860448499,0.032947624665366756,0.05720676036109807,-0.07866498651912121
TNFSF18,0.26470745575136306,-0.03421189355970331,-0.02752275569271427,0.014017923886020365,,,,-0.027967770357444428,-0.04200683908980537,0.00041240131936480013,,,,,,,,-0.021523954994967773,,0.04908397833992102,0.07829589574803482,0.03418681442632593,
IL36G,,,,,,,,,,,,,,-0.02017242746683928,,,,,,,,,
RTN4,0.07592878342315143,0.31179432104448984,-0.049603383359434226,-0.005516067442310636,-0.01126710575241328,0.024597946443209395,0.04574194459403791,0.01798495711218312,0.26748485515962495,0.07390534823714696,0.08184096392426993,0.07192853958892716,-0.00284752907230935,0.06225208716656102,-0.027551644425735464,-0.006194013247429443,-0.030135885657405846,0.05504595378989316,0.043578862174840416,0.08824760920136292,-0.07490136278078234,0.13441953728793268,-0.02575079362736369
HEBP1,0.054986537838161736,-0.07394051947255864,0.027870947357627934,-0.06910165758852108,0.03668670709700521,0.047364514771581476,-0.022183275578538716,-0.0387804420926359,-0.1144035049324984,0.027203629451310996,-0.030228969521314795,-0.04719325397256524,0.06970403251959593,0.001294148413677959,-0.0024107454926163016,-0.027941020463805838,0.07655590016559737,0.02135482861478192,-0.0027266532203898903,0.012923648552921394,0.01641183425653153,-0.011818997380658423,-0.044180747310546845
WNT7B,0.11609265031764861,0.28487655675164236,-0.023178535156469674,0.015519269583923898,0.07663368406949306,-0.03114023025764512,0.06977214416593067,0.0470445429118003,0.2191355596244851,-0.012807046201276538,0.05345784417826677,,0.14297712898210096,0.00734162671629718,-0.03772052179209848,-0.010335228761099127,0.1083231333158131,0.037439476580503256,0.032172647322464054,-0.032940897748398604,0.04967187092606328,0.011590988089848911,0.024964608723813973
PTMA,0.12640263065172264,0.04131791411780226,-0.005935400467944835,0.005241110994412582,0.050900041384430904,-0.020796243454357783,-0.0760669055742781,0.020501965748139523,0.08743217504856636,0.004392460852604834,-0.053602273928548376,-0.1272998602587369,0.10018912233146574,-0.1433557470575729,0.02893108660131171,0.08635408989043368,0.08173958321182359,0.05538021417045131,-0.0008055570257035695,-0.05959257811266101,0.03740229007063826,-0.0694901155501146,-0.07524746340506044
FASLG,0.0906211732469032,,,,,,,,,,,,,,,,,,,,-0.022505818694925663,,
CEACAM1,0.052456036921764516,,-0.03092506992857882,-0.014589753234715903,,-0.03595803818069768,-0.016649655021108534,,-0.0552786077115253,0.04123687527629529,,,,,-0.03382836812588688,0.004609578559686945,0.0071736177307611376,-0.03150406144924994,0.05722094892996172,,0.10401676796176977,,
PDAP1,-0.009408592063294068,-0.13274509901202503,-0.001909781412243107,-0.03709388691382274,-0.03239909393910152,-0.018852882996144047,-0.04359247179606746,0.029542266034890807,-0.1683849815930348,-0.01305759740403248,-0.00894252225178079,0.024533332845200886,0.08250096186155026,-0.020671327849883573,-0.08351467697282924,-0.022480640124627315,0.0077788127888632356,0.07777479690734522,-0.018176790094698737,-0.11070426016823517,0.03501896842227063,-0.06178026391313797,0.020450576724327894
