,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CEACAM1,,-0.007549486919940418,-0.014877782406039413,,0.005408999373998156,-0.024203908831327055,,0.13899662283243955,-0.019464231632322613,,,,-0.020372270544887234,-0.04627523769332652,0.10024625692373434,0.1186621281590128,-0.029253021921703815,-0.011550198210382895,-0.022391968514862547,0.05598171025257434,
PDAP1,-0.003478812210281241,-0.03953999151637719,0.03938210274500059,-0.027484982564890122,0.04391308454672775,-0.016221175743182565,0.06683513367082582,0.11291392100292393,-0.024902026936466277,0.02123551819033391,0.016471512545266468,-0.03652270097294503,-0.04108884228295267,-0.049544070183573756,-0.012398832894736362,0.0003938623400888712,-0.04140818764374365,0.03645823803562695,0.06953915995951879,-0.00912009919532452,0.030314547619787222
QDPR,0.029989866457435864,0.011357771904467137,-0.03233851061831268,-0.04838280083710356,-0.06112001354212521,-0.06288664256921195,-0.07002172258706632,-0.14306372132755088,0.025085572385824966,0.024740083563584092,0.049850285799098774,0.040898897639496716,-0.015295684515758566,0.041205718543316214,-0.14675730118937558,-0.008903801252738062,0.03170777030736237,-0.08317372905070924,0.026842483951446033,-0.0019541124198858353,-0.10353954597631625
POMC,0.03330310066133415,-0.014898910857970344,0.01052918731573765,,-0.02438930873975513,-0.04870398811861936,-0.031217917336729142,0.019484897122097514,-0.005224381835496809,0.07066597790492427,-0.05137420709944182,0.013748617094625321,0.024698807086227202,-0.09364101418661815,0.009606215471108619,0.07379948876610914,0.01581643766084697,0.022066376414978137,-0.015358902312061764,0.02871359102291061,-0.05399102343423664
CCL18,-0.0500949670557599,0.0468456231829393,,,,,,,,0.0284233994064808,,,-0.0409255060187206,,-0.022453805495895807,0.023534655079418033,0.03133496898111367,,-0.026532227715252578,,
CCL17,,,,,-0.011229398347317322,,,,-0.028403307146006626,,0.02371064054039219,,,,,-0.025534072169214207,0.0053887444248858244,-0.006692802766991899,,-0.024495925782455057,
VEGFD,-0.056442385876724795,-0.006415916028692942,-0.02130943837659812,,0.023306217616689877,-0.007587898240526285,,0.017449165274590984,-0.030261321379298847,0.03309317624946406,-0.02347631670194772,,0.010412398440791391,0.0625652581262388,,,-0.019617456549977364,0.04458593305212722,,,
TNFSF13,,0.00377340547120335,,,0.00766858604445177,,0.05155314445547819,,,,,,,,,0.04321593077792683,0.04235588900328205,0.04376878684517618,0.10698859457546321,0.09017659443496819,0.0010879816570145532
WNT5A,-0.01400736035998773,0.022978697682210416,0.08125581320137858,-0.002927505416342879,-0.0564229643291556,0.036157008945983456,0.0405373285260571,0.1096936344712504,0.0060569989974598015,0.02291157747715389,0.015732451007524434,0.007914336314232771,-0.11581039577803721,-0.018620782776216576,0.15303320470869713,0.04312553962811157,0.03700892133991437,0.04152894914085885,-0.013709922481883092,0.03450078975926459,0.11149996640962463
CXCL8,0.1407930106637373,0.0885597970934985,-0.019952895045152918,0.0651835146658624,0.1580412841142199,0.045158475104172896,0.12113232843649978,0.09276666253740552,0.07455177860380077,-0.026295315236554723,-0.03975735606142175,,0.09176732751858786,-0.08760331304969006,-0.03953345977526002,-0.06105534840653102,-0.08130131796249385,-0.008340744997021435,0.014491586837681099,-0.02297527188833482,0.10564756427486457
