,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.017771219403904248,,-0.0177608663646726,
BMP1,-0.06354458143745154,0.0020920839426960274,-0.04386630878873176,-0.10173041567866116,0.07534367542202457,0.03641396276885759,-0.016360886806271766
NDP,-0.06017464396783867,0.012817252456574807,0.02587738053961592,-0.00038801545793904895,-0.023370123883342905,0.0230609588020351,-0.025211179547156345
TNFSF18,,,,-0.018327144890803077,,-0.02995940624023563,0.06044254801924709
RTN4,0.0962331242032877,0.039261137215797604,0.030685348829890186,0.059473790551349506,0.04618918155831649,-0.014736970070865192,0.04394911759807172
HEBP1,-0.02352682105850446,-4.865097012069127e-05,0.01315318072626886,-0.0591930419800344,0.06287640830331791,0.025062762839550026,0.05138919652607499
WNT7B,-0.034287610655099915,0.0026230331160784323,-0.02290273584390174,-0.03832354259411243,-0.003581331632376078,-0.03790907211779943,-0.06722501164518961
PTMA,0.1423460348775516,-0.020648877110010098,0.014722281039968888,0.03894430071707278,0.0330733208672018,0.002742085197920545,-0.06653486103445444
FASLG,,,,,,-0.01540399333887343,
CEACAM1,0.06054503667669544,-0.028824016953090215,0.07940967195898152,-0.026334193828259918,-0.027141628809547996,-0.02143239429623401,
PDAP1,0.10713104872563135,0.012870556747301165,0.04553154452714749,0.07949677518875768,0.025301976685230234,0.09839427332485362,0.028359394520167537
QDPR,0.10435517475112822,0.008759438705822771,-0.014160620869718376,0.07656626577380754,-0.04276119902210453,0.05054486372154245,0.06624696217612845
POMC,-0.051905315337995285,-0.027792246498900365,0.056809441969820754,-0.03493737776174862,0.02530680279220033,0.04119129650412127,0.013310743572639058
CCL18,0.054375238345435284,0.014555927582939967,-0.031436474140965676,,-0.0286384758768073,,
CCL17,,-0.020449244906581097,-0.02438620971949971,-0.02343032622921946,,-0.013961989791027068,
VEGFD,0.026579442335298218,,-0.016893071826819338,0.017358407186719455,,,
TNFSF13,,0.07738242839185447,0.006714868493212256,-0.025125994798173346,-0.0045058421650887165,-0.02274989700454169,-0.01675368920758475
WNT5A,-0.10994744908587577,0.06488730871025163,0.03658343397846302,0.02337038990546856,0.020936121975946957,-0.006941933844428464,-0.04636132061784019
CXCL8,0.03979727002128221,-0.07018046924764211,-0.01795875524649187,-0.017319682399439443,0.042325360814740205,-0.02676768243665857,-0.07680440525410488
GRN,-0.09959377520472638,0.0295294790055499,-0.017852318080525037,-0.012548817265452143,0.027412388464063242,0.01839700311471981,-0.004075274522649376
MIA,0.012818275852291715,0.02484362641520146,-0.004208935215350169,-0.07303411937942798,0.04877377635632525,0.02593890711226676,-0.013871438873380732
COL4A4,,-0.04477411862838797,0.050804161137938564,-0.007288040844545612,-0.003858992253004112,-0.029473225717350785,-0.04803853638676617
TAC1,,,,,-0.006326397668241407,-0.01835445529518295,-0.01844995295515861
RARRES2,-0.03213694769650087,-0.025983422670770653,0.030288686105186667,-0.006121379910453435,0.0030385125985940326,0.021071923353342698,-0.050312892776876
FGF7,0.16340847444493198,0.06019506641013347,0.03820310040106932,-0.03856921571842486,0.033704408254033584,0.02079323537657766,0.02739270515674944
EFNA2,,,-0.016055734235042148,,,,
HBEGF,0.03813561604944644,0.0057582089858784396,0.0328566763109217,0.05285152899787864,-0.06860794948999197,0.02405612569948013,-0.03456130428327969
CSF3,,0.0016482213682365277,0.030814562348453697,,-0.03891123240877243,-0.014699821358805067,-0.03995608658249058
PI3,0.059910626514248985,-0.04175100040280031,0.01051172898334671,-0.019907883531597004,0.05809064064569219,-0.03193782827579039,-0.0249591648900689
PCSK1N,-0.0012212622123992161,0.06070390982706993,-0.013744461406147598,-0.04227543761091061,0.0052787057686379995,0.004172391021722742,0.035839919183350784
NTS,,0.038600809790774904,-0.019560865374298346,,-0.056786273363817454,-0.02176843094685299,
SFRP1,-0.04139075304104282,0.08722661162049947,0.07709582331253066,-0.015251235754731111,0.030351585522052634,0.058020254342903047,-0.008548484604863543
CXCL13,,0.0011452969349120437,-0.0006039581281395437,,-0.017392424794544302,,0.01082837456922095
MICA,-0.06801785176188568,-0.026099719842224672,-0.015693443584871698,-0.02420420476041336,0.058768306214135105,0.041035843408791566,-0.02091437719025461
TG,-0.019309451020286295,0.020251902924924205,-0.02409134403234232,,0.014940183289354318,0.045192439834143054,-0.03419479513660749
ADA,-0.11343107826638,0.0030735802393146738,-0.0035608754272082807,-0.06220209549125213,0.032392904671317536,0.055976453315404844,0.0008130714263635076
LAMC3,0.06186016169085076,0.025886896971593933,0.03652814183334983,0.011342569171311045,0.037942169452687774,0.028094498863802424,-0.044344216511898
CCL7,,-0.030648704551297503,,,,-0.015403987861397265,-0.025907025045780185
NGF,,0.06446900217090357,-0.015839918154989,,0.044991954349631325,-0.0281368142857765,0.007191440172475731
TNFSF15,,-0.02987904538481819,,,-0.00783197101172084,0.004067867752665499,0.0009613763409610821
HMGB1,0.010517675818240792,-0.039749104229281115,0.01519582655604619,0.042525645634921325,0.0005739998604538743,-0.029392587061498204,0.07325169542844093
ITGB3BP,-0.1537219705565934,0.04002515879823895,-0.01924452061551292,0.0007277726474166325,-0.06010680555553539,0.036012371810949115,-0.034199705384022124
