,UKF248,UKF251,UKF259,UKF260,UKF266,UKF313,ZH1007nec,ZH916bulk
BMP1,-0.020038696952806186,0.043074302171583013,-0.031139213804074993,-0.08365267168557985,0.0898178855921982,0.11812839007591032,0.04621064912540721,0.032637953075177584
NDP,0.01686212604837001,-0.003765790817105039,-0.04761075206474696,0.11188423919590894,0.009065614412297671,-0.012595454080018048,-0.03280281885244512,-0.03703802109729765
TNFSF18,-0.0404135227439759,0.01716981304369648,,,0.034903756758693526,,,-0.029753375635308183
RTN4,0.08436163201889531,-0.007959828011805094,-0.03093008895162855,0.1168183268277629,-0.0747553076961465,-0.012043514782707657,-0.04541530719295868,0.031754752954135414
HEBP1,-0.05539760322533035,-0.024219870393439393,0.015114331562537475,-0.012270515325995617,-0.02519614524108026,0.12281410816481271,0.09209578192107276,0.023836861519579065
WNT7B,0.013611524676413581,0.08080933342104582,0.058009787256592685,0.006382355302437449,0.031679418339633045,0.10778511370268594,-0.03495542220488231,0.0801952946313381
PTMA,-0.01594921749114846,0.017307087882606133,0.05625877132023136,-0.06023085187460694,0.053661373111905934,0.16098826114872786,-0.03447954022483321,0.039901615121252655
CEACAM1,-0.025722099665779572,-0.021114224237454793,-0.001463306840332467,-0.016207962391547905,,,-0.0114623978933582,
PDAP1,0.0037941613728486433,0.02430852575582524,0.007020200979484006,-0.07821590418996964,0.020700326722233653,0.03509073142924932,0.02120615083511231,0.00811177943566436
QDPR,0.04889139359874583,0.0025306782516347085,-0.022474215250073423,0.14422853175744002,-0.0058242357015692355,0.058507839128737416,0.11266938395993505,-0.04006883214027393
POMC,-0.00506848671651186,-0.0008241411967131159,0.026149312646292583,0.03531602070660285,-0.00982165020737978,0.01495233838738001,0.08601032735990813,-0.039253049932195964
CCL18,0.001023348639897868,,,,,0.08484568207055763,-0.04547830754543497,
CCL17,,,-0.014324222732381427,,,,,
VEGFD,0.011162628607506199,-0.0302418900867292,0.07338294948198912,0.03121861183062084,,-0.05328754053695771,0.05344190825312844,
TNFSF13,-0.024222754526455333,,0.04828127308935436,,-0.0144745884447028,,,0.03136002966327114
WNT5A,0.03175493325313101,0.027838792933316637,-0.02506336389299431,-0.10200556319944593,0.04116704115921467,0.02975079489388139,0.04714825577992905,0.0740284176941218
CXCL8,0.008665165489558169,-0.01676124243393244,0.12326597711451025,-0.04953343150044438,0.04981946479358908,0.031616881959313975,-0.003367782180679618,0.09204528226871612
GRN,-0.03773529416629637,-0.03033176549361348,-0.07441264994408234,-0.030363688036799265,0.0026018689989970823,0.0555413679515903,-0.06062914150582544,-0.059092769556660533
MIA,-0.016092067640235512,0.022206827806446585,0.06652544945211537,0.01353948303211755,0.043744538236856166,-0.04014919146866257,-0.05440928256992986,0.11511920940704097
COL4A4,-0.028797677303813853,-0.02986361824999705,0.007141566535820124,-0.11699501909045264,-0.013771931411797882,,,0.022347033368094654
TAC1,0.006266108896188275,-0.03242450551027149,-0.02860033903541443,0.19080223141716315,0.02365858779297729,,,0.05615635258371791
RARRES2,-0.033772903091615,0.04887377468384221,-0.02283597978494054,-0.11697652559101877,0.03298776837704441,-0.14985108070612113,0.023088076913359068,0.09776621342216861
FGF7,,0.004217407155233291,-0.0026467007885710974,0.04590756739016679,-0.01096629932858095,-0.013452611746224488,0.13900353932674606,0.01316508531484339
HBEGF,-0.05701244116276659,0.047702958640531624,0.00488322737978091,-0.07630905691627507,0.14062857446286692,0.09184272252928147,0.00891237989837572,0.0569293294711739
CSF3,,,0.3294497152048531,0.014702008988355946,,0.06003811274735576,,0.25333192097479496
PI3,-0.03376923839781642,,0.12955090379463882,-0.032476811370947434,,,0.0769847049629122,0.14809677127477325
PCSK1N,0.053083971120592564,-0.04426340283711439,-0.09131496431683668,0.01622617423547236,-0.07703267089510807,0.01459710077631849,0.031226908230843644,-0.07380213384429012
NTS,,,,-0.04397389066585742,0.11268965270142704,,,
SFRP1,0.050111263867472916,-0.015397333056759091,-0.012498438016642365,0.0027205764040803037,0.041302673539157404,0.0509115591303486,0.0022710113891731944,0.00449784576232719
CXCL13,,0.009441846191787623,,-0.017531652823852165,,0.09589695879101165,,-0.03086573810393092
MICA,-0.005176263690626866,0.029462011339734785,0.12142925910911759,0.06183061138262669,0.0474694737758509,0.052117513581591425,0.11252391588355101,-0.0060649693914768005
TG,-0.01930165298741391,0.017077353355352962,-0.013487794800529888,-0.03752117426102432,-0.01940594060035377,0.03892161528938275,0.08609548884550523,-0.002994463800584441
ADA,-0.02829509945543037,0.0016702825670828953,-0.04220099661229185,0.022205050421715233,-0.008920383057099326,0.08605828367417558,0.03712940839758235,0.03996629262931745
LAMC3,-0.04606340771296705,0.04932070219262253,-0.04576834578322988,0.010754629807782624,0.10643744078044554,0.04862895874507966,-0.06862777154665145,-0.03393382065341719
CCL7,-0.02041751666586057,,-0.009751654090938084,-0.023243734826083832,,,,0.18691637013326703
NGF,-0.003899554954651649,,-0.00953244055170969,0.005267919595222524,-0.018518472336368417,0.10704870466783112,,0.019991694612567917
TNFSF15,,,-0.010858943777551531,0.024492444372139432,0.058615827281066256,0.000883086336929993,,0.03239688281610485
HMGB1,0.06908995207636817,0.011254308873372027,-0.08369443864327801,0.005602342135659182,0.07149645796776186,0.027467867573650103,-0.15718882517315574,-0.020721632551112104
ITGB3BP,0.014533937037783759,0.017830590204859255,0.02731116368499943,0.012270555677319269,0.0734886753949861,0.0740426918948722,0.04885526903374252,0.04552784850611754
AANAT,-0.029622710373878668,,-0.009880529309755547,0.07787508235033168,,,-0.020236195325454252,0.1270550718763686
RELN,0.04350832078374606,-0.012241152177251888,0.01701031352937496,0.0012165242818611786,0.018923021162643782,,,-0.06559970369474276
IL15,0.013167152273030504,-0.001746254743709876,-0.016952443714234537,0.005022756012572862,-0.015999759521711083,-0.03532409613220958,0.077829461010688,0.07700849038042809
UTS2,,,,,,,0.24157646697700955,
BSG,0.003783295025421643,0.026074128651282197,-0.00917076353413924,0.002151583886182768,0.03163562054038314,-0.15710371871763004,0.06989826320276805,-0.027298580158780266
ADAMTS3,-0.039658839185747655,0.02851154586241524,0.005077886003040603,-0.010039559901618762,0.060943732225364325,-0.012689826285857774,0.01366644626672234,-0.054995937792998266
CD34,-0.01679453466455112,-0.022516438232358642,0.0197966965036348,0.029144214923642445,0.08938446244392113,0.07270748307649247,0.0608270798873269,0.006256762716645539
PLAT,0.061289614807874655,0.0047321066499465495,-0.10823560220157831,-0.017164353762094662,0.07504679863736748,-0.013997002943118045,-0.07968119557873919,-0.043777098139961
NTF3,,,,,,0.07062234062313218,,
LTA,,-0.021114226404152395,0.033677251421328165,,,,,
CKLF,0.03825870454829878,0.03054687389944945,-0.033562912231061455,-0.09470041937761217,0.09126033135153916,0.1106888853304165,0.09497062858607684,-0.06529767710506021
APELA,,,,,,-0.057071834857957124,,
CD24,-0.02701827202898202,-0.02992657143583594,0.046382238657438,-0.04273238527235582,0.017120519145855943,0.18171890990348266,-0.0381414447995746,0.07970294190198803
HSP90AA1,-0.006898586332509364,0.029451480108218697,0.031290719913807295,0.16566307790830548,-0.07043985573517672,0.04737354579141579,-0.03334656362188445,0.18195345128870283
BMP4,-0.005453971929768435,0.035453274148665434,0.0008564780104799806,0.022524325636676536,0.02947684943810448,0.008398893536589676,-0.0221744527894994,0.028887312981102337
SCGB3A1,0.013247402358389667,,,0.0009390757301878891,0.06863692571822073,0.0031460827958475616,-0.02888010631625904,0.04366231129051196
IGFBP4,-0.062430592398207675,-0.016800869703749808,-0.03343765898525215,-0.030618621246709114,0.08522123011306648,0.03108733194968592,-0.024208638246618085,-0.035841976309921926
RSPO4,,-0.034133558447978496,-0.0191310482208583,-0.021313642301450664,,,,-0.029298166615308104
LEFTY2,-0.0010360477139896766,0.07247882625298535,-0.02792667145784342,-0.03308206751914464,0.18438913345197128,-0.0808379324792787,0.0229275160689242,0.022290706964546925
PF4,-0.021179893932037376,-0.0192062586380912,-0.008508126075302266,,,,,-0.02295091173741551
ANGPTL2,-0.025952385456561183,0.05663668573726191,-0.032905057615585306,-0.056053072277968005,0.09877243714843503,0.03500390698977967,-0.002179791279644772,-0.053873552310547614
LRIG2,-0.011778061031062855,0.005151439878405145,-0.040225623139596364,0.016779947729700647,0.10431921008615373,0.03490976918223138,0.024757006024391136,0.04996497447036347
ICOSLG,-0.02959285743839508,-0.021832502856918474,0.014777716231433542,-0.0068507942637770275,0.10940784344395778,0.03361173144863518,-0.07005658161757745,0.06856891020066616
WIF1,0.08280449640335094,,,0.08958637746261705,-0.03785322360499711,,,0.062019620019199806
NPPC,0.024398263199961526,,0.072749281072141,0.13604742050272092,0.017093724642283675,,0.02913554104185849,0.034437759161571914
LYZ,-0.03494893821318251,-0.011871676434376331,-0.001504820249960842,-0.04310541649674657,0.02180003973050312,-0.014253725610942833,-0.0662681355266144,-0.05166064177261818
EREG,,,,-0.029993351795256747,,-0.02313599731624867,,-0.006201345165866012
SPTAN1,-0.017740720058306153,-0.0003280788494417114,-0.11267945803714059,0.09402901621787296,0.01944667934636016,-0.011669941227773751,-0.011049918304230666,-0.06483653604788855
LIPC,-0.025929757197625695,0.03931236065780901,-0.01528973622002472,-0.020635113772637242,-0.024811524465785998,0.015129200461144247,0.10599752807553349,-0.03579057303666196
COL8A1,-0.032899558116546476,-0.031189531191327956,0.023124342128155347,-0.06519237662762997,0.0091288419734445,-0.1017208123939701,-0.05196129087314004,-0.039232246937726575
GSTM2,0.05941733962774154,-0.03404933668134221,-0.028937235268355416,-0.013159047850805246,-0.01352995108500668,-0.054082070523456295,0.02517741669468905,0.023949378382066053
IL4,,,,,,,-0.04411301834761655,
SPX,0.027976136845570706,-0.019708167617550124,0.06697182163530589,0.14744974567975083,0.0006955551196964781,,,0.002253384006448513
MFGE8,0.019749818758435542,-0.03168563902804353,0.0009442663249123764,0.09392884000418834,0.05349711219724214,-0.08048937703814607,-0.05577990124881165,0.021744051029770253
TGFA,-0.021617410011741563,-0.03610236363947407,-0.010835015455755829,-0.0881693263158879,0.016739628423478238,-0.013409089115262013,-0.10112779485429883,0.030021933125759074
