,UKF266,UKF269,UKF275,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,-0.020044163323249955,,,,,-0.017544617731860297
BMP1,0.054934054714995934,-0.07304343554495898,0.031520048531573044,-0.044625547580572154,0.02958828379244249,-0.02948915453862539,0.023494946538034633
NDP,0.030818725124200235,0.00504983563849335,0.04922705320735452,0.028989728409058245,0.04572274576899012,0.03457439438416457,0.02049394765243062
TNFSF18,-0.018930537500813496,-0.029764980792753654,-0.011390332063402514,,,,0.0006631837019488686
RTN4,-0.0292592295788269,0.11285292429589304,0.09488211115440205,0.07487984308813746,-0.05446860384457107,0.00037501207890594914,-0.01977104843447032
HEBP1,-0.024155692090026156,-0.01521499781044267,-0.03464996410929573,0.02346610274526217,0.029964574552816474,0.027862237987160105,0.029580871178316023
WNT7B,0.050777146241598244,0.12691062954838706,0.01877032391673979,-0.02107016820655182,-0.03441596671030255,-0.03487036544984733,-0.03744750763956187
PTMA,0.0915016016730908,0.007175651149076006,0.06812930766427289,-0.02587212538005862,0.030258854757122856,0.00012327684428564667,0.0008745025167841193
FASLG,,,,,,,0.0660392207857877
CEACAM1,,0.0020027629841381333,-0.01791427877093714,,-0.0069327688180204254,0.007048912029537971,-0.02117144272611953
PDAP1,0.07214521470229253,-0.06272682491432677,-0.004650939616760811,0.04619039437720723,-0.037747880604211546,0.032138897096988854,0.0456785864157583
QDPR,-0.09154245774334716,-0.0019102861095575522,0.007792557587388032,0.05580764908419517,-0.07110520465985372,0.08458017330071248,0.016117366154730212
POMC,-0.019963860091061665,0.04284940589592278,-0.013216440600129928,-0.03606978217941121,-0.010253989205695868,0.04765368399153781,0.05819557839439273
CCL18,,,,0.01128919986069041,-0.04596291137843255,0.0005843812392937776,
CCL17,,,-0.014205961712598886,,-0.017818950564692973,0.008590786780891023,-0.013791994637544325
VEGFD,,-0.033579350288272906,0.02187848038545511,-0.024370202905554948,,-0.01689306862710319,
TNFSF13,-0.018358672242895793,,,,0.018285618766406084,0.004967199706690588,-0.0224729040908605
WNT5A,0.08613610736177653,-0.08392308945293073,0.040935203401301926,0.040526624933184985,0.043064102238830844,0.025565176501309662,0.02979723623282791
CXCL8,-0.02611402053753977,0.010402315142672825,-0.04379528198677534,0.0031702257005627376,0.03954913304069378,-0.05186620235377449,0.043856156113599304
GRN,0.0034445594228815434,-0.09484087986678642,-0.025252755257999998,-0.014954192741023426,-0.004613073553645225,-0.005653742313656071,0.08600148444352175
MIA,0.06663775034971992,-0.03261565643469674,-0.027922005661278438,0.014968172586156257,0.06680713908842523,-0.009671637024008235,-0.06033651100249363
COL4A4,-0.01746746554534109,0.11385798368337315,-0.014831463541535968,,0.05087618746880602,0.03455412259321318,0.0479547233933206
TAC1,-0.05462758884752325,0.1213163999505008,0.049028579199548845,,,,-0.01813097938009512
RARRES2,0.04666032609919216,-0.08814587188406624,0.0023354086066274715,0.06843889703252375,0.06618030605724223,0.0039028356812293636,0.034242322091818524
FGF7,-0.018352397567501927,-0.05629029283348979,0.024362586878124336,0.011738065988553913,0.02063672838843894,0.011068355839533096,0.06206565877365158
EFNA2,,,,,,-0.016055731193926084,
HBEGF,0.09265467447470103,-0.03686292036030277,-0.03770838746050181,0.012089539247779935,-0.02212433570507918,0.021185726075555304,-0.04189420588916236
CSF3,,-0.020897273034296712,,-0.025702027882426606,0.05605442130025746,0.015298282347783028,0.09858054651978303
PI3,,-0.02353060525076787,,,0.05363050605232216,-0.04342923035677613,-0.03154896708186961
PCSK1N,-0.0005122614340020812,0.05135572841012174,-0.013845917929784774,-0.020030232125799984,0.029269722767520573,-0.01166667473610833,0.04833085962529855
NTS,0.04828647950237804,-0.025685262320644477,-0.01694322304901702,,-0.04156975678303515,-0.019560861669275516,-0.02150338793971178
SFRP1,0.06937566381116632,0.02845207996120331,0.042552068139845405,0.08007549290174207,-0.05458858070260459,0.016234826391158502,-0.0010597763976226953
CXCL13,,,,-0.033025925400484546,-0.0400250163650541,-0.04125175044533137,
MICA,0.028037734575773077,-0.07281668229983136,-0.013849968112846403,-0.07209537231231775,0.06432212862962189,0.07230776393944184,0.06017656827284991
TG,-0.024613294147052642,0.10130122665541268,-0.014311968822225931,-0.028294204650873508,-0.02367693030751202,0.011894797409997757,-0.02831841297980555
ADA,0.023857143822645477,-0.09249314522483845,0.01858286189501256,0.042941015740660754,-0.023761697451921582,0.08691779532207361,0.05342365580165721
LAMC3,0.053749335278835936,-0.025148656941673855,-0.04231305092134657,0.06680178342485613,0.0032836321993293073,0.061599859134582,0.08556339968079041
CCL7,,,,,0.056962825135002206,,-0.015216435562624824
NGF,0.008934658662358288,,,-0.014444612253228486,0.024201647673628587,-0.015839915154750653,0.1486995550684009
TNFSF15,-0.015782215307112876,,,-0.023315238227195223,-0.008551533052611773,,0.03366853683205399
HMGB1,0.012797387867174964,-0.06280262537963353,0.01247843654278491,0.06027957385812295,-0.018464096200375205,0.03094300477320722,-0.1071525574055922
ITGB3BP,0.07360828644039405,-0.052678392638554956,-0.017818279555049266,0.03113046462403933,0.05640965402075389,-0.004230207655646268,-0.01670880905631431
AANAT,,0.02317174324272166,-0.012870837201233916,,0.049362838704432345,-0.021606665562325756,-0.016099623383764406
RELN,-0.00976785908716531,0.06155082393607199,0.07874070493355172,,,,
IL15,-0.020293104853819972,0.01476192746956571,0.019249875301435584,-0.015435564332221024,-0.0112628032595713,0.003458208499456557,0.06692296004730917
UTS2,,-0.0621791340301304,,,0.023848385181288397,,
BSG,0.07441360418395924,0.0727533575269067,-0.04319721109805575,-0.013634519532500798,0.09030428825407587,0.022621173593825632,0.0002160066368941432
ADAMTS3,0.03697697027384473,-0.06697519080939371,0.04417243105229143,-0.02902090678658005,-0.023350228582417223,0.04984589829821101,0.04678306203311008
CD34,0.09594680282773303,-0.04141161050238787,0.013267057860598768,0.023947068816658597,-0.027384403695623356,0.021014755187232323,0.05885840273135109
CCL23,,-0.003832513436370929,,,,,
PLAT,0.03555413222185544,-0.0999165079461146,-0.02829099523011283,0.009678944951534079,-0.045940383446688146,0.07524988503743604,0.022922690328293395
NTF3,,,,-0.009582079072072761,-0.06157319843431346,0.024772405652927924,
LTA,,,-0.012395957575801262,,,,-0.021667666803072246
CKLF,0.10684064077095339,-0.0651385017891224,-0.004876994968216009,0.0480566457163758,0.014677152839703073,0.12878680928260283,-0.008118047268333204
APELA,,,,0.04577750334733134,,,
CD24,0.058201908631626116,-0.004550020835407327,-0.015743472100598458,-0.01711274363260344,0.03441531918394859,0.030210422077581414,0.08227981021887479
HSP90AA1,-0.09240004161693326,0.09478167654408992,-0.058146368946880675,0.033274723051742075,0.03631486478017825,-0.030178391916339534,-0.08512647836071488
BMP4,0.06908102566606153,0.10853514166934743,0.020532445618548355,-0.013143963707145268,-0.03523909609694834,0.03832996448152448,0.01097500866081098
SCGB3A1,-0.025904507256117593,,,-0.03277914123676674,0.004329904202015085,-0.03073479548221002,0.0700890253608808
IGFBP4,0.05175872680686231,-0.06794215678187313,-0.039157981244850835,-0.04270162087997608,-0.09291874480205527,0.003544263858605893,0.0930744385593668
RSPO4,,,-0.014417253307345688,,,,-0.013808078096441424
LEFTY2,0.10786733816558737,-0.04866575826705148,0.03443066301262899,0.047225799424971876,0.09419844322534482,-0.0184612061854765,0.006141341674872955
PF4,,,,,,-0.014716189229287765,-0.021667661789013432
ANGPTL2,0.0717426542319995,-0.07830553046715476,0.04934444960713519,-0.07194453219411778,-0.06386913434471263,0.03727134067940377,0.06492461316223083
LRIG2,0.05096735297666934,-0.005953056498344199,0.015479624238101057,0.024438283534302836,0.00550866065611128,0.027358400659689776,0.02177119954695463
ICOSLG,0.04318736824313005,-0.031239014484175823,-0.04291516202077937,0.033213136911657073,0.009859087381801204,0.08951465334956582,0.03434512570462986
WIF1,-0.025556609974267005,0.13718877805683163,0.013094313164576332,,,,
NPPC,0.011203674848146352,-0.017494754586880892,0.09275358228641782,,0.003463257328742236,0.03071547002507125,
LYZ,0.10405471596223223,-0.043226846797055345,0.00239635595068594,0.04391042969889451,-0.008841283655188957,0.035612712915824477,0.04729498411921304
EREG,,,,-0.005611777205334342,0.09702283833585565,-0.04676132267218835,-0.019093910377199482
