,MGH258,UKF243,UKF266,UKF269,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.02227091467531506,,,,,-0.04054964641311446,,-0.01321033991747304,
BMP1,0.02468091810538488,0.07558710530099502,0.07298483682949021,0.052342410082301324,0.050835386463678446,0.05723175012473381,-0.013845869362403783,0.047479015553563056,0.04794142203551343,-0.062342228017079684,-0.011085127083547855,-0.010740246566448501
NDP,0.02929793597644095,0.048076533297343405,-0.022528548048752747,0.07750622953327187,-1.1368304921150419e-05,-0.004088520670646459,-0.007899799253615265,0.04287161764638786,0.08123326842473864,0.036917546225115686,0.16253741586054915,0.09775170625257962
TNFSF18,-0.02666311924624189,-0.021812094561304056,0.17603236417029228,-0.014030839004390267,-0.019157322891785022,,,,0.009656532811040031,,0.05611097504170273,0.06739069146030363
RTN4,-0.016419914547700615,0.03776429070742571,-0.0048004101859793905,-0.0912169504830899,-0.011234606525569608,0.002559395002456599,0.008344170831366404,-0.060675678461009394,-0.1634502796504386,0.028136630941765543,-0.0846070088585811,-0.022524535944262958
HEBP1,-0.0032011089481753813,0.009412142801339183,-0.060158353499351114,0.06183538583564015,-0.026589071972033185,-0.004841686419620177,0.058503942429369175,0.020750076425440217,-0.011716179937350708,0.12549766918294983,0.16111465572713562,0.003575933871896968
WNT7B,-0.02348937294382157,-0.0509096711729881,0.013440921577423718,-0.028198283254508162,-0.049752777364070855,-0.01938005581260595,-0.012777829586765127,0.013051470768513682,-0.0030030732919430953,0.0838232484806439,-0.052902296972154934,0.018570319377089722
PTMA,0.005033745642067684,-0.05475639566559999,-0.010381852905503338,-0.04691537021039917,0.01810437056606373,0.00794619190323404,0.006710938469244005,-0.09323403648072175,-0.12092430311241409,-0.0733293504797967,-0.12525162501990547,-0.033251301120615084
FASLG,-0.023489379584207132,,,,,,,,,,-0.02466886213195143,
CEACAM1,-0.018407675413157003,,,0.022032277420149973,-0.03012990498239918,,0.00267085332870116,-0.024091351656338935,0.008998917132589756,-0.023830511370075302,0.11681013834778524,
PDAP1,0.11531473092232354,-0.015201658273778413,-0.05377898175258642,0.035586006100029856,0.03501793394479009,0.0318672916131209,-0.033130911616474426,0.010587906553934195,-0.013773175767084509,-0.07018514172368824,0.03768770591477734,0.05138356012363938
QDPR,0.052060760170523156,0.026114807482786724,-0.024815655969611237,-0.11910461086209785,-0.011267378455937203,0.03495090203493995,-0.00959693582732521,0.02210352711297371,-0.09043767873871972,0.024751088879567083,0.0565014370312796,-0.008525131305742461
POMC,0.0033591451895905967,0.01900071153175818,0.014021681892587363,0.01449998542076716,-0.009585757187173766,0.0039273100197670914,0.027457705229626483,0.04062761255104556,0.0196357149725862,0.010431388539536818,0.010297143253144491,-0.02968120208474022
CCL18,,-0.009236062407537972,,,,,-0.012304476845874544,0.006739883829990015,,-0.028538730177524108,,
CCL17,,,,,-0.023892911462257773,-0.02398707632453414,-0.019921021679812842,-0.034777378557343946,-0.0029868906904000287,,0.014641038202137123,
VEGFD,,-0.03295824259130113,,0.04262835251031783,-0.025455876272780103,0.045982214347318154,,-0.024091351656338935,0.047778376237568,,,
TNFSF13,,,-0.015064717478636509,,,,0.029966813321565176,-0.03780182149108819,0.07114984676922098,0.0299927882722076,0.14077012143402098,0.039402198573124984
