,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.07416564740764339,,,,,,,,,,-0.03298741923817346,,,,
BMP1,0.06290532878521522,0.10524365947014543,-0.017034615416869393,0.009225985017031493,-0.026896198360464016,0.04850355382908932,0.09651320886471226,-0.004488070635690709,0.015227683750753295,0.04152426375895415,-0.06719630105524967,0.05809838352750066,0.05778538426081152,0.06672666825569125,-0.029902622029080565,0.0006803790139760855,0.1131651861312193,-0.034520345576927,0.020110790650235414,0.03147609177708324,-0.024752081448195278
NDP,0.0524341464009576,0.0021188556420513407,0.05120226453222907,0.020863278645660285,0.0626460577520015,0.046982892248737286,0.034996999675952066,-0.006442793494802775,-0.0037209649947425403,0.07423795593755797,0.04956693801072321,0.045747207632735175,-0.0015273638536380382,0.03474720548926303,-0.024663002267246964,0.08058064459225363,0.012629533545610014,-0.025606266027617352,0.09053128079872354,0.002193221817982204,-0.0552203906815076
TNFSF18,-0.0224030334903761,0.040677875162197216,0.00014307189186165542,,,0.019827310514189875,0.07005893098310681,0.019444859891259346,,,,0.07886053527074283,0.16026751576042397,,,,0.036487490353191786,,0.03231987393817615,-0.03033501264449049,
IL36G,,,,,,,,,,,0.00025359585160877033,,,,,,,,,,
RTN4,0.07985530231974768,0.009270404422652633,-0.021132539990571336,0.0015791234054404477,0.037026050571522355,-0.038983956720594334,-0.10012752662612744,-0.05257250789942598,-0.02065147796665806,-0.02616205844296288,-0.01989200933731203,0.02897489253286153,-0.06269559065469327,-0.15117544839722588,0.006314208000481028,-0.019072471396776845,-0.13116026150720042,0.06362446790920057,-0.04640582143936839,-0.02469425268222137,-0.0077092185633043705
HEBP1,-0.04905299066390776,0.014859842883953308,0.014194186887156776,0.0025592115919990757,-0.02125388666355732,0.038105629278802296,0.036475240034619154,0.032238290520461364,0.022914280233750927,0.010785553915323766,0.0865026355425571,0.015234722242046906,-0.09620551106376372,0.07036545297504332,-0.035566254174468785,0.03507708242651184,-0.03416701629676971,0.0036321262421076007,0.03180499462434689,0.029929719470523548,0.047844444614622055
WNT7B,-0.019736370822500085,-0.04218910871406241,0.042482691496796954,0.005236361575777824,0.034736967548902875,0.04034199978900003,-0.018350833689193043,-0.01807403994320102,-0.001044887016911337,,0.018193273157823875,0.0004660321479337617,,-0.0016649909149693799,0.004404054099907502,0.04986037839519643,0.006871694796430187,-0.02379727441622673,0.0928573256946625,0.012474860997760111,-0.013457477172923966
PTMA,0.0903043672517159,-0.020886089528186828,0.05114363882009285,7.459714065685674e-05,-0.04770777813813872,0.09850356267421899,-0.05287122130282256,-0.03112029316867295,0.07090028611949446,0.06255783712845818,-0.00864780881056306,0.09814467385184796,0.01926187933768852,-0.06379808163940098,-0.025492824276787524,-0.01982431029294873,-0.03800712324027294,0.005298102995331451,0.035659201740262686,0.007217001828613497,-0.008897104632440424
FASLG,-0.01973637640192156,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.027404131360660965,-0.00494594149716836,-0.022067731322579335,0.0531316796453916,0.08236889327868191,,0.13582673641597617,0.009976202323202368,,,,,-0.04296756655076188,0.04524974514219013,-0.025323605552679426,-0.0270484544289383,0.020738955182700358,-0.023000776541819038,,,
PDAP1,-0.09155029542711934,0.0482827178211191,0.001458008749220005,0.04573020120849956,-0.019238353748205497,0.02766823445313118,0.0740917590845405,0.008154812385362059,-0.0003029492782058462,-0.056324555716327024,0.002800533000657128,-0.009024544251909423,0.08773517611449218,-0.03291920904017659,0.023698553321234807,-0.09246441712065573,0.012545256562421196,0.01629873879171109,0.01793355008650461,-0.020100381384578987,0.005204975229142233
QDPR,0.08777053388523309,-0.04843071810824786,-0.02428565262428778,-0.0001323353807839507,0.1383001104404282,-0.0004763909086127623,-0.10252784441674433,0.007770058121188361,-0.016955046088778992,0.10206514687147504,-0.02589748905313361,0.005677964313403,0.042071282657222736,-0.08657065397046526,0.0066636808808694225,0.06552963724099244,-0.08101651495851935,0.011644879707859011,0.024931698076993875,-0.0031451443529575303,0.04293902545453511
POMC,-0.007014775648556737,0.03788786814229512,0.11809434579393675,0.05127272010143258,0.056237660753215984,0.016577645429910987,0.06400423215879805,0.0077767068128981294,-0.028753904052445177,-0.01394802111439797,0.02037773278413258,0.05163742186885093,-0.04670856151932642,0.04466455482004155,0.02886172943088162,-0.008370066331152913,0.051464989144866566,-0.016426824695062018,,0.016537350545082014,-5.9686792024420845e-05
CCL18,,-0.02658320788670192,,,,,,,,-0.012846995969667988,,,,-0.024719286526687156,0.030361950336175735,0.018113952135184654,,-0.037771960677119666,,,
CCL17,,,,0.010506107753441764,,,,-0.013691196409622654,-0.022115810509626726,,0.018947219458668504,,,,-0.017965872442663827,0.03774417295003015,-0.014905321512241816,,,,
VEGFD,,-0.013385134452890102,-0.0367984053099298,0.01208946566169292,-0.023544137030699092,,0.049073175012253334,-0.0010737484723293458,-0.02293258197274381,-0.03418305420735138,-0.01216334018260022,,-0.05841346514190579,,,0.01823001408018859,0.06106224069195053,,,,
TNFSF13,,0.014042812945572766,,-0.020272635063209723,,0.0010769138684584131,,,,,,,,,0.0163577656563184,-0.013210412388551059,0.07648677754381607,-0.02582833048610619,,-0.03300016678052137,
WNT5A,-0.07336928815224658,0.0633108348011048,0.0758980822395245,-0.018556477618435922,0.04075231642281441,0.014106743515781619,0.05903826754681311,0.08313720486698524,0.054773977983933374,0.05449635630809212,0.02871312973802451,0.0007623646944307198,0.03974466047104636,0.0794928018729503,-0.03454624636443612,0.048330011072347016,0.07674093588861419,-0.035738687803331164,0.060314072547949016,-0.015200787240345784,-0.0012760012702255196
CXCL8,,-0.014115043440267452,0.031961905525619956,0.004762051608548972,-0.1043814735523988,-0.026456318841667638,0.08862313394662259,0.006042602033596984,-0.006958496911606431,-0.010557507276213074,0.03391080556648225,,0.036711049855436974,0.04246852128350329,-0.025234641738153596,-0.17260823180929344,0.06723952465245807,-0.04172964783566511,-0.07213594680475138,-0.03899648707391242,0.1292871966117184
GRN,0.0010940549961911052,0.09826915071678953,-0.005747130906658089,-0.024172864258846172,-0.043723734263349995,0.06053136459697213,0.09706514207018052,-0.03048467125699426,0.0025785320118224524,0.03572831759289007,0.03536750497248095,0.04357748015677296,0.027527956212714033,0.03953258536728062,-0.06093864944297071,0.009657314259626059,0.03356240901703356,-0.04362482203534118,-0.012109667209770181,-0.06313160097072558,0.0018805016254915632
