,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.09332348207514934,,,,,,,,-0.023683405842055513,0.10592521667549434,
BMP1,-0.04859742323361427,-0.1407742586583698,-0.05688737391989318,0.018204532785646828,-0.05869777366428926,-0.07467143062958452,-0.045664047906131704,0.07846406216435112,0.08967231455276288,-0.03798721629107394,0.012192511921242197,-0.0202530264765999,0.06295231979910464,0.04923182839293673,0.02050541913236904,-0.006743351085093609,0.13248775142598443,0.0020557985784203374,0.056892985103184766
NDP,0.001111296463872351,0.032903884854295906,-0.02856904709660331,-0.02937789394495588,0.013928619335341282,-0.0116747539321691,-0.04344007255081683,0.032586961687840935,0.03377786006834244,-0.025927129594970986,0.0583795368472705,0.03574575609587628,0.005688136370311145,0.04943542189933306,0.02112575384810973,0.04328324446556253,0.013043928269926683,0.07145629469873672,0.019267173746087447
TNFSF18,-0.01752587117535443,-0.034030805683628436,-0.03655429223269204,0.04378057058780453,,,,-0.013966646529183911,0.03501548751849044,-0.016401178601737072,,,,0.07891095357213834,,,0.07952593771869731,0.006549285891970733,0.008632386175748468
IL36G,,,,,,,,,,,,-0.01792678165052762,,,,,,,
RTN4,-0.009208491758156133,-0.05084963350093143,-0.02842187303181779,0.059495360264316975,-0.03708823179717795,0.005471653771793808,0.038603831006642046,-0.10085368857330508,-0.1086705257546302,0.031170127786082247,-0.07507061101250594,-0.017122675925500742,-0.047561729279752364,-0.0391101207112196,-0.1054412263604674,-0.05876817790732317,-0.0045753582167938536,-0.01972841600599367,-0.05421465386677807
HEBP1,0.023116973567424374,0.08514725382818582,-0.025163963533972173,0.021734529114296654,0.11007284434568679,0.0816771496607969,-0.03901342330282137,0.011864797238314205,0.050864084482447704,0.0031630947779295814,0.020272605080226425,0.06192025309798629,-0.07351177176562254,0.0008805258256883436,-0.056105387883381,0.0245191747783995,-0.018483857011722605,0.04719387954382147,0.0632010983535675
WNT7B,-0.015439743579937555,-0.038601328865358914,-0.002405126105340901,-0.002958197481713227,0.032523841217586724,-0.013400195301095319,0.04893697430354392,0.06903445969271334,-0.051704964554631576,-0.03362554568910409,-0.023578138621697116,-0.01970359894133553,-0.05908590528525319,,0.01385193630293695,0.14068660455108722,0.06711136673330996,0.02449756720523336,0.05399708705124915
PTMA,0.03986239225442729,0.10933046946277163,-0.05448240927385449,0.04118431774948152,-0.1871613895437052,-0.028211743099172973,-0.006104381566577529,0.11141611855784503,-0.08213871993283334,0.0025607298341307895,0.0385411003886064,0.051660502466795724,-0.011076333844727788,-0.01196659461421113,-0.06318044391490224,-0.053645596772010036,-0.11007938801370626,-0.008627505612657998,-0.02414337977501613
FASLG,0.015498698349613682,,,,,,,,,,,,,,,,,-0.0002873009600227865,
CEACAM1,0.021623732926927364,,0.0872449563296418,-0.015019856415455023,,0.0033068751163240584,0.01992225449310799,,0.05624374256528672,-0.015133379462208114,,,-0.04449316836776449,-0.03279151306037303,-0.027743911309217682,0.03007456529682539,-0.006598226543819354,0.015896138494573397,
PDAP1,0.015940084265963654,-0.004909976699678442,-0.0246449838812832,0.035090524290720446,0.012772192545274936,0.00815077650725823,-0.025321549709470797,0.031708250258929295,0.07828916552151165,-0.033591494092602175,-0.007354121570437345,0.032059741218165745,-0.004300200138969824,0.03022419260857843,0.012439578236059387,0.041552035397659386,0.006256532594027578,0.027117864112175916,-0.03633464904641293
QDPR,-0.008164858311298576,-0.019514427126054286,-0.0258607445972297,0.0024971767821419374,-0.10737951995538607,-0.02104308549332177,0.02988273592493361,-0.0405215278781148,-0.07947039033225946,0.014819955199972383,-0.04702898343662517,-0.009480127700582174,0.047343518965966516,0.05092465724871064,-0.11347506657201882,0.014184415250598928,-0.06296853682729404,0.04267099964701095,-0.030980222455300445
POMC,0.0019852560582745865,-0.06425584041908815,-0.016086548632958386,-0.026687888543355857,,-0.055081798828697875,-0.015406854875417302,-0.0368468304826815,0.03108487723294907,-0.019030630674803005,0.018748309770946273,0.06416789722006659,-0.027194707193971362,0.04088358490796482,-0.001079257891708965,0.04404747132073194,-0.008854540283375094,-0.011168262759521515,0.0063777721186447575
CCL18,,-0.006470930507866778,-0.030456074989642805,,,,,,,,,,-0.009735951108209772,,-0.01967088927189434,-0.04899203503013348,,,
CCL17,,,,,,-0.035999925361708214,,,,-0.020455462927757087,0.03977237371571937,-0.01637662397891548,,,,0.019170150601410696,0.07037025782169429,-0.018391797131519776,
VEGFD,,-0.025449947098848052,-0.03968962300462664,0.0701716710600705,,-0.0347936801963028,-0.017786454578763086,,0.09546376248481266,0.06773189429849272,-0.021406175846580684,-0.017551335156893215,-0.04298087687154845,0.03960400615955448,,0.013539010214065181,-0.016894246327854887,,
TNFSF13,,,-0.029951063151822575,,,-0.018984493695159577,,-0.013544733526485811,,,,,,,,0.05545138572567912,-0.0031459273520263236,-0.0159644827432851,-0.010309693254383875
WNT5A,-0.016948734292096933,0.05116913674802533,0.04157391692220182,0.00559435330356428,-0.10081518521747193,-0.02346594063246553,-0.02633460445922907,0.030380889256643083,0.08206281661632998,0.002847156761723735,0.03694339958185428,0.015385218713394992,0.04514017551160339,-0.032139557167247895,0.009314862619604704,0.0761435562051896,-0.02969167806101918,0.013469544635570497,0.04944189579683795
CXCL8,,-0.019577647520157702,0.08828959076579558,0.028243460366336633,0.1899452719986211,0.01609838815586626,-0.053902626790218504,0.01884196883745427,0.043836321147723546,-0.00430220007822814,0.049787292444904485,0.07801113765125996,-0.09815014246181733,-0.023230123591320918,-0.03463369761157734,-0.0536007475475655,-0.018898192260622407,0.037692569357301156,-0.039881528308192936
GRN,-0.04070641378622764,-0.04513141149509615,-0.04129673322206947,0.07153237771694045,-0.10720452894016838,-0.08752688890357557,0.0172824750631252,0.04259822935680212,0.08030380703406119,0.043149362092495994,0.0017942525646940106,-0.007415626763355304,-0.08969159200268113,-0.01048805167170985,0.11184281940432769,-0.040106836665922865,0.061823859107033356,-0.022393970885712267,-0.019218822416150035
MIA,-0.02020929834812221,0.048610239601002796,0.02807394822683162,0.04778346685710177,0.06178636963581051,0.017006985196627623,-0.016965409487278458,-0.008274190894097701,0.11193408967789524,0.045354598447203145,-0.024345016926828368,0.0894098457115585,-0.07603148604803307,-0.04696156487449181,-0.036660302898742246,0.09822691820007151,-0.03637559562525751,0.047958791298532165,-0.017974455996706974
COL4A4,0.14223962799881812,0.03686469505781363,0.005935728737757867,-0.03217448750486512,0.08088434422312175,0.0015929668540090064,-0.019500910053584262,-0.012887215538491389,0.04144661979641956,0.07086751939500852,0.003073616414426315,0.03463379356959289,,-0.034906503852204854,0.08474062192548923,-0.014990303167734838,-0.014479363054053602,0.008593825209287032,0.014855119984618569
TAC1,0.07472649732005615,-0.005635836897064746,0.01999295542471946,0.06854026735548673,-0.1244375117251352,0.03965043704730088,0.04816349593383737,0.0037929996176471626,-0.0711540167132853,0.033955447384550266,-0.01259446971390445,0.011263908939967357,,,,,,-0.024177887486030124,-0.010752732346556255
RARRES2,0.03526477429738249,0.07371410736861783,0.001684557619859084,0.035423504952184964,0.0892133945283953,-0.03379603656497944,-0.02995732352405516,0.04458062220782313,0.08418520666251791,-0.01784568574714718,0.016243259112882963,0.016020669444358045,-0.05888618092026971,0.043130492378123705,0.0897848185772842,-0.05062064618551291,-0.015247266594644133,0.006334446502111814,0.06681397831464564
FGF7,-0.010906775293093201,0.0008867466306481254,,0.03003262641031273,0.033115034470497434,0.0028767832031387245,0.05639717021984958,0.06565219626180983,-0.039761869340995445,0.03016130516359374,-0.025661212202681576,0.02455006416324322,-0.07626836870476492,-0.007542598915871862,0.09817136016897518,0.013833988247333184,0.024142561497745643,0.0990230227037752,-0.025753426826631984
EFNA2,,,,,,,,,,,,,,,,-0.02203786568895536,,,
HBEGF,0.020258611961615533,-0.03653848666635225,-0.024910848401595326,0.05553149571931285,0.11649090437489398,0.043262969040382585,-0.048156941859070095,0.07012083247490025,0.06998613535535576,-0.044662011463459876,0.036869133364953524,0.06237610614284473,0.023741364553969472,-0.02250854692952272,0.013865133853728843,0.0156646170626403,0.010578616348822375,-0.01655201279227842,0.03266974889624368
CSF3,,-0.03922647733374326,,,0.06118812923436711,0.08654866972879172,-0.008233880853442309,,-0.014761242092499157,,,,,,,0.013718099076192633,,-0.019363725109903283,-0.032774120398036344
PI3,,-0.042159094572845064,0.019977020635528628,,0.09479128521035549,0.016187240536791134,-0.019867861678206963,,0.007312138955778549,,,,-0.04111427130952072,,,-0.07810967431187736,-0.026530902265018568,-0.04207094169680259,0.03350413883509794
PCSK1N,-0.0008205592640987569,-0.036454859163489506,-0.02023244571357728,-0.06972137593537776,-0.18543060919777962,-0.055916350463858115,0.005817472784784277,-0.07380934154770959,-0.022954444683794106,-0.012215866534551546,-0.08286131622074941,-0.023123025735728647,-0.02934321127554931,0.08849861180550109,0.023426562554781667,-0.030213857694117083,0.012476278226913577,0.08158036174299753,-0.02870968108597796
NTS,,,,,,,0.05498051768674401,0.07715272697159524,-0.018143342181638857,-0.02439690307263839,-0.008809391757309914,,,,,-0.01172546206297664,,0.046281925018578536,
SFRP1,0.12508347099539602,-0.03039955524772278,-0.03083516045720952,-0.05536748369564585,,-0.00311191466065034,-0.002290784148097607,0.055450901413111,0.04713332041415799,0.005970104621777402,0.012913255602454302,0.014786417224286948,0.12371980497443608,-0.06659435698037153,-0.06916666024294112,0.04023069710882747,0.01796622316941798,-0.013326199351675354,0.07488134439082147
CXCL13,,,,-0.018791619908291687,-0.07974315503790641,,-0.020108902223616047,,,,,,,,,0.009310924246802637,,,0.09226310461485168
MICA,0.06820000211503546,0.059118167949655666,0.013461493391157684,-0.019918191567537085,0.03877633541549546,-0.03993412801435811,0.025794960829163115,0.0326264902767826,0.12689172554181954,-0.028671946015221075,0.08287913808089974,0.055100106744106994,-0.019791391280141662,0.007195187862760307,-0.004354024671677739,0.05415931541353651,0.044459533822817116,0.012165947833394983,0.05953591341130374
TG,-0.01788110541366735,-0.012541693798232906,-0.04510216357449407,0.010499488562314951,,0.04007794083249866,0.0029602566930924594,0.0029222900150142938,0.06718966613147898,-0.020608104793540208,0.005716916643570116,0.04598353512036489,-0.039389941983853795,-0.07119828075080381,-0.03202880674638613,0.017282677676310185,,0.03256358890841953,-0.004957176012732247
ADA,-0.02125320229062964,-0.0212931024543043,-0.04726651381878808,0.05966380250520125,-0.030946244292261595,0.03981251942175839,0.004978312743607662,0.0798881986548204,0.05756379776198361,-0.014241634489254768,0.0012001383277918667,-0.01646560333678062,-0.007509150500982494,-0.07317443749612791,0.0841797509577644,0.08160695627155691,0.04768045615013613,0.05516592955597822,-0.05001145381160898
LAMC3,-0.011583929717543524,-0.05383222628388226,-0.05729511379187033,-0.009163025628968311,-0.08954702134432749,0.011119337309680039,-0.04639081751380465,0.06318726576970991,0.09989771840601988,-0.04357777684369643,0.017545623673653414,-0.04188068283628088,-0.06576175688827633,-0.021490582941647855,0.022961492445143377,0.0762769033061246,0.05604037002569753,0.02622694590330753,-0.012073216444180386
