,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05548471233639763,,,,,,,,,,,,,,0.0060127748966839825,,
BMP1,0.003545325562865067,0.1489665252341108,0.11840076230872837,0.03206362284723671,-0.03932724465869228,-0.010907363691437178,0.024965959208523184,0.027847805367718737,-0.09435172870120656,0.09325559846022384,0.03240022974488497,0.17986141827211766,0.03661990633157748,0.1744134153833767,0.03476475179211264,-0.025118672737815238,0.12125870690785379,0.017667760054782312,0.05140834692187961,0.05089712597761539,0.009623382911190033,0.12139106801045739,0.06461913178195805,0.09641403587042811,0.10916127651361432
NDP,-0.051249249018126324,0.09546251655509504,0.012862779957324405,-0.036754509196675646,-0.042583537067811324,0.026474548703781454,-0.05529956572815776,-0.01243439979260661,-0.027612696389558,-0.012147434403234153,0.022563646681952598,0.08165791083623233,0.1098949547710026,0.07873053123143538,0.09321116118839032,-0.012240787850495443,-0.32544403922955006,-0.047554791644747255,0.028371564595575487,0.02291756924703677,-0.044214854864682976,-0.01176354189128592,0.1906985312934211,0.05111412850371446,0.08003902964815787
TNFSF18,0.12283264516745454,0.07505990068557887,0.018100908140306,0.13003453104846407,,,,0.007870513091622741,-0.004582648349054045,0.07561124537126886,,,,,0.02437266390708959,,-0.03865458511397535,,,,,-0.057626520469401116,0.012008179406598837,0.05770214996248142,
IL36G,,,,,,,,,,,,,,0.019081839970054703,,,,,,,,,,,
RTN4,0.05892445385979957,0.1023967505095823,-0.03195661798739494,0.01641847845062327,-0.10155696251790472,0.011755338085111216,-0.18360121261466808,-0.07494331652079926,0.15729040667480565,-0.18134505315845012,-0.02482599456976848,-0.4308917618647585,-0.012789864194780487,-0.11160112943024218,0.00768587408612356,-0.00677587294880077,-0.05907921590195214,-0.045949696580121546,-0.06233772859201839,-0.003051069493186914,0.001075174335268526,-0.007427637194088688,-0.1335671234549204,-0.16774620048204672,-0.05629835921214378
HEBP1,0.0321021020797781,0.010089441645606352,0.10540953910768774,0.04375773673553497,-0.007518904774726985,-0.0030297776554411957,0.029488445959832826,-0.004239626971028906,-0.013373626531131612,0.022641378279589425,0.010044050310565399,0.1743847218129955,-0.06578225988643825,0.06837963403602122,0.09176415108543128,0.08644569935073475,0.026472312087539456,-0.06625436669492708,0.059845370822756636,0.04861670030369274,0.06175066203456266,-0.07539410736253789,0.1926146152746725,0.10037082440415859,-0.0724177217138554
WNT7B,0.03595932841916592,0.02820971255613255,0.020100449097898484,-0.0518738842941183,-0.032133540954443665,0.02861666752723981,-0.06450091010870754,0.0229623154382648,0.05939155137831415,-0.07737680224022002,-0.01972683162661059,,-0.024313698315125823,-0.059172021315391524,0.07038688782168949,0.01696788691229439,,0.05595068146495379,0.0060937766414292105,-0.011302482303424169,-0.0490921587930817,-0.044039797371444124,-0.020062210942956512,0.00713491926014948,0.06479953657106269
PTMA,0.07264226528548323,-0.12654773742087996,0.06306595241737993,0.045316027299035604,-0.10563837319711508,-0.08469459361407891,0.10785510749771643,0.04142750127892677,-0.044193332157161355,-0.20168564012883775,0.07793683314522147,0.5424462044487164,0.037187968536568,0.1442019423888616,0.010310783754451774,0.021693105613922008,0.1371798235695601,-0.00014277723410130092,-0.0017469203239549856,0.03733269348038174,0.03619256119810818,0.007784732701060905,-0.18035456226807053,0.02567186484240406,0.21433881809729605
FASLG,0.025312118106850596,,,,,,,,,,,,,,,,,,,,,,0.022438517863525936,,
CEACAM1,0.03665686247766563,,-0.03949669803711336,-0.015507509991515065,,0.07092092359083149,0.038632143720482175,,-0.05011518100843676,-0.03518496634437274,,,,,,-0.09311083958469742,0.01457066461322177,-0.032704408087030075,-0.033474701895979286,0.003121276585845239,0.024046184214918605,,0.04752211891277922,,
PDAP1,-0.018570743722251513,-0.03758514856696642,-0.032137612678310994,0.011680481403159084,0.06877364812014386,-0.021952782354864593,0.05143560201437041,0.03637050322971249,-0.04841597043197545,0.09447193369671789,-0.008386438929117659,0.07559504526719528,0.10072394759073769,0.10792895779311618,0.13222157073008572,0.035942647609746636,-0.03851541002052144,-0.07359777877810963,-0.03454315897446625,-0.002652583323511685,-0.008513489492359569,0.04259168044064548,0.01255952456841625,-0.05354661082186249,0.05952696765698571
QDPR,0.1006458607749879,0.050180110138602026,-0.038823778205332365,-0.028695520962906614,-0.012514178430471526,0.014233103696559377,-0.1392128710898491,-0.097729784627295,-0.0005750327673094686,-0.0021473865322984846,0.0332764375924968,0.21699774309641054,0.015419657912477288,-0.042930752046058396,0.0006468783653419499,0.0077780389662508035,0.013123763773051701,-0.050476474837610974,0.014845604285397123,0.03415845586869957,0.038271311956357204,-0.029635781080767983,0.12629409200935454,0.023358128655586865,-0.08880543501557903
POMC,0.06330986436925264,0.10197379149635842,0.05148447796961694,0.022189898314381267,,0.04960739070806906,-0.10616490265200537,0.04696487602481797,0.021354095876695577,0.031734569300155065,-0.05079471062276833,0.05445762669287449,-0.00040138777412679995,-0.0008943997569846589,0.02633739354072706,0.04717499405805878,0.08562056951568829,0.03208737094563927,-0.008380681730534896,-0.008330375308221075,0.015363728758145604,,0.08901347603407751,0.07179172972488582,0.03706769700576819
CCL18,,0.010899662748306784,-0.04271137214951061,,,,,,,,,0.25511239478199405,0.052044803746818906,,,0.09615146320752574,,0.2000468861770841,-0.06125829384905958,0.10304361394011073,-0.012355050310808961,,,,
CCL17,,,,,,0.03771274212621432,,,,-0.003965680619286576,0.07698700023299944,,,-0.011931808770275002,,,,,0.03401686414983914,0.03656827166544264,,,0.05663781549188847,,
VEGFD,,-0.047380628908089736,-0.0328343221327839,-0.040580496438530594,,0.06731293435269892,0.02241858408152313,,-0.04316082125367511,0.0469339448913162,-0.02665106729943965,-0.039260444272002724,0.045799341316724716,-0.027652885553753063,,0.09822701153030476,-0.02391626060451386,,,0.03463456665190515,,,,,
TNFSF13,,,-0.0293579202287852,,,0.017396634046924438,,-0.012293879573272139,,,,,,,,,,,-0.04557015129888539,0.054483985752832274,-0.025087980762759553,,0.03510192669968666,0.07468134922151792,
WNT5A,-0.020767705543138403,0.08559188018995748,0.011431427936593668,0.0667080622242008,-0.03928094645328435,0.01750223949098396,-0.019790917708689817,0.027559842505665014,-0.07144556731791223,0.07425915586167761,-0.0448611527719757,-0.016838624962791256,0.054429869862737804,0.060513407670408595,0.08659663061870394,0.11879831467334624,-0.07298239889664569,0.056347241427411945,0.019652901801746565,0.07576182806079532,0.03394697997160874,-0.006718710707865368,0.0493551901040189,0.13794721235104732,-0.007166416906612961
CXCL8,,-0.08615326247682215,-0.08752362575133904,0.08953207970975328,0.23152344197676156,-0.05938686355407327,0.16123664711571775,0.09216968422736606,-0.03752497002585302,0.14278113651037638,-0.024818632696169903,0.3594507367032523,0.15080838870875993,0.11286343954105357,,0.0023240398861162108,0.31053780170865786,0.015166696287599873,0.12438778136836812,0.14173699020362127,0.04783477784890048,-0.04462532349153158,-0.046703910579368575,0.060470250301008124,0.1905214766630656
GRN,0.0648395159627418,0.08971044831766872,0.1178106189424582,0.024959009921911995,-0.09356579195868915,-0.008397737146984085,0.1573341995141462,-5.909244886457424e-05,-0.12132475766704655,0.018327296994275283,0.01870479824538946,0.4677488817800906,0.06862792894761845,0.04159619427435251,0.10202009430034616,0.3312601285645345,0.09584242723622502,0.15694540825971803,-0.034607146193588456,0.03804279540194409,-0.012461908717128371,0.023000247012502955,0.030927310923708925,0.04975338797623381,0.053001564954099994
MIA,0.06310750640960076,-0.08926385706681046,-0.04463955043109388,0.019304498662667938,-0.009332053819997084,-0.017570786950466905,0.096878475382177,0.04379987168504746,-0.020200368491436464,0.050295265850910535,-0.010620435789064705,,0.0443993788106346,0.028673424728840536,0.1814964841131278,0.028725887378391535,0.13040505021068008,0.01833358011320833,0.08285520846180282,-0.046896570258804254,0.026388446475726707,,0.16659836996344252,0.0841198100946966,
COL4A4,0.022222277610179607,0.009440781984468863,0.015918027561365664,-0.0363524765527213,-0.038156206267235336,-0.007210946202113861,9.469686018181273e-05,-0.027800845268037357,-0.014950084716918185,-0.05030196554907037,-0.032856614067356446,,,0.03078609838553036,,,-0.06446745912980846,-0.043567017300139045,0.04209967388854598,0.0491743986061935,0.031480984017708796,,0.05832484476161378,0.05027792211137919,
