,MGH258,UKF248,UKF251,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01323178005952227,,,,,,,,-0.01509086151463026,,-0.01818616572819082,
BMP1,0.03870327961758968,0.018917670205335066,0.036280885937169834,0.0004968200573359268,-0.03552256709809957,0.022344062831521724,0.023293822716501576,0.06844362347578441,0.049065272817029805,-0.02392206595850593,-0.034486821795075846,-0.0024460159065906404,-0.006388607449227025,0.0193627352545271,0.1139487873162729
NDP,0.024504348947714805,-0.004670380350573204,0.026599181479403298,0.018922899152712187,-0.026976181273751596,-0.027141659151403756,0.015231296791273054,0.003942694223947333,-0.011427836508725446,0.034195097916233076,0.004184258245507458,0.016614535024406137,0.00600469156452887,0.03146666336427992,-0.02132115167680314
TNFSF18,-0.022403035978319566,-0.020499804298150567,-0.013446552471421274,0.01863883789385001,-0.0145689181267814,,,,,,,-0.015562939110689903,,-0.003359428726855426,0.09250877051146979
IL36G,,,,,,,-0.016974029354019003,,,,,,,,
RTN4,-0.02244990669876048,0.06567943878850165,-0.032827868690530164,-0.062016408563817974,-0.0343942285878235,0.010891651521639756,-0.05565573100766185,0.03510266667552021,-0.038068563874457055,0.003363357204913496,-0.02605888145794046,-0.0349893905855663,0.04410457858412168,-0.004471736764011658,-0.10254492570716522
HEBP1,0.04421943615446732,0.002973688204171278,0.014052011795515965,0.0596689584373178,0.013823219216200297,-0.006519097787643296,0.012079602287412786,-0.026078316107923532,0.027611213188305467,0.044274628006523264,0.028277804000194792,0.008546813331535525,-0.018782918098193074,-0.025742537366796863,-0.002900441689585277
WNT7B,-0.01973637301430035,-0.001617148302590801,-0.021169620378732965,-0.047849925577016256,-0.0013522959837444265,0.015589202846885681,-0.018656414370964547,-0.02062614477115073,0.02643151531320147,0.0016211210191635172,-0.033738463687555176,-0.0325433646894668,-0.008173887268393328,0.014370150498180755,0.021953264233945738
PTMA,-0.02394965224530753,0.004797338444655679,-0.021978296753465455,0.013537659451120163,0.023950697144683016,0.028603095754099802,0.020691004942916074,-0.04967358169849856,-0.021641965133348293,-0.08450753707387643,0.003444330820774662,-0.028178083843583425,-0.09325337103673094,0.018100218961061593,0.05241942363947222
FASLG,-0.019736378593722445,,,,,,,,,,,,,-0.01577285533175981,
