,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
DCN,0.04241845098304215,-0.011117484093870707,-0.00863663852069369,0.0014098356011284174,0.045220172119725593,0.051932170437170334,-0.019105592083172508,0.16743090688296763,-0.022780189256273644,-0.04298097167215914,0.035821559149865054,-0.07220256733008072,-0.03319136615589642,-0.017933385761194683,0.11412465792851163,0.055007772837243694,0.03690221195071156,-0.038904090282571344,-0.02412537803786624,-0.025272925100214352,0.026473115999617162
RARRES2,0.04743633073899322,0.016644133142181085,-0.024281202949892403,-0.032129501046790146,0.047732171701678705,0.017500883502248148,0.10735501720938183,0.22733314111928504,0.03842984253852517,0.027773918635369356,0.06436201493720464,-0.014672441010666065,0.07883586057935757,0.02722492181467458,0.009496211042695428,-0.03852441807285801,0.11380818205448721,-0.03442496907834374,-0.02531661980169442,0.05250367989055574,-0.009012026720271502
SEMA4A,0.11733630236578925,0.055523510617774954,0.018478898689814872,-0.030826071474156478,-0.004116805839660447,-0.017994700521547422,-0.1016371809134473,-0.046267010133633865,-0.02721531310364727,-0.054319665742845205,-0.013832990601515521,0.0343712699864031,-0.04406609938084618,0.08912846659157989,-0.030811573951444432,-0.007566864128093851,0.014891153971786213,0.040114715453505284,0.03636493339551643,0.028524087010283437,0.0009969167119325691
GDF11,-0.047304747761697755,-0.02918374122107308,0.07043557219545414,0.06236986175002844,-0.04286048690595347,0.04469229450677822,0.13567140702822614,0.12414987791940515,-0.03420918287710266,0.01707435835774699,-0.029342423344898623,0.008625961896340779,0.0628521524375174,0.007598203012668293,-0.00766734877226147,0.10402186335517485,0.012429257612854879,0.00410716919834477,-0.023775852780041056,0.05629986892338389,-0.03095214387025356
GPC3,-0.031444295822714574,0.03202884251547847,0.00884743182879891,0.05664719381983056,-0.026191264862961347,-0.029599548861993244,0.13442506893398637,0.01504352584617619,-0.04112828294094627,0.04828430332563532,-0.0019785501964473253,-0.027621472935920228,,-0.03844326594460555,,-0.04468035939608925,-0.04101927083014855,0.04772481011179213,0.08774384675909398,0.030784567655311075,-0.019631756781162083
OSTN,,,,,0.013537138831317228,-0.019823159846392602,,-0.03849238956421614,0.01830690508876839,-0.03617774391536578,,,,,,,,,,,-0.018916926412065938
GRN,-0.15506337454368674,-0.04217075785238387,-0.05113566882098844,-0.04510755895596238,0.003151886839916318,0.019928996775114626,0.01799850115016282,0.17460619299521887,0.00023941927920538062,-0.006505388447109516,0.05177651634847405,0.11520176256121027,-0.016391028816949045,-0.02525563028466782,-0.03169787008343944,0.07634793732020809,0.059341704672916266,0.011364642768129683,-0.11011711093516639,-0.04062821419511152,-0.016063370554697965
CALM1,0.014691475432494298,0.051850691494880356,0.09043638697692354,0.04553460604708494,0.02512366062474993,0.05753304016625275,-0.12436817451855132,-0.2077235831951798,-0.0009267129313546188,-0.03912956918443437,-0.06819615937966222,0.07947543149480958,-0.10163322430172346,0.06761112761785137,-0.003911443857522638,0.08799547275332276,-0.0252947984598305,-0.013573589270003183,0.016069586285822918,0.13621665706628883,-0.05978787387021843
ANGPTL4,-0.0027964850244464553,-0.044699853950415015,-0.013923740763677202,0.054400589319357,0.01433249616681254,-0.022386431538199338,-0.020410615040195153,0.018759604797954823,-0.05577110484926589,-0.015058878868246488,0.010561234922813956,-0.1140818416613424,0.013627514403717223,-0.01764710581737703,-0.079965378231816,-0.03943297252462326,-0.0002724898085436236,-0.09184786953099142,-0.10484363710969889,-0.09014928324371017,-0.00849912020307858
BMP8B,-0.008763384490344556,0.013910139279482805,0.022133850886012614,0.06363536353423023,0.0045542042599077135,0.035033441219685824,0.13033679507321436,0.0076797344166029055,-0.02700002321466697,-0.004610594705445664,-0.010285813627051143,-0.023723515303231378,0.06038956220495331,0.08564150341766456,0.036097217624290544,0.03329799307636986,0.08018786461635671,0.050650767851146465,-0.0035146385571353227,0.009923741601215055,-0.03766107764570547
