,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.018557937738834476,,,,,,,,,,-0.015863877272886025,,-0.004832289098439615,,
BMP1,-0.0037083700321703123,-0.05610098415793594,0.008119911998812375,0.036195043809555606,-0.0014252095696793224,0.12134377392086718,-0.04078029146110408,0.014825330526640727,0.024763747575159985,0.028649102543532576,0.0011346948960192136,0.0793040436421979,0.048924614750036524,0.004402981823096509,0.03418972543523585,-0.02548641119349598,-0.034995635404851386,0.015721229665335658,-0.009350123891500558,-0.030823424993384294
NDP,0.03947068967794238,0.016604985137810644,0.06075590173288111,-0.013906466444441662,-0.053506060578040186,0.00984242293932056,0.0341872477919988,-0.07178421327219815,-0.024247402110270957,-0.004007648871758379,-0.031938463989523866,0.0562320763908028,0.034093690972766356,0.06827739909420226,0.11260606511998301,0.0491533721420959,-0.01886735074390494,0.017147251349006378,-0.07127622501348282,-0.013148679736299714
TNFSF18,-0.030625580508060773,0.018617751895648866,0.044959602387415074,,,0.08501499191215788,-0.018525844122646642,,,,,-0.04625257954170802,,,,0.13778404564887564,,0.09807079025462004,-0.023592446670637285,
IL36G,,,,,,,,,,-0.028196077038399898,,,,,,,,,,
RTN4,-0.06196376463929208,-0.0003428733099308359,-0.04198321371784343,0.003645429992278699,-0.0468240254263945,-0.11913831627732771,-0.04409717070614149,-0.04073301312540883,0.0010011497152436323,-0.034148723129609385,0.1205435830137153,0.025127755247170414,-0.026151963268763977,-0.06698907431302084,-0.08816388078912941,-0.0561993119713169,0.02542315875568799,-0.013678309712499195,-0.01771915574316755,0.04928593755320944
HEBP1,-0.015377415735162924,0.06128299221737788,-0.011630379793838125,0.007360474643888195,-0.042282518152102794,0.04675924551219411,-0.003554933272029461,0.0056541002317735374,0.015181245965349952,-0.00011081057180112189,0.03257735663475699,0.034522654549801066,0.08315246972118258,0.033786548573689026,0.03624956672253544,0.03408382782023826,-0.0436957284772764,0.059359826831063466,-0.06270085279095647,-0.04151098643726082
WNT7B,0.012456525780274985,-0.02224259901160081,-0.019936824472943437,0.006069292521624052,-0.006438497002258562,-0.005179687441710774,-0.05310260765001574,,0.03161277912343276,-0.030990738020579386,-0.013446053213535772,,-0.04391934714860402,-0.020034906472948647,-0.03198216450823478,0.02399861381716338,-0.027464030079571235,0.045408797249724006,0.00045389667974349117,0.011732410965425629
PTMA,-0.06812222646040163,-0.017720529379006277,0.0015542488358014784,0.006210184736326331,0.04052971917769442,-0.05208216066361267,-0.05106829542379961,-0.020221288268954706,0.022245931356826468,0.07003795755873816,-0.05484616850511811,-0.09000715442397145,-0.05503127794312197,-0.04880075217478336,-0.12347726924098637,-0.039296688811517634,0.007796214550486073,-0.02756547894278696,-0.02665114870078501,-0.1278509273082086
FASLG,,,,,,,,,,,,,,,,,,-0.019999394949536953,,
CEACAM1,,-0.026155771928269782,0.027802816289464974,0.08018559165262457,0.0058961770362863705,0.050555255183271496,-0.02913673931828123,,,,-0.033068027398922985,-0.044644561412907825,-0.020913414690891204,-0.023400514206313523,-0.02379330490393936,-0.023507808298181693,0.002215106141600966,-0.012683947588361952,,
PDAP1,-0.02615576023834317,0.03188130634118938,0.001067195125010436,0.020087257319947215,0.005024788441815914,0.09078943832887716,-0.03330342999731005,0.009451270680693125,-0.0307753504312225,0.02381306122605393,-0.029109483971374132,-0.07892957447316878,-0.0127722089629333,0.01595811094746962,-0.045431338347027665,-0.006229337006879725,0.029254781338997712,-0.004084580719231955,0.00854743560202664,-0.0059883989852400074
QDPR,0.012871314809382577,0.02433615782275247,-0.013627936703323969,0.009332302982216713,-0.015525747524500196,-0.15048127343202855,0.013206466485583972,0.0259342180826671,0.03470095786635036,-0.025604731985514335,-0.013315310927863299,-0.09337769787925593,-0.03235739076690815,0.0012485968842752175,-0.0008321233044620245,-0.03128348585354818,-0.01679058511258847,0.012505492332026035,-0.004392203374235771,-0.05502060249301531
POMC,-0.01738794845745373,0.023155659050715285,-0.02718621632867468,0.001469733480347245,0.013663300532335708,-0.019335605766782994,-0.021495924530674775,0.07030942617534279,-0.021912639745979436,0.006019645239380687,0.08634020232828718,0.02049167204252177,0.016564821478330882,0.010744476528041629,0.03443381842753658,-0.03999296021936633,-0.0030338150966450193,0.08465561841836436,0.006570891096593427,-0.04525751099806064
CCL18,6.298565863990808e-05,-0.032639932063815214,,,,,,-0.054867869175696166,0.03536196094082695,,0.05270298200541682,,-0.027926437555828573,0.01820183045089686,0.030124608907934274,,-0.01459112250050025,,,
CCL17,,,,-0.02866296242777254,,,-0.023105334492002257,,,-0.02575791686093402,,,,-0.016601532212654806,0.004046097008062343,-0.020915605807126553,,-0.01812720519733585,,
VEGFD,-0.03418256712606138,0.05537880819808656,-0.021914629631071242,-0.0319337053874674,0.00872228068773728,-0.018546755523256686,0.045631955827374324,-0.01790322950737013,-0.014805065196946639,-0.02760555730849617,-0.05393107793634783,0.03934481236206401,,,0.04874296279962249,-0.022059508539033792,,,,
TNFSF13,,0.03332388585109186,,-0.019771069986635997,,,,,,,,,,0.1298921221991054,-0.037334155322293436,0.06627640783791507,0.10359187030449082,-0.0020542992697538663,-0.025665216758463734,
WNT5A,-0.08555508646001486,-0.034494942982447915,0.04380856947594591,0.04158633804349092,-0.015645316145654842,0.11176718375988712,-0.0026582918855988825,-0.05851637210630509,0.016822602924812257,-0.00865048924847135,0.0024539641111237225,-0.007186226954575336,0.05709355860382576,-0.03478225106474407,0.01776106168859208,0.07174221558489956,-0.01703633460488702,0.030987921285924227,-0.06173577944600081,0.06748809662343193
