,UKF243,UKF269,ZH8811Abulk,ZH916T1
IGFL3,,-0.012843355196754693,,-0.015954311151966813
BMP1,0.0859665741338561,0.04534564946621174,0.027662506602873612,-0.012124181429634869
NDP,-0.0038159289711564817,0.07233117938274986,0.02136047323428435,0.011265249645253182
TNFSF18,-0.019872599663920746,-0.01907199689909198,,-0.026912070575319955
RTN4,-0.06783150032774177,-0.051207279988559055,0.015425275005494446,-0.024129378041583684
HEBP1,-0.02160024091817626,0.021081938620251563,0.051039279078998245,0.021097894922128643
WNT7B,-0.03283796041112631,-0.013185634645179073,-0.019892965339490597,0.002592472119057285
PTMA,-0.0400435905677888,-0.007037652306090272,-0.06403158040957888,-0.07110957311835354
FASLG,,,,-0.013837168619208919
CEACAM1,,0.08748654740327091,0.23148157947297493,-0.019252387823484384
PDAP1,-0.00967417111207939,0.0839439039926213,-0.0422580371668051,-0.012449795427074018
QDPR,0.023345622355947213,-0.12847734298316021,0.03829893144233786,-0.003343877923777649
POMC,-0.03752278463779137,-0.03235227728702282,0.04209521384465705,-0.012095365710573095
CCL18,-0.004311753364709996,,0.03010679635932398,
CCL17,,,-0.013311994121356183,-0.012541839167806613
VEGFD,-0.030027650888936528,-0.02151606510451292,,
TNFSF13,,,-0.025543717226689463,-0.02043588009916016
WNT5A,0.02747528979857752,0.01836396630246516,0.01799555487150916,0.026438140717709925
CXCL8,-0.0011648320057302344,-0.023543122931760224,-0.020807372621688212,0.11794430704437765
GRN,-0.04489742603809592,0.040625743685371016,-0.01680896818847918,0.01690982830885235
MIA,-0.046850623464206556,0.006291964031083085,0.06284921993904098,-0.05067306427045896
COL4A4,-0.030228071074287145,-0.012656173246215745,0.12032042113613574,0.011930654318642197
TAC1,-0.03785830241094893,-0.02881441489136694,,-0.016487522893966194
RARRES2,-0.05401205985824255,0.09170465368170341,0.038496049574212626,0.08740712909848648
FGF7,0.01411330933265517,0.007443329526053182,-0.03481932320316389,0.05009198967790256
HBEGF,-0.030316264612353032,0.004771341903425745,0.010508732310728408,0.054721811413589894
CSF3,0.10844622505400055,-0.013389987693410968,0.006604941061991633,-0.013204621836645792
PI3,0.03109758911031499,-0.015077302871489087,-0.02381224217489298,-0.02868925644548288
PCSK1N,0.019457803826060726,-0.019113324418490125,0.004922768532993013,0.016274842750777604
NTS,,-0.016457905575096327,-0.017490594533365593,-0.01955424434176233
