,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.0009934608697480466,
BMP1,0.05960944655544099,-0.009086271810808866,-0.01706166657245824,-0.002044556407589171
NDP,0.0396732354433317,1.1371772550858375e-05,0.04429763046514415,0.009127637674735586
TNFSF18,,,-0.010720495960008186,0.04195796931771558
RTN4,-0.028555606645378998,0.05088724831977631,0.030917568087667314,-0.01131813290458501
HEBP1,0.09722400456374099,0.005631413193118719,0.009648130273666539,-0.01151705298423679
WNT7B,0.029552228806273374,-0.021233124795792657,-0.007983857016613485,0.024675618472327666
PTMA,-0.04593524615003788,0.038426258696841006,-0.08971358039216885,-0.0810768104803021
FASLG,,,0.00423791966657818,
CEACAM1,-0.01626885547876339,-0.014092733735174175,0.008484244922464112,
PDAP1,-0.007166100957336252,-0.021388184425119645,0.042399704704174014,-0.009448794687735995
QDPR,-0.0457094810923381,0.012605308303860453,0.05399032291617732,0.048864370265992454
POMC,-0.03811211986506901,-0.023053861089877857,-0.01836552527097926,-0.061059935276420514
CCL18,-0.03972746776159367,0.023162584492862435,,
CCL17,0.17396948019996944,,-0.01660506524794411,
VEGFD,-0.01626885547876339,,,
TNFSF13,0.08349311835303623,-0.01582519545385704,0.03379086780120526,-0.015171579232548393
WNT5A,0.043326718971686315,0.01693428417927853,-0.02861153517682412,-0.02462334335955577
CXCL8,-0.020509235499498724,-0.005389773299600638,0.11560858824363683,-0.010652225849369801
GRN,-0.007216702136286833,-0.01831579392747128,0.012492207167076204,0.06301958334717175
MIA,0.06881633372594424,-0.037171333258431645,0.04762939829828883,0.07694641904942413
COL4A4,-0.026048981402053296,0.09717294422819768,0.007622860873258209,-0.034722263740896195
TAC1,,-0.024313980466286293,-0.021829046742524956,0.049786657099302425
RARRES2,0.010895517140935488,-0.010282308367023353,-0.0010109686391597727,-0.06312959522639507
FGF7,0.00842094835444114,-0.027454724907900768,0.032252976681462035,0.037611281487043964
EFNA2,0.010662149243557717,,,
HBEGF,0.04803631882094063,-0.022399157675347135,-0.03318095747696657,0.09296219435061517
CSF3,0.06043025992172483,-0.020203858857999104,0.1259537278020698,0.034067797651525906
PI3,-0.008715568490409668,-0.07529024048007306,-0.03798382109819046,-0.03341045893710649
PCSK1N,-0.023272295127162525,0.035356757902970666,0.022482252979832678,0.015514521783516711
NTS,-0.01883807131564919,0.043916118316637734,0.07437500291793904,
SFRP1,0.0582577871995553,-0.025435014633925054,-0.0252877034284548,0.025027492710592666
CXCL13,0.08790125145450335,0.025951994346579386,,-0.029625802637196007
MICA,0.055346867381092825,0.005466739878621721,0.03875258930045096,0.003910742848140068
TG,-0.02320114413585259,-0.016628086304363254,-0.0098613201353174,-0.017603457021485677
ADA,-0.05173417971184515,-0.054395133562388905,-0.02672295940503713,0.014768084372573112
LAMC3,0.04039898028222534,0.005378936543393204,-0.01564795206862915,0.01911539688962614
CCL7,,,-0.018320040864191513,-0.042929505070897635
NGF,-0.0152546169163762,0.023275153028431084,-0.023473442105114786,0.05747334614507512
TNFSF15,,-0.012546249493358036,-0.04840471976965872,0.01143396193968137
HMGB1,-0.01768192658032235,0.003956337952301768,0.018781353583716864,-0.05362585589629779
ITGB3BP,-0.007848452313611374,-0.05752226593650716,0.007401687439701363,-0.015062152242620341
AANAT,-0.020808281027609208,,-0.019383367219923304,-0.022301417017546232
RELN,,-0.015154509721711687,,0.028950264844349503
IL15,0.06895130891477638,-0.03060416388486007,0.045567561204728727,0.030655326367545376
BSG,0.05779492479587098,0.009849818428904374,0.026174872547041136,0.033413244288891156
ADAMTS3,-0.008748010371175355,0.04352600174122119,0.05963701745397463,-0.024143256798971453
