,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01978136975835203,,,,,,,,,,,-0.02071950064200107,,-0.03430999093656875,
BMP1,0.009074510279093917,0.007948570262632725,0.06542304725163238,0.0797742869764007,-0.0834556641164691,0.003764926515199551,0.04181900531860362,0.1563175647667034,0.03875194099861519,-0.01069428665283935,0.04618169638617367,0.049209893811175284,0.07356451968680258,0.035274826375410226,0.06621555838005544,-0.004578008772485915,0.06815009383425946,0.010476753997016511,-0.002953665987763346,-0.014807561994261946,0.0675448539541489,0.008916328604292457
NDP,0.08177657220443425,-0.0038608267747335836,-0.027228344924612645,0.053605396531044854,-0.057591856897495304,-0.027301826011026053,0.019697403425164028,0.057093386022059225,-0.010505385983013697,0.005558240299573043,0.03593997750271383,0.10930410763185264,0.034120880409678964,-0.024501924605051156,-0.02684281212261055,0.029112949213882754,0.015223978213850575,0.0525220577611782,0.042881363660207956,0.04154403396802609,0.023050975060556027,0.07938666466074454
TNFSF18,0.050512022035646115,0.04326993364895514,0.012571627199991858,,,,-0.017509960236831955,-0.0160081036436214,-0.026233710155511333,,,,,-0.025257711380729422,,0.023840249592256644,,,0.025867197190128966,,0.0024481386673016617,0.01956009224808553
IL36G,,,,,,,,,,,,,-0.0106302398140211,,,,,,,,,
RTN4,-0.07576782396287457,0.0247093786110778,-0.02676993531190916,-0.04094686870660716,0.03889111641297214,-0.0011845230345348184,-0.051785290134343416,-0.13219019679624103,0.03072888386492635,0.06472270221092272,-0.04404913700239747,-0.0062760380582499095,-0.059061354556768496,-0.031125240477420928,-0.045150634888567374,-0.043866220701070775,-0.01544742818565562,-0.021774636737865338,-0.04190989327652351,0.00032471587663445713,-0.02187111848001003,-0.08859118135464737
HEBP1,-0.008104908631909229,0.0788864231037044,-0.022271289650480107,0.03515722101609206,-0.05154646972319587,-0.013517107783055407,0.053032625241873146,0.019503545892413765,0.01809165906196896,-0.06565645542864652,0.047458160053373985,0.0020969841868155557,0.03289355484101499,0.026735014917017335,-0.0066522904299952884,0.00798248591090576,0.0011760363213889399,-0.02602621321832876,0.024650169765304188,0.03025107664416672,0.040420393280552684,-0.03373633361838967
WNT7B,-0.057073459901554074,-0.005239853482794166,-0.02655009755323711,0.03075412565221449,0.0233118160388029,0.0219645208977985,-0.012778409777986836,-0.05141406173610558,0.08427905589209923,0.025821495724279404,,0.030967748201129595,-0.026874993475562298,0.025668582779600504,-0.0091515266695299,,-0.009105930563132015,0.02065900369110208,-0.033494071041069634,0.06027799037373327,0.08339516322994281,0.033655515122117625
PTMA,-0.04000739849277868,0.027611326344342157,-0.006956827781089856,0.0620510815698792,0.03837386325075851,-0.03295505885616086,0.09310605898956412,-0.10603964574802532,-0.008089940957232901,0.012118556083501184,0.0706597021234515,0.07530286237044238,0.03861621611846792,0.06765741868991446,-0.08869785451564402,-0.05335122691242169,-0.027906985484823427,-0.002804987723926434,-0.06016544076774276,-0.006179635553598481,-0.000440321288784693,-0.015320446567696851
FASLG,,,,,,,,,,,,,,,,,,,,,-0.016047371243844057,
CEACAM1,,0.00203594563344339,-0.02037560299127038,,0.05009259271961822,0.021687400356686776,,0.05693539960176272,0.013339457024356193,,,,,,-0.010431488812938608,0.0713015375003281,-0.03044130626141734,-0.004779881498036543,0.002051016497420092,0.07910292767404449,0.04595923418653947,
