,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.04753352869079588
BMP1,-0.015285577241271336,0.07114861261928769,0.015705839800886696,-0.011510689669681249,0.02372975827271354,0.09698676426334894
NDP,-0.007794531883766084,0.02054552249218014,0.0003867807694595725,0.06840736362973202,-0.014915043164762515,-0.05765034559532715
TNFSF18,0.06407062995739954,,,,,0.035037371702762415
RTN4,-0.007992678348003655,-0.06861443144870732,0.10194182766549399,-0.047243812863803435,0.01003830651807211,0.07382561356029102
HEBP1,0.02992636943711104,-0.08676592151374084,-0.007150635703688068,0.024905112549935812,-0.0033906264518064476,-0.0074726779246181525
WNT7B,0.049838518062814884,0.04162768613056009,-0.04176057630855606,0.07135732112027278,0.042104736082707525,0.01310784637314781
PTMA,-0.03774667962372649,-0.08374438227093482,-0.06442247391782187,-0.034593286413403264,0.050831239558540214,0.06317530490412834
FASLG,,,,,,-0.01613386137194478
CEACAM1,,-0.03891313433452994,0.01285361533403885,-0.01517514285656171,0.20517319197407557,-0.022447898466151157
PDAP1,0.017309297167720686,-0.09529827018272752,-0.02940185661158094,0.006620357389342904,-0.032432826653904394,-0.017390069825404655
QDPR,0.013369941744754003,-0.0878346215177995,0.0442990745621457,0.05961495422495814,-0.03507007157173536,0.04689471236367855
POMC,0.006225048762590757,0.05172047730893475,0.041413750199972954,0.04828271619594914,0.005088075236009264,-0.016847244131535478
CCL18,,0.03259157786103949,-0.04282264738137545,-0.037056693963419395,-0.038905345624690536,
CCL17,,,-0.01660152966498247,-0.021906271400324605,,-0.014623533184506904
VEGFD,,-0.03759050427009385,,0.011181359643350196,,
TNFSF13,,,0.021115331928088028,0.01110682538514911,-0.01724309138980313,-0.023827826747433608
WNT5A,-0.06880852148525742,0.05653802991695035,-0.02335311606222811,0.037997005582523356,0.04533450441741229,0.005564200068711786
CXCL8,,-0.11224876516276372,-0.07369197108714638,-0.11864865636246787,-0.005867740742113976,-0.029813979869790546
GRN,0.034019910186783305,0.016491348463533968,-0.005466498149113661,-0.034354471245019495,0.0920374198904421,0.061655997580805734
MIA,0.09002433514344128,-0.06649612825470495,0.07948473347987621,0.12464752304232934,0.024607633595282355,0.04760702785641906
COL4A4,,,0.04629461620578594,0.05975902133027774,0.019375965012682662,-0.00421178845141251
TAC1,,,,,-0.026492449237199157,-0.019224121354475786
RARRES2,-0.02121522094806809,-0.12543090142049126,-0.028200932308039963,-0.08852642134829548,0.0022198888126843145,-0.030143178771872038
FGF7,0.05691608826586912,-0.0976418160303721,-0.026570900144105805,-0.015284772413130397,-0.006193573152837981,0.05781757079713596
EFNA2,,,,-0.014422957717905338,,
HBEGF,0.06324647851210985,-0.012686467687326512,0.02734919218192187,0.009548965052401348,-0.003697918604733234,0.024651347403283494
CSF3,,,-0.07952065485229393,-0.02157002748961606,0.0996210492591081,-0.015396324497025451
PI3,,-0.05341020863891126,-0.13254206143230107,-0.10575033916765271,-0.014773525738335591,-0.03345109820465978
PCSK1N,0.05557550166058924,-0.030479198723462178,0.11656710699249348,0.0017624478413636488,-0.016773665354701164,0.005554215176913667
NTS,,,0.02865691474402575,0.07566473409537612,-0.009474582080108776,-0.022799857118541465
SFRP1,0.009276602462930243,0.069987918577854,-0.032703025792737296,0.041335003199391894,0.00975197440463202,-0.022270046201219397
CXCL13,,,-0.037290439418046814,-0.014603817568525652,0.127721937226091,
MICA,0.1307857486193674,-0.02603096794901365,0.08919658054792838,0.04464876113881842,0.07832893881648562,0.04388604225428238
TG,0.07442686236324217,0.085260083179133,-0.02205928230446584,0.17227704855121817,0.0023994783078057163,-0.0011414192976602275
ADA,-0.030916336892451775,0.015868751787226545,0.027635371400493138,0.0737686434105214,0.019984252056686674,0.05344905343867355
LAMC3,0.05414997989421982,0.08382984214663244,0.0270873911214375,0.014547174108453036,0.07441532149458135,0.08145122360198372
CCL7,,,-0.024881866304897096,,,-0.016133855634936252
NGF,,,0.03193510346408401,0.1266209870975459,0.013431228697649875,0.026789296949211786
TNFSF15,0.10035681105883319,,0.11828518546585644,,0.12272125810126758,-0.0031738816567784068
HMGB1,-0.08204725636087522,-0.06682040264705245,-0.052540782450939356,-0.041558324467646665,0.07189702614631728,-0.08900661421549758
ITGB3BP,0.06815263211366247,-0.09616716659524902,0.03491932870054398,-0.06862667281495068,-0.025132497702071214,-0.03342791094615633
AANAT,,0.05454922264011398,-0.021828417539390105,-0.019409394693169546,,-0.017070292078685233
RELN,,,,,-0.01651231397811557,
IL15,0.0007761804924859394,0.05855513107900887,0.019104746926184864,0.05659353387508073,0.0127355604311897,0.08360598037834895
UTS2,0.010775169256019637,-0.017740670025881755,-0.018588495104026798,,,
BSG,-0.0030900096040468385,0.04274540961333326,-0.04555585303826064,0.006474073492656084,-0.050641496687365284,0.0611838861283562
ADAMTS3,0.05491876154091292,-0.004904174278272577,0.052354017223125396,0.02615687680250796,-0.0036984180502382053,0.028351567585280776
CD34,-0.029360007155317298,0.13822360999438038,0.003622510561152787,0.08001827980076,0.09640646049005121,0.025394292333681835
CCL23,-0.035210598315224564,,,,,
PLAT,0.07086396121336878,0.1294241576462657,0.08437448329823047,0.08508617749821014,0.03818522079488182,0.06158658028578773
