,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.007830701716784861,,,,,,,,,,-0.010961914800583882,
BMP1,0.023782116838235483,0.028742446627444945,0.002436949231742609,-0.024225593129618465,0.0374963321210241,0.1505413921943592,0.04882275338181447,0.02739831041302621,0.032544627656676706,-0.06927215533497547,0.026515691272977423,0.03656850799482986,-0.002085760466036123,0.04458084293679537,0.0001682648903815694,0.017734726238440496,0.1000607512963655
NDP,0.05217901647478668,0.06358160304842443,0.0608157913039233,-0.025627300173531885,0.006903490053395356,0.050607594090396425,-0.0067847878575021245,0.1264279251358602,0.02918980108193097,0.03518169269993182,-0.04255703656985338,0.04263832332221942,0.009936671078508133,0.03351956247752495,0.021002655183797472,0.03677498474340978,0.00915629716469562
TNFSF18,0.01593730329295688,-0.0351678227697178,,,,0.10611741109273883,0.003913241682720439,,,-0.025257707605219323,,-0.04723468784987603,,,,0.020139522920609616,0.04323510840611406
IL36G,,,,,,,,,0.05896663644569266,,,,,,,,
RTN4,0.07866565498185221,-0.020090710308823423,-0.003170659116405667,-0.006823586028578238,0.023266992842523614,-0.14123025443604426,-0.01837647791026341,-0.03656347053851694,-0.02049500565498279,0.022633456163252706,-0.004940296493863194,0.0553193057412725,-0.021521198125617525,0.03523941476410206,0.06586312467524358,0.0540650021462516,0.007079958647533514
HEBP1,-0.00585641954204602,0.0071580744308361215,0.027649717792158048,0.03670411387789755,0.04279799879692338,0.064258417097645,-0.013828959910752673,0.08617605056211178,0.016400021912015585,-0.03862016962558351,-0.03985652453189868,-0.004914355729282702,-0.010494414967843554,0.001608940546817519,-0.02447646797484117,0.03701353222559807,-0.022766616657241754
WNT7B,-0.036672403674898976,-0.02184516134577422,0.0023261335581994387,-0.007237192802807389,-0.013452401674098263,-0.04085912109645775,-0.04933872030477,,-0.0019936925622147644,0.026656040656384515,0.06689926887920802,,-0.03810888537451195,0.049966364962335225,-0.024159454768810155,0.060568551776173936,-0.04935347532066844
PTMA,-0.017988552071472076,-0.03216223297215811,0.13880400354585237,-0.004027408765154872,0.007776164984581826,-0.06646999086289142,-0.03671483240445942,0.097694235668282,-0.006572871075908178,-0.08091168841190015,-0.09040296301389505,-0.028245370516021023,-0.13514411709234167,-0.05865065470258704,-0.007995465056788852,0.018491074690703577,0.05235326387160978
FASLG,,,,,,,,,,,,,,,,-0.02315986477272044,
CEACAM1,-0.019128113213274366,-0.016764847434900355,,-0.009440133558785556,-0.022809680456938375,-0.0011910679510336018,-0.009799466407482535,,,,0.12457762749500198,-0.03321400196385608,-0.03417665880715003,-0.007741550775290865,-0.016034981497932428,-0.03222355026626535,
PDAP1,0.027555607198805978,0.03355390417287839,0.07042693445638244,0.009616478702025387,0.06909557166729854,0.08873707855750963,0.04423662117862797,0.01625087222633113,0.01065981570546246,0.07076933114628586,-0.0057881306968994364,-0.031206202152842623,-0.005366307955476854,0.03233044530706687,0.03566639674326479,0.012273527951034877,-0.045384860523108465
QDPR,-0.016714336867369,-0.028584941854020537,0.03107922801283827,-0.04403621040440644,0.006122451785833097,-0.10914099145567806,-0.007306659751877746,0.10585162210209734,0.0056140489658362755,0.05098967419332416,0.0730838306380355,0.01400639010488951,-0.06598669567826289,-0.03555044773525142,-0.009770269685358771,0.04227203257804062,-0.04839377327178337
POMC,0.00862523937402406,-0.019191201480852273,,0.11015363238395093,0.02815120118192891,0.006031395071998651,-0.026067478182153683,0.031049700351980593,-0.001351717602402408,0.08083707328071445,-0.00676325577658333,-0.016755895994114228,0.05362219042097087,0.08076127749638452,-0.02623112328514642,0.00044576446515313896,0.03329963396175912
CCL18,-0.02387007798899789,,,,,,,0.10411349985702881,,,-0.04880077154135797,,-0.02423181301244283,0.05841232114901956,0.04002193233713768,,
