,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.02521587442146568,-0.016190502707939695,
BMP1,0.04604711312068141,-0.03175406609773965,0.013195386012598101,0.0035751792992766655,0.015179393191862463,-0.011681802397509619,-0.0216853080785218,-0.008224359347858076,0.09070779630282422,0.06576560683871163,0.014830485817380674,-0.05808077868858404,0.12771020522076848,0.02101966684106205,0.024001256379708916
NDP,0.02855779753746089,0.037124148279359316,0.0172676755806839,0.0001626601513486462,-0.0031715785980030663,0.009641304770653577,-0.025674442164856606,0.0038924096474498952,-0.01706052376790338,0.036631008444863694,-0.04215282659717907,0.06287674209447117,-0.029947998203262743,0.05256346400836857,0.03609783170714146
TNFSF18,-0.022885149103990837,-0.028592023251272327,-0.024102611009505972,,,-0.01294157651079319,-0.012622089446573373,,,,-0.04222229766889285,,-0.026004686204536307,-0.012455483607758824,0.08866366213400041
IL36G,,,,,,,,,,0.004099835166825342,,,,,
RTN4,-0.05529457107512418,0.07258194088239413,0.05662152911904597,-0.04591282138042607,0.0126230157858436,-0.03979466568772166,0.023618791678220966,0.03712329755337012,-0.04701185855271774,0.009438454911206819,0.04447353621372678,0.03392512827613272,0.004924041954700377,0.02438202442509036,-0.013608349882671832
HEBP1,0.025235078652565496,-0.026564390516629975,0.043552117297967874,-0.005187730293886614,-0.015317136227504758,0.03796094629092739,0.042750546295636994,-0.021360833429694543,0.06541185585893514,0.05047223388957874,0.0420250799283126,0.017470815117565177,-0.01732502863469167,0.018290154258384678,0.0627441293995078
WNT7B,0.07251032830890311,0.05734557626540984,-0.02500445336697016,-0.03635146464494726,0.019780227410649453,-0.06115900376730899,-0.03618004443778265,0.08479982225021222,,-0.026223785464995236,,-0.02693870251296081,0.003257523983360886,0.10044126671178946,0.026356336883122982
PTMA,0.030593770624062613,-0.07325926897638897,-0.021145486985699687,-0.0020565846705017125,0.015547619248712279,0.08430824255651494,0.003218020994380484,0.005465584648322194,0.09113003733033648,0.04171556068357012,0.004146636293915147,-0.06079170756289781,-0.01551537139883008,-0.07455518182924357,-0.009332554413382082
FASLG,-0.02016110527730495,,,,,,,,,,,,,0.10095165048260472,
CEACAM1,-0.01142227251022626,,-0.015340651358695086,0.01081788920563487,-0.018590621103170384,,-0.01985153968813039,,,,0.0010611194583572345,-0.0182720318703958,0.07155643322827089,-0.01953740491967294,
