,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf
IGFL3,,,,,,,-0.014513716929198896,,,,
BMP1,0.04006537763820587,-0.026086684873176436,0.06357637466763574,-0.03029032559824872,0.006154073284360906,-0.013539288445043292,0.05942553952952513,0.010205688680054212,0.0010017251436836557,0.08840833581728325,0.0789098974166628
NDP,0.02091985132481116,0.0425007290355725,0.04029328654586326,0.012120653633860787,-0.02326690489628647,-0.039492819558127175,0.006918718870357261,-0.04919775505866842,0.003417570676156071,-0.04399262024585644,0.06986855197419307
TNFSF18,0.1091200221634148,-0.03292272195210151,,,,-0.01258239403119505,0.05112190889536604,-0.013506325325882383,,0.08230696181563203,
RTN4,-0.014771256821950159,0.029476761276352494,-0.009050664330392583,0.014597175303125634,0.04923160297177024,-0.033683863108146354,-0.033393059776917554,0.010296148147724477,-0.02646268784017568,0.06560447708441415,-0.0938560708819302
HEBP1,-0.049052859717278886,0.08142156100742724,0.10707026006264911,0.035339138362427476,0.005339828962350464,0.10077990627827708,-0.03851652231056542,-0.0019805866724001966,-0.021581301245078573,0.02783370924940014,-0.01368734143106249
WNT7B,-0.05955843730198433,0.014817592739615441,0.06469958887418518,0.05560192126867725,-0.04105854163033994,-0.0242765401323811,-0.046825941033763106,-0.031043484873717973,-0.011246854524369656,,0.047440286975224316
PTMA,0.03994928236756939,-0.0036503725869006156,-0.03838641264998252,0.004277714889980362,0.004467127158896391,0.06621955550250963,-0.04619208985516221,-0.03342368505496042,0.046149336652629956,0.042002067634804366,-0.07890708625259397
CEACAM1,,0.012044428314618692,,0.028814439821921327,0.02399751323898274,,-0.014348453856645632,0.02987190669458196,,-0.054743195033928785,0.1999273046059957
PDAP1,-0.014559822929701954,0.051944572913199094,0.06301947666771769,0.0017356920416479393,0.019618098321119045,-0.006076519850945322,0.051134533422350796,0.007885825599620463,0.007035214196313972,0.02699739567682311,-0.013191536765495072
QDPR,0.028045997907375754,0.024253406763481738,-0.05397938155092369,-0.06081108756271084,0.020823758003570007,0.06535059984985915,-0.0395272317949048,0.026589878486288278,-0.036429500379392875,-0.013186261196202576,-0.10966990581171661
POMC,0.03047533347831493,0.008997127023962668,,-0.024467730499159894,0.007909183665916478,0.048180386207550906,-0.03655990100448582,-0.015671671853105917,-0.009368803018812237,-0.06613889483572691,-0.011713794020429966
CCL18,-0.0014515764088102983,-0.026149124137888557,,,,,,,,,-0.021922621810681418
CCL17,,,,-0.015228931843954545,,,,-0.016845017282145363,-0.013920453093406804,,
VEGFD,-0.038557338512119586,-0.0004719075705231339,,0.01719035213101257,0.005388760754341649,,-0.02431436907047641,0.013234357890365742,-0.010210820689976901,-0.04725095660930392,
TNFSF13,,-0.019732974461063795,,-0.0105045763524009,,0.017726125809573754,,,,,
WNT5A,0.020065443724899053,0.05576001612956833,0.00034846652072827156,0.011398882024926575,0.03078588933882168,0.013447091752716727,0.07377077803868,0.05115768643692825,-0.033400138961517334,0.002431104119946346,0.09027178760405927
CXCL8,0.05596118338786278,-0.021489640581095763,0.013062390539979115,0.04255953435354549,0.01638397348774422,-0.017356976584945116,0.11608865478422452,0.025151665881478828,-0.009508760207750369,0.010365368178881267,0.07373034450726314
GRN,-0.06142835463722158,-0.024861072344021087,0.035692403555712605,-0.048574194597121804,0.0023712497368150775,0.01747352889373286,0.016072754025129768,0.02985501881050391,-0.03992946985213961,0.04642226118136467,0.06263635010255723
MIA,0.02902091556053439,0.05141959876093765,-0.0025462337419039725,0.043794581539750126,-0.035503416699908884,0.04849088849558156,-0.011424939012455485,0.027444360661377357,-0.011612658156034177,-0.008653455955416514,0.01000790643001029
COL4A4,0.051617557810763444,-0.020630587981551565,0.13866548189473318,0.03783052387241011,0.07426922613197658,-0.011609946849547206,0.012060410248067333,0.014420435281412878,0.04267876630052763,-0.058274027941792664,-0.027717043763605495
