,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.013231781339424776,,,,,,,,0.06527701772659758,,
BMP1,-0.013823864106389777,-0.003300796165866563,-0.028662035513661577,0.028769380938826423,0.0979031389799403,0.11211442697379662,-0.006575380783409727,0.019380065962797916,0.022900009207495645,0.10478386636119438,0.03065647402700509,0.019535789664395467,-0.008078342039572818,0.04010324970683106,-0.01442257636260645,-0.09034345290075285
NDP,-0.025488936678126232,-0.03563665587218376,-0.05048804237332849,0.0018175438488188115,-0.0009786910905017385,0.016473361584814362,-0.0013571694620772184,-0.0032573503466618503,0.07502274596137906,0.05319170095602196,-0.0034804131187802655,-0.025147669447045815,0.04943899586180648,0.07974192773558492,0.0035238044748376945,0.018723545759585514
TNFSF18,0.035736719629986556,-0.02998952436794903,,,0.15635659592200446,0.019282083706434982,-0.010647509681371023,,0.1728568397683221,-0.01635262994452456,,,,0.009452463344418603,-0.006775837300291536,
IL36G,,,,,,,,-0.014714568298722268,,,,,,,,
RTN4,-0.039817137646168475,-0.0393702673323933,0.0036910179527850145,-0.026157552928556014,-0.1009802395273275,-0.13657490610086717,-0.015080059635239356,-0.052132708459847896,0.015057556428305927,-0.04017240615705525,-0.018506818688875746,-0.06725302051304828,0.0654126815761809,0.01795302828719974,-0.03822687827349872,0.09649369998418209
HEBP1,-0.0039669331729047476,0.05849465996949293,0.01832554627126348,0.012013492393943469,0.037922314282625935,0.03827376997973959,-0.0013691337560244267,0.01908434406611342,0.08455643837694088,-0.04242687484258284,0.014189964082822443,0.022293524252682644,0.016391423951580657,0.08103356193830802,0.04133195947674474,-0.033974786083525485
WNT7B,-0.044679693486909706,-0.0007085437221397569,0.024879858597896685,0.056681491053321376,-0.03230029024584706,0.030783689294925722,0.016302200092859598,0.025460725092064325,0.037893258985186855,,-0.018712064436901352,0.006211272941907107,-0.003690358666038485,0.04308610908566043,-0.0280414549453964,-0.008814402574212128
PTMA,-0.014115575466707511,-0.020162796271398227,0.03495643070164651,-0.01573550993879883,0.12424324976055563,-0.05588357395683568,-0.0059667085286056075,0.023796116664541064,0.028660036319832192,0.02437858648258817,-0.001339167755648783,0.00602570758353305,0.04793900442971726,-0.03251815406397887,0.1035501612537545,-0.006593562444902074
FASLG,,,,,,,,,,,,,,-0.0236719246933815,,
CEACAM1,-0.022149908537193754,0.07725717245275256,0.0014441762818883613,0.08567453091579062,,0.03728344465198501,-0.016745996129576765,,,-0.02874955051387763,-0.023400511083665945,-0.007822097150780378,-0.019518785212787715,-0.00718316650350029,,
PDAP1,-0.0036325527230491902,0.03330059809662633,0.00850591829434307,0.026027326510700718,0.0634679655180667,0.020203576541639595,-0.0012490532550597279,-0.0034279100618664314,0.02874276838797853,0.011039619609627753,0.04192633018898369,0.021976021344697373,-0.02973380421466214,0.009472638768592365,-0.0770857685056883,0.03630465361860596
